predio,band,month,historical_median,historical_p25,historical_p75,value_2026
A_BRITO_RCI,NDVI,1,0.8010,0.7892,0.8185,0.7884
A_BRITO_RCI,NDVI,2,0.8067,0.7999,0.8083,0.8293
A_BRITO_RCI,NDVI,3,0.8180,0.7802,0.8286,0.8351
A_BRITO_RCI,NDVI,4,0.8673,0.8479,0.8689,0.8608
A_BRITO_RCI,NDVI,5,0.8731,0.8496,0.9057,0.8631
A_BRITO_RCI,NDVI,6,0.8689,0.8470,0.8910,
A_BRITO_RCI,NDVI,7,0.8721,0.8687,0.8849,
A_BRITO_RCI,NDVI,8,0.8751,0.8710,0.8824,
A_BRITO_RCI,NDVI,9,0.8527,0.8351,0.8699,
A_BRITO_RCI,NDVI,10,0.8446,0.8146,0.8485,
A_BRITO_RCI,NDVI,11,0.7869,0.7715,0.7984,
A_BRITO_RCI,NDVI,12,0.7858,0.7788,0.7947,
A_BRITO_RCI,NDMI,1,0.3709,0.3578,0.3774,0.3599
A_BRITO_RCI,NDMI,2,0.3618,0.3405,0.3765,0.3946
A_BRITO_RCI,NDMI,3,0.3580,0.3526,0.3777,0.3966
A_BRITO_RCI,NDMI,4,0.4274,0.3922,0.4648,0.4528
A_BRITO_RCI,NDMI,5,0.5054,0.4937,0.5358,0.4941
A_BRITO_RCI,NDMI,6,0.5631,0.5420,0.5812,
A_BRITO_RCI,NDMI,7,0.5230,0.5142,0.5271,
A_BRITO_RCI,NDMI,8,0.4917,0.4788,0.5031,
A_BRITO_RCI,NDMI,9,0.4568,0.4302,0.4655,
A_BRITO_RCI,NDMI,10,0.3954,0.3730,0.4172,
A_BRITO_RCI,NDMI,11,0.3534,0.3472,0.3582,
A_BRITO_RCI,NDMI,12,0.3608,0.3510,0.3711,
A_BRITO_RCI,NDWI,1,-0.7308,-0.7460,-0.7130,-0.7199
A_BRITO_RCI,NDWI,2,-0.7427,-0.7485,-0.7350,-0.7611
A_BRITO_RCI,NDWI,3,-0.7635,-0.7712,-0.7149,-0.7764
A_BRITO_RCI,NDWI,4,-0.8035,-0.8046,-0.7961,-0.7938
A_BRITO_RCI,NDWI,5,-0.8151,-0.8452,-0.7852,-0.7965
A_BRITO_RCI,NDWI,6,-0.7957,-0.8251,-0.7618,
A_BRITO_RCI,NDWI,7,-0.8106,-0.8207,-0.8090,
A_BRITO_RCI,NDWI,8,-0.8068,-0.8143,-0.8005,
A_BRITO_RCI,NDWI,9,-0.7730,-0.7880,-0.7584,
A_BRITO_RCI,NDWI,10,-0.7297,-0.7438,-0.7208,
A_BRITO_RCI,NDWI,11,-0.6983,-0.7107,-0.6914,
A_BRITO_RCI,NDWI,12,-0.7037,-0.7144,-0.6982,
A_BRITO_RCI,MNDWI,1,-0.5006,-0.5180,-0.4735,-0.4933
A_BRITO_RCI,MNDWI,2,-0.5189,-0.5317,-0.5121,-0.5273
A_BRITO_RCI,MNDWI,3,-0.5398,-0.5821,-0.4702,-0.5437
A_BRITO_RCI,MNDWI,4,-0.5633,-0.6011,-0.5462,-0.5330
A_BRITO_RCI,MNDWI,5,-0.5419,-0.5584,-0.4754,-0.4945
A_BRITO_RCI,MNDWI,6,-0.4351,-0.4766,-0.3748,
A_BRITO_RCI,MNDWI,7,-0.5065,-0.5145,-0.4938,
A_BRITO_RCI,MNDWI,8,-0.5266,-0.5415,-0.5133,
A_BRITO_RCI,MNDWI,9,-0.5025,-0.5134,-0.4676,
A_BRITO_RCI,MNDWI,10,-0.4769,-0.4782,-0.4693,
A_BRITO_RCI,MNDWI,11,-0.4702,-0.4766,-0.4507,
A_BRITO_RCI,MNDWI,12,-0.4642,-0.4716,-0.4544,
A_BRITO_RCI,GNDVI,1,0.7308,0.7130,0.7460,0.7199
A_BRITO_RCI,GNDVI,2,0.7427,0.7350,0.7485,0.7611
A_BRITO_RCI,GNDVI,3,0.7635,0.7149,0.7712,0.7764
A_BRITO_RCI,GNDVI,4,0.8035,0.7961,0.8046,0.7938
A_BRITO_RCI,GNDVI,5,0.8151,0.7852,0.8452,0.7965
A_BRITO_RCI,GNDVI,6,0.7957,0.7618,0.8251,
A_BRITO_RCI,GNDVI,7,0.8106,0.8090,0.8207,
A_BRITO_RCI,GNDVI,8,0.8068,0.8005,0.8143,
A_BRITO_RCI,GNDVI,9,0.7730,0.7584,0.7880,
A_BRITO_RCI,GNDVI,10,0.7297,0.7208,0.7438,
A_BRITO_RCI,GNDVI,11,0.6983,0.6914,0.7107,
A_BRITO_RCI,GNDVI,12,0.7037,0.6982,0.7144,
A_BRITO_RCI,EVI,1,0.5142,0.5004,0.5243,0.5085
A_BRITO_RCI,EVI,2,0.4713,0.4558,0.4932,0.5037
A_BRITO_RCI,EVI,3,0.4267,0.4164,0.4735,0.4784
A_BRITO_RCI,EVI,4,0.4564,0.4067,0.5114,0.4904
A_BRITO_RCI,EVI,5,0.4721,0.4636,0.4969,0.4788
A_BRITO_RCI,EVI,6,0.5018,0.4960,0.5086,
A_BRITO_RCI,EVI,7,0.4718,0.4662,0.5063,
A_BRITO_RCI,EVI,8,0.5130,0.4827,0.5385,
A_BRITO_RCI,EVI,9,0.5264,0.4884,0.5457,
A_BRITO_RCI,EVI,10,0.5414,0.5253,0.5648,
A_BRITO_RCI,EVI,11,0.5382,0.5232,0.5461,
A_BRITO_RCI,EVI,12,0.5389,0.5286,0.5470,
A_BRITO_RCI,SAVI,1,0.4913,0.4726,0.4963,0.4790
A_BRITO_RCI,SAVI,2,0.4590,0.4359,0.4709,0.4918
A_BRITO_RCI,SAVI,3,0.4233,0.4116,0.4387,0.4700
A_BRITO_RCI,SAVI,4,0.4537,0.4121,0.4982,0.4841
A_BRITO_RCI,SAVI,5,0.4635,0.4540,0.4778,0.4580
A_BRITO_RCI,SAVI,6,0.4754,0.4734,0.4823,
A_BRITO_RCI,SAVI,7,0.4657,0.4627,0.5021,
A_BRITO_RCI,SAVI,8,0.5005,0.4775,0.5225,
A_BRITO_RCI,SAVI,9,0.4992,0.4702,0.5201,
A_BRITO_RCI,SAVI,10,0.5127,0.5011,0.5266,
A_BRITO_RCI,SAVI,11,0.5015,0.4925,0.5060,
A_BRITO_RCI,SAVI,12,0.5011,0.4935,0.5070,
A_BRITO_RCI,MSAVI,1,0.4926,0.4672,0.4992,0.4754
A_BRITO_RCI,MSAVI,2,0.4483,0.4181,0.4651,0.4924
A_BRITO_RCI,MSAVI,3,0.4007,0.3856,0.4228,0.4624
A_BRITO_RCI,MSAVI,4,0.4407,0.3855,0.5017,0.4822
A_BRITO_RCI,MSAVI,5,0.4525,0.4396,0.4726,0.4460
A_BRITO_RCI,MSAVI,6,0.4690,0.4658,0.4787,
A_BRITO_RCI,MSAVI,7,0.4566,0.4515,0.5065,
A_BRITO_RCI,MSAVI,8,0.5038,0.4716,0.5352,
A_BRITO_RCI,MSAVI,9,0.5012,0.4620,0.5315,
A_BRITO_RCI,MSAVI,10,0.5202,0.5046,0.5399,
A_BRITO_RCI,MSAVI,11,0.5053,0.4933,0.5117,
A_BRITO_RCI,MSAVI,12,0.5061,0.4950,0.5129,
A_BRITO_RCI,ARI,1,9.7081,8.1579,10.4452,9.3583
A_BRITO_RCI,ARI,2,11.8001,10.3775,12.5583,12.4794
A_BRITO_RCI,ARI,3,13.1524,9.0622,15.7999,14.4906
A_BRITO_RCI,ARI,4,18.4891,16.8109,19.9127,16.3450
A_BRITO_RCI,ARI,5,19.3102,14.7736,27.0585,15.7906
A_BRITO_RCI,ARI,6,17.0294,12.4369,20.8999,
A_BRITO_RCI,ARI,7,21.1084,19.5805,21.3649,
A_BRITO_RCI,ARI,8,18.4968,17.7594,19.2654,
A_BRITO_RCI,ARI,9,13.4548,12.1468,13.8694,
A_BRITO_RCI,ARI,10,9.1958,8.9027,10.4069,
