predio,band,month,historical_median,historical_p25,historical_p75,value_2026
A_BRITO_RPA,NDVI,1,0.5187,0.4940,0.5401,0.6187
A_BRITO_RPA,NDVI,2,0.5264,0.4843,0.5594,0.6393
A_BRITO_RPA,NDVI,3,0.5231,0.5026,0.5476,0.6468
A_BRITO_RPA,NDVI,4,0.5904,0.5623,0.6228,0.6821
A_BRITO_RPA,NDVI,5,0.6292,0.5976,0.6505,0.6976
A_BRITO_RPA,NDVI,6,0.6555,0.6281,0.6889,
A_BRITO_RPA,NDVI,7,0.6115,0.5960,0.6756,
A_BRITO_RPA,NDVI,8,0.6236,0.5861,0.6649,
A_BRITO_RPA,NDVI,9,0.6015,0.5637,0.6191,
A_BRITO_RPA,NDVI,10,0.5557,0.5237,0.5719,
A_BRITO_RPA,NDVI,11,0.5362,0.5167,0.5788,
A_BRITO_RPA,NDVI,12,0.5651,0.5283,0.6008,
A_BRITO_RPA,NDMI,1,0.1159,0.0935,0.1321,0.1823
A_BRITO_RPA,NDMI,2,0.1247,0.0943,0.1503,0.1973
A_BRITO_RPA,NDMI,3,0.1269,0.1188,0.1458,0.1969
A_BRITO_RPA,NDMI,4,0.1836,0.1628,0.2118,0.2505
A_BRITO_RPA,NDMI,5,0.2512,0.2159,0.2809,0.2941
A_BRITO_RPA,NDMI,6,0.2610,0.2449,0.2876,
A_BRITO_RPA,NDMI,7,0.2430,0.2062,0.2603,
A_BRITO_RPA,NDMI,8,0.2203,0.1930,0.2508,
A_BRITO_RPA,NDMI,9,0.2055,0.1818,0.2168,
A_BRITO_RPA,NDMI,10,0.1610,0.1170,0.1702,
A_BRITO_RPA,NDMI,11,0.1488,0.1102,0.1799,
A_BRITO_RPA,NDMI,12,0.1535,0.1239,0.1788,
A_BRITO_RPA,NDWI,1,-0.6018,-0.6264,-0.5840,-0.6731
A_BRITO_RPA,NDWI,2,-0.6204,-0.6467,-0.5869,-0.7020
A_BRITO_RPA,NDWI,3,-0.6187,-0.6375,-0.5942,-0.7095
A_BRITO_RPA,NDWI,4,-0.6743,-0.6975,-0.6521,-0.7320
A_BRITO_RPA,NDWI,5,-0.6864,-0.7043,-0.6645,-0.7227
A_BRITO_RPA,NDWI,6,-0.6920,-0.7090,-0.6781,
A_BRITO_RPA,NDWI,7,-0.6686,-0.7083,-0.6547,
A_BRITO_RPA,NDWI,8,-0.6667,-0.6961,-0.6402,
A_BRITO_RPA,NDWI,9,-0.6414,-0.6502,-0.6161,
A_BRITO_RPA,NDWI,10,-0.6082,-0.6223,-0.5969,
A_BRITO_RPA,NDWI,11,-0.6022,-0.6365,-0.5866,
A_BRITO_RPA,NDWI,12,-0.6316,-0.6535,-0.6087,
A_BRITO_RPA,MNDWI,1,-0.5457,-0.5592,-0.5377,-0.5765
A_BRITO_RPA,MNDWI,2,-0.5603,-0.5687,-0.5473,-0.6041
A_BRITO_RPA,MNDWI,3,-0.5647,-0.5669,-0.5349,-0.6109
A_BRITO_RPA,MNDWI,4,-0.5866,-0.5912,-0.5794,-0.6096
A_BRITO_RPA,MNDWI,5,-0.5691,-0.5834,-0.5504,-0.5582
A_BRITO_RPA,MNDWI,6,-0.5493,-0.5706,-0.5187,
A_BRITO_RPA,MNDWI,7,-0.5540,-0.5586,-0.5483,
A_BRITO_RPA,MNDWI,8,-0.5467,-0.5580,-0.5373,
A_BRITO_RPA,MNDWI,9,-0.5170,-0.5193,-0.5126,
A_BRITO_RPA,MNDWI,10,-0.5201,-0.5313,-0.5117,
A_BRITO_RPA,MNDWI,11,-0.5358,-0.5386,-0.5176,
A_BRITO_RPA,MNDWI,12,-0.5439,-0.5539,-0.5400,
A_BRITO_RPA,GNDVI,1,0.6018,0.5840,0.6264,0.6731
A_BRITO_RPA,GNDVI,2,0.6204,0.5869,0.6467,0.7020
A_BRITO_RPA,GNDVI,3,0.6187,0.5942,0.6375,0.7095
A_BRITO_RPA,GNDVI,4,0.6743,0.6521,0.6975,0.7321
A_BRITO_RPA,GNDVI,5,0.6864,0.6645,0.7043,0.7227
A_BRITO_RPA,GNDVI,6,0.6920,0.6781,0.7090,
A_BRITO_RPA,GNDVI,7,0.6686,0.6547,0.7083,
A_BRITO_RPA,GNDVI,8,0.6667,0.6402,0.6961,
A_BRITO_RPA,GNDVI,9,0.6414,0.6161,0.6502,
A_BRITO_RPA,GNDVI,10,0.6082,0.5969,0.6223,
A_BRITO_RPA,GNDVI,11,0.6022,0.5866,0.6365,
A_BRITO_RPA,GNDVI,12,0.6316,0.6087,0.6535,
A_BRITO_RPA,EVI,1,0.3750,0.3562,0.3866,0.4482
A_BRITO_RPA,EVI,2,0.3526,0.3286,0.3828,0.4396
A_BRITO_RPA,EVI,3,0.3388,0.3366,0.3576,0.4191
A_BRITO_RPA,EVI,4,0.3741,0.3502,0.3952,0.4392
A_BRITO_RPA,EVI,5,0.3820,0.3658,0.3956,0.4401
A_BRITO_RPA,EVI,6,0.3810,0.3671,0.3935,
A_BRITO_RPA,EVI,7,0.3924,0.3601,0.4070,
A_BRITO_RPA,EVI,8,0.3887,0.3664,0.4077,
A_BRITO_RPA,EVI,9,0.3880,0.3752,0.3985,
A_BRITO_RPA,EVI,10,0.3718,0.3669,0.3811,
A_BRITO_RPA,EVI,11,0.4046,0.3736,0.4359,
A_BRITO_RPA,EVI,12,0.4190,0.3887,0.4451,
A_BRITO_RPA,SAVI,1,0.3699,0.3470,0.3810,0.4325
A_BRITO_RPA,SAVI,2,0.3546,0.3261,0.3864,0.4373
A_BRITO_RPA,SAVI,3,0.3430,0.3309,0.3575,0.4196
A_BRITO_RPA,SAVI,4,0.3770,0.3529,0.3973,0.4329
A_BRITO_RPA,SAVI,5,0.3805,0.3659,0.4000,0.4269
A_BRITO_RPA,SAVI,6,0.3743,0.3589,0.3912,
A_BRITO_RPA,SAVI,7,0.3685,0.3620,0.4022,
A_BRITO_RPA,SAVI,8,0.3913,0.3679,0.4116,
A_BRITO_RPA,SAVI,9,0.3909,0.3695,0.3950,
A_BRITO_RPA,SAVI,10,0.3700,0.3624,0.3830,
A_BRITO_RPA,SAVI,11,0.3895,0.3696,0.4175,
A_BRITO_RPA,SAVI,12,0.4081,0.3835,0.4299,
A_BRITO_RPA,MSAVI,1,0.3671,0.3444,0.3751,0.4319
A_BRITO_RPA,MSAVI,2,0.3483,0.3194,0.3808,0.4387
A_BRITO_RPA,MSAVI,3,0.3383,0.3214,0.3507,0.4144
A_BRITO_RPA,MSAVI,4,0.3725,0.3474,0.3929,0.4295
A_BRITO_RPA,MSAVI,5,0.3732,0.3608,0.3918,0.4180
A_BRITO_RPA,MSAVI,6,0.3623,0.3498,0.3769,
A_BRITO_RPA,MSAVI,7,0.3545,0.3532,0.3936,
A_BRITO_RPA,MSAVI,8,0.3877,0.3645,0.4063,
A_BRITO_RPA,MSAVI,9,0.3825,0.3657,0.3862,
A_BRITO_RPA,MSAVI,10,0.3616,0.3570,0.3724,
A_BRITO_RPA,MSAVI,11,0.3841,0.3639,0.4154,
A_BRITO_RPA,MSAVI,12,0.4061,0.3794,0.4310,
A_BRITO_RPA,ARI,1,6.8435,6.4542,7.7251,8.2203
A_BRITO_RPA,ARI,2,8.6155,7.5965,8.8076,10.3619
A_BRITO_RPA,ARI,3,9.8252,7.8887,10.2405,11.7860
A_BRITO_RPA,ARI,4,12.1663,11.8390,12.3648,13.5788
A_BRITO_RPA,ARI,5,12.6767,11.5732,17.6371,12.6073
A_BRITO_RPA,ARI,6,13.8664,11.6138,16.1338,
A_BRITO_RPA,ARI,7,13.4182,12.3803,14.1785,
A_BRITO_RPA,ARI,8,11.6802,10.9575,12.2402,
A_BRITO_RPA,ARI,9,8.3803,8.0461,8.6671,
A_BRITO_RPA,ARI,10,7.1470,7.0681,7.5628,
A_BRITO_RPA,ARI,11,6.7993,5.8257,7.2524,
A_BRITO_RPA,ARI,12,6.7591,6.5542,7.5263,
A_BRITO_RPA,MARI,1,2.3199,2.2165,2.5807,2.8584
A_BRITO_RPA,MARI,2,2.7052,2.3469,2.8993,3.4105
A_BRITO_RPA,MARI,3,2.9001,2.3588,3.0729,3.6052
A_BRITO_RPA,MARI,4,3.5933,3.3879,3.6394,3.9848
A_BRITO_RPA,MARI,5,3.4687,3.1427,4.4621,3.3661
A_BRITO_RPA,MARI,6,3.3554,2.8276,3.8660,
A_BRITO_RPA,MARI,7,3.4507,3.1689,3.5623,
A_BRITO_RPA,MARI,8,3.2018,3.0153,3.3957,
A_BRITO_RPA,MARI,9,2.4433,2.3976,2.5068,
A_BRITO_RPA,MARI,10,2.2393,2.2058,2.2749,
A_BRITO_RPA,MARI,11,2.3401,1.9158,2.5478,
A_BRITO_RPA,MARI,12,2.4021,2.3156,2.7368,
A_BRITO_RPA,ARVI,1,0.5194,0.4943,0.5421,0.6247
A_BRITO_RPA,ARVI,2,0.5259,0.4820,0.5602,0.6384
A_BRITO_RPA,ARVI,3,0.5236,0.5017,0.5495,0.6520
A_BRITO_RPA,ARVI,4,0.5875,0.5575,0.6179,0.6830
A_BRITO_RPA,ARVI,5,0.6244,0.5976,0.6445,0.6951
A_BRITO_RPA,ARVI,6,0.6563,0.6284,0.6906,
A_BRITO_RPA,ARVI,7,0.6056,0.5898,0.6664,
A_BRITO_RPA,ARVI,8,0.6174,0.5796,0.6595,
A_BRITO_RPA,ARVI,9,0.5954,0.5528,0.6147,
A_BRITO_RPA,ARVI,10,0.5524,0.5158,0.5702,
A_BRITO_RPA,ARVI,11,0.5350,0.5135,0.5778,
A_BRITO_RPA,ARVI,12,0.5677,0.5298,0.6035,
A_BRITO_RPA,CHL_REDEDGE,1,1.3962,1.3576,1.4686,1.8727
A_BRITO_RPA,CHL_REDEDGE,2,1.4268,1.4127,1.4948,2.0245
A_BRITO_RPA,CHL_REDEDGE,3,1.5584,1.3855,1.6298,2.0431
A_BRITO_RPA,CHL_REDEDGE,4,1.8844,1.8153,1.9917,2.1367
A_BRITO_RPA,CHL_REDEDGE,5,2.0155,1.9475,2.1178,2.2397
A_BRITO_RPA,CHL_REDEDGE,6,2.0992,1.9745,2.2611,
A_BRITO_RPA,CHL_REDEDGE,7,1.8117,1.7506,2.0046,
A_BRITO_RPA,CHL_REDEDGE,8,1.7496,1.7254,1.8577,
A_BRITO_RPA,CHL_REDEDGE,9,1.5591,1.5246,1.6833,
A_BRITO_RPA,CHL_REDEDGE,10,1.1782,1.1107,1.2765,
A_BRITO_RPA,CHL_REDEDGE,11,1.1743,1.1218,1.2009,
A_BRITO_RPA,CHL_REDEDGE,12,1.3946,1.2717,1.7323,
A_BRITO_RPA,EVI2,1,0.3869,0.3627,0.4001,0.4514
A_BRITO_RPA,EVI2,2,0.3673,0.3351,0.4017,0.4533
A_BRITO_RPA,EVI2,3,0.3512,0.3396,0.3664,0.4289
A_BRITO_RPA,EVI2,4,0.3837,0.3588,0.4051,0.4403
A_BRITO_RPA,EVI2,5,0.3855,0.3710,0.3995,0.4306
A_BRITO_RPA,EVI2,6,0.3726,0.3580,0.3881,
A_BRITO_RPA,EVI2,7,0.3829,0.3646,0.4030,
A_BRITO_RPA,EVI2,8,0.3970,0.3739,0.4159,
A_BRITO_RPA,EVI2,9,0.3990,0.3791,0.4019,
A_BRITO_RPA,EVI2,10,0.3823,0.3751,0.3949,
A_BRITO_RPA,EVI2,11,0.4112,0.3886,0.4400,
A_BRITO_RPA,EVI2,12,0.4302,0.4055,0.4523,
A_BRITO_RPA,KNDVI,1,0.2948,0.2810,0.3051,0.3786
A_BRITO_RPA,KNDVI,2,0.3012,0.2727,0.3220,0.3993
A_BRITO_RPA,KNDVI,3,0.3031,0.2798,0.3192,0.4066
A_BRITO_RPA,KNDVI,4,0.3569,0.3335,0.3835,0.4429
A_BRITO_RPA,KNDVI,5,0.3913,0.3636,0.4080,0.4578
A_BRITO_RPA,KNDVI,6,0.4154,0.3909,0.4464,
A_BRITO_RPA,KNDVI,7,0.3767,0.3630,0.4347,
A_BRITO_RPA,KNDVI,8,0.3905,0.3592,0.4250,
A_BRITO_RPA,KNDVI,9,0.3635,0.3390,0.3800,
A_BRITO_RPA,KNDVI,10,0.3247,0.2985,0.3342,
A_BRITO_RPA,KNDVI,11,0.2999,0.2869,0.3395,
A_BRITO_RPA,KNDVI,12,0.3289,0.2945,0.3614,
A_BRITO_RPA,MCARI,1,0.0613,0.0566,0.0643,0.0711
A_BRITO_RPA,MCARI,2,0.0556,0.0503,0.0642,0.0681
A_BRITO_RPA,MCARI,3,0.0571,0.0486,0.0602,0.0671
A_BRITO_RPA,MCARI,4,0.0631,0.0605,0.0662,0.0676
A_BRITO_RPA,MCARI,5,0.0575,0.0487,0.0649,0.0730
A_BRITO_RPA,MCARI,6,0.0702,0.0641,0.0742,
A_BRITO_RPA,MCARI,7,0.0761,0.0716,0.0830,
A_BRITO_RPA,MCARI,8,0.0835,0.0818,0.0916,
