predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
A_INGUERZON,NDVI,1,0.7153,0.6688,0.7617,0.8325
A_INGUERZON,NDVI,2,0.6532,0.6345,0.6718,0.8791
A_INGUERZON,NDVI,3,0.5897,0.4677,0.7117,0.6721
A_INGUERZON,NDVI,4,0.6925,0.6069,0.7782,0.4642
A_INGUERZON,NDVI,5,0.6619,0.6390,0.6849,0.6323
A_INGUERZON,NDVI,6,0.7046,0.6659,0.7434,0.8669
A_INGUERZON,NDVI,7,0.6190,0.5758,0.6621,0.8839
A_INGUERZON,NDVI,8,0.8351,0.8351,0.8351,0.8936
A_INGUERZON,NDVI,9,0.6810,0.5909,0.7711,0.5817
A_INGUERZON,NDVI,10,0.6463,0.6299,0.6626,0.6708
A_INGUERZON,NDVI,11,0.7063,0.6605,0.7521,0.8224
A_INGUERZON,NDVI,12,0.7248,0.6616,0.7879,0.8769
A_INGUERZON,NDVI,13,0.5941,0.5879,0.6003,0.8872
A_INGUERZON,NDVI,14,0.5731,0.4804,0.6657,0.7129
A_INGUERZON,NDVI,15,0.8663,0.8663,0.8663,0.7472
A_INGUERZON,NDVI,16,0.6416,0.6071,0.6761,0.6334
A_INGUERZON,NDVI,17,0.6885,0.6484,0.7287,0.6282
A_INGUERZON,NDVI,18,0.8050,0.8050,0.8050,0.7811
A_INGUERZON,NDVI,19,0.5736,0.5736,0.5736,0.8008
A_INGUERZON,NDVI,20,0.7395,0.6648,0.8142,0.8145
A_INGUERZON,NDVI,21,,,,0.6934
A_INGUERZON,NDVI,22,0.6211,0.5748,0.6675,0.5226
A_INGUERZON,NDVI,23,0.7430,0.7430,0.7430,
A_INGUERZON,NDVI,24,0.7240,0.7240,0.7240,
A_INGUERZON,NDVI,25,0.7674,0.7674,0.7674,0.5383
A_INGUERZON,NDVI,26,0.7205,0.7130,0.7280,0.6579
A_INGUERZON,NDVI,27,0.7554,0.7509,0.7599,0.6176
A_INGUERZON,NDVI,28,0.7078,0.6627,0.7529,0.6259
A_INGUERZON,NDVI,29,0.6350,0.6032,0.6667,
A_INGUERZON,NDVI,30,0.5048,0.5048,0.5048,
A_INGUERZON,NDVI,31,,,,
A_INGUERZON,NDVI,32,0.7679,0.7336,0.8021,
A_INGUERZON,NDVI,33,0.8164,0.8164,0.8164,0.4658
A_INGUERZON,NDVI,34,0.8525,0.8505,0.8545,0.7800
A_INGUERZON,NDVI,35,0.8860,0.8860,0.8860,
A_INGUERZON,NDVI,36,0.7765,0.7166,0.8363,
A_INGUERZON,NDVI,37,0.7275,0.6453,0.8097,
A_INGUERZON,NDVI,38,0.7660,0.6984,0.8336,
A_INGUERZON,NDVI,39,0.7212,0.6626,0.7797,
A_INGUERZON,NDVI,40,0.6088,0.6088,0.6088,
A_INGUERZON,NDVI,41,0.6796,0.6796,0.6796,
A_INGUERZON,NDVI,42,0.5978,0.4684,0.7271,
A_INGUERZON,NDVI,43,0.6932,0.5798,0.8066,
A_INGUERZON,NDVI,44,0.5889,0.5889,0.5889,
A_INGUERZON,NDVI,45,0.5250,0.4465,0.6034,
A_INGUERZON,NDVI,46,0.7000,0.6685,0.7314,
A_INGUERZON,NDVI,47,0.7688,0.7495,0.7882,
A_INGUERZON,NDVI,48,0.7225,0.6484,0.7966,
A_INGUERZON,NDVI,49,0.8378,0.8102,0.8655,
A_INGUERZON,NDVI,50,0.8331,0.8193,0.8469,
A_INGUERZON,NDVI,51,0.5999,0.5306,0.6692,
A_INGUERZON,NDVI,52,0.6667,0.6500,0.6835,
A_INGUERZON,NDMI,1,0.3194,0.2717,0.3672,0.3646
A_INGUERZON,NDMI,2,0.2584,0.2417,0.2752,0.4215
A_INGUERZON,NDMI,3,0.1928,0.0940,0.2917,0.2681
A_INGUERZON,NDMI,4,0.2806,0.2052,0.3560,0.0698
A_INGUERZON,NDMI,5,0.2555,0.2296,0.2814,0.2145
A_INGUERZON,NDMI,6,0.2815,0.2524,0.3106,0.3850
A_INGUERZON,NDMI,7,0.2438,0.2165,0.2712,0.4181
A_INGUERZON,NDMI,8,0.3809,0.3809,0.3809,0.4609
A_INGUERZON,NDMI,9,0.2761,0.2186,0.3336,0.1573
A_INGUERZON,NDMI,10,0.2459,0.2389,0.2530,0.2350
A_INGUERZON,NDMI,11,0.3055,0.2848,0.3261,0.3478
A_INGUERZON,NDMI,12,0.3282,0.2902,0.3662,0.4099
A_INGUERZON,NDMI,13,0.2186,0.2077,0.2295,0.4360
A_INGUERZON,NDMI,14,0.1814,0.1116,0.2513,0.2662
A_INGUERZON,NDMI,15,0.4157,0.4157,0.4157,0.3231
A_INGUERZON,NDMI,16,0.2537,0.2232,0.2842,0.2854
A_INGUERZON,NDMI,17,0.2752,0.2591,0.2914,0.2387
A_INGUERZON,NDMI,18,0.3665,0.3665,0.3665,0.3438
A_INGUERZON,NDMI,19,0.3131,0.3131,0.3131,0.3960
A_INGUERZON,NDMI,20,0.3532,0.3035,0.4030,0.3595
A_INGUERZON,NDMI,21,,,,0.2579
A_INGUERZON,NDMI,22,0.2333,0.1995,0.2670,0.1514
A_INGUERZON,NDMI,23,0.2389,0.2389,0.2389,
A_INGUERZON,NDMI,24,0.2917,0.2917,0.2917,
A_INGUERZON,NDMI,25,0.3612,0.3612,0.3612,0.1595
A_INGUERZON,NDMI,26,0.3117,0.3071,0.3163,0.1561
A_INGUERZON,NDMI,27,0.2934,0.2928,0.2939,0.1614
A_INGUERZON,NDMI,28,0.2701,0.2354,0.3049,0.1506
A_INGUERZON,NDMI,29,0.1845,0.1563,0.2127,
A_INGUERZON,NDMI,30,0.1893,0.1893,0.1893,
A_INGUERZON,NDMI,31,,,,
A_INGUERZON,NDMI,32,0.3270,0.3044,0.3497,
A_INGUERZON,NDMI,33,0.3826,0.3826,0.3826,0.2379
A_INGUERZON,NDMI,34,0.4123,0.4058,0.4188,0.2477
A_INGUERZON,NDMI,35,0.4216,0.4216,0.4216,
A_INGUERZON,NDMI,36,0.3446,0.3000,0.3892,
A_INGUERZON,NDMI,37,0.3367,0.2896,0.3838,
A_INGUERZON,NDMI,38,0.3459,0.3018,0.3901,
A_INGUERZON,NDMI,39,0.2999,0.2761,0.3238,
A_INGUERZON,NDMI,40,0.2581,0.2581,0.2581,
A_INGUERZON,NDMI,41,0.2226,0.2226,0.2226,
A_INGUERZON,NDMI,42,0.1719,0.0766,0.2671,
A_INGUERZON,NDMI,43,0.3002,0.2088,0.3916,
A_INGUERZON,NDMI,44,0.2267,0.2267,0.2267,
A_INGUERZON,NDMI,45,0.1853,0.1050,0.2656,
A_INGUERZON,NDMI,46,0.2995,0.2547,0.3444,
A_INGUERZON,NDMI,47,0.3306,0.3298,0.3313,
A_INGUERZON,NDMI,48,0.3110,0.2553,0.3668,
A_INGUERZON,NDMI,49,0.4157,0.3969,0.4344,
A_INGUERZON,NDMI,50,0.4157,0.3971,0.4343,
A_INGUERZON,NDMI,51,0.1953,0.1265,0.2642,
A_INGUERZON,NDMI,52,0.2680,0.2370,0.2989,
A_INGUERZON,MNDWI,1,-0.4804,-0.4808,-0.4800,-0.5191
A_INGUERZON,MNDWI,2,-0.4711,-0.4806,-0.4617,-0.5410
A_INGUERZON,MNDWI,3,-0.4712,-0.4856,-0.4569,-0.5011
A_INGUERZON,MNDWI,4,-0.4784,-0.4969,-0.4600,-0.4342
A_INGUERZON,MNDWI,5,-0.4882,-0.4916,-0.4848,-0.4419
A_INGUERZON,MNDWI,6,-0.4925,-0.4977,-0.4872,-0.5328
A_INGUERZON,MNDWI,7,-0.4597,-0.4622,-0.4572,-0.5586
A_INGUERZON,MNDWI,8,-0.5025,-0.5025,-0.5025,-0.5630
A_INGUERZON,MNDWI,9,-0.4786,-0.5093,-0.4478,-0.4544
A_INGUERZON,MNDWI,10,-0.4774,-0.4936,-0.4613,-0.4769
A_INGUERZON,MNDWI,11,-0.4787,-0.4889,-0.4684,-0.5237
A_INGUERZON,MNDWI,12,-0.4943,-0.5075,-0.4811,-0.5577
A_INGUERZON,MNDWI,13,-0.4625,-0.4640,-0.4610,-0.5675
A_INGUERZON,MNDWI,14,-0.4679,-0.4869,-0.4489,-0.5341
A_INGUERZON,MNDWI,15,-0.5396,-0.5396,-0.5396,-0.5276
A_INGUERZON,MNDWI,16,-0.4607,-0.4645,-0.4569,-0.3462
A_INGUERZON,MNDWI,17,-0.5073,-0.5295,-0.4851,-0.4267
A_INGUERZON,MNDWI,18,-0.5283,-0.5283,-0.5283,-0.5446
A_INGUERZON,MNDWI,19,-0.3102,-0.3102,-0.3102,-0.4709
A_INGUERZON,MNDWI,20,-0.4879,-0.5178,-0.4580,-0.5633
A_INGUERZON,MNDWI,21,,,,-0.5345
A_INGUERZON,MNDWI,22,-0.5088,-0.5096,-0.5080,-0.4057
A_INGUERZON,MNDWI,23,-0.5914,-0.5914,-0.5914,
A_INGUERZON,MNDWI,24,-0.4787,-0.4787,-0.4787,
A_INGUERZON,MNDWI,25,-0.4828,-0.4828,-0.4828,-0.4077
A_INGUERZON,MNDWI,26,-0.4326,-0.4422,-0.4229,-0.5776
A_INGUERZON,MNDWI,27,-0.5074,-0.5116,-0.5032,-0.5295
A_INGUERZON,MNDWI,28,-0.4870,-0.5129,-0.4611,-0.5472
A_INGUERZON,MNDWI,29,-0.5064,-0.5068,-0.5060,
A_INGUERZON,MNDWI,30,-0.3583,-0.3583,-0.3583,
A_INGUERZON,MNDWI,31,,,,
A_INGUERZON,MNDWI,32,-0.4929,-0.5118,-0.4739,
A_INGUERZON,MNDWI,33,-0.4640,-0.4640,-0.4640,-0.2175
A_INGUERZON,MNDWI,34,-0.4968,-0.5046,-0.4889,-0.5447
A_INGUERZON,MNDWI,35,-0.5416,-0.5416,-0.5416,
A_INGUERZON,MNDWI,36,-0.5281,-0.5387,-0.5175,
A_INGUERZON,MNDWI,37,-0.4878,-0.5231,-0.4526,
A_INGUERZON,MNDWI,38,-0.5538,-0.5673,-0.5403,
A_INGUERZON,MNDWI,39,-0.5137,-0.5308,-0.4965,
A_INGUERZON,MNDWI,40,-0.4977,-0.4977,-0.4977,
A_INGUERZON,MNDWI,41,-0.5148,-0.5148,-0.5148,
A_INGUERZON,MNDWI,42,-0.5010,-0.5276,-0.4745,
A_INGUERZON,MNDWI,43,-0.5047,-0.5460,-0.4634,
A_INGUERZON,MNDWI,44,-0.4209,-0.4209,-0.4209,
A_INGUERZON,MNDWI,45,-0.4304,-0.4444,-0.4164,
A_INGUERZON,MNDWI,46,-0.4548,-0.4590,-0.4506,
A_INGUERZON,MNDWI,47,-0.4771,-0.4936,-0.4605,
A_INGUERZON,MNDWI,48,-0.4794,-0.5065,-0.4524,
A_INGUERZON,MNDWI,49,-0.5080,-0.5400,-0.4760,
A_INGUERZON,MNDWI,50,-0.5091,-0.5226,-0.4957,
A_INGUERZON,MNDWI,51,-0.4578,-0.4586,-0.4570,
A_INGUERZON,MNDWI,52,-0.4764,-0.4775,-0.4753,
A_INGUERZON,REDEDGE_POSITION,1,719.3027,718.3007,720.3048,717.4437
A_INGUERZON,REDEDGE_POSITION,2,718.9535,718.7834,719.1236,721.1979
A_INGUERZON,REDEDGE_POSITION,3,716.1813,714.5430,717.8197,717.7006
A_INGUERZON,REDEDGE_POSITION,4,719.0789,717.7497,720.4081,711.0402
A_INGUERZON,REDEDGE_POSITION,5,717.7911,717.5724,718.0098,717.1328
