predio,band,month,historical_median,historical_p25,historical_p75,value_2026
A_INGUERZON,NDVI,1,0.6905,0.6158,0.8081,0.7810
A_INGUERZON,NDVI,2,0.6662,0.5952,0.7953,0.8746
A_INGUERZON,NDVI,3,0.6142,0.6045,0.7087,0.8485
A_INGUERZON,NDVI,4,0.7105,0.5904,0.7636,0.7297
A_INGUERZON,NDVI,5,0.6520,0.5777,0.7822,0.7304
A_INGUERZON,NDVI,6,0.7355,0.7240,0.7430,0.5981
A_INGUERZON,NDVI,7,0.6985,0.5945,0.7554,0.6217
A_INGUERZON,NDVI,8,0.8425,0.8214,0.8545,
A_INGUERZON,NDVI,9,0.7475,0.6241,0.8930,
A_INGUERZON,NDVI,10,0.6088,0.5277,0.7680,
A_INGUERZON,NDVI,11,0.7061,0.6214,0.7740,
A_INGUERZON,NDVI,12,0.7606,0.6835,0.8193,
A_INGUERZON,NDMI,1,0.2920,0.2240,0.3906,0.3169
A_INGUERZON,NDMI,2,0.2609,0.2000,0.3500,0.4015
A_INGUERZON,NDMI,3,0.2561,0.2383,0.2848,0.3786
A_INGUERZON,NDMI,4,0.3075,0.2178,0.3180,0.3132
A_INGUERZON,NDMI,5,0.3069,0.2655,0.3532,0.2921
A_INGUERZON,NDMI,6,0.3025,0.2917,0.3209,0.1578
A_INGUERZON,NDMI,7,0.2409,0.1950,0.2934,0.1560
A_INGUERZON,NDMI,8,0.3910,0.3749,0.4160,
A_INGUERZON,NDMI,9,0.3026,0.2546,0.4316,
A_INGUERZON,NDMI,10,0.2267,0.1700,0.3102,
A_INGUERZON,NDMI,11,0.3306,0.2072,0.3567,
A_INGUERZON,NDMI,12,0.3556,0.2989,0.3971,
A_INGUERZON,MNDWI,1,-0.4813,-0.4901,-0.4522,-0.4876
A_INGUERZON,MNDWI,2,-0.4885,-0.5026,-0.4622,-0.5435
A_INGUERZON,MNDWI,3,-0.4667,-0.5017,-0.4592,-0.5401
A_INGUERZON,MNDWI,4,-0.4683,-0.5228,-0.4580,-0.5096
A_INGUERZON,MNDWI,5,-0.5088,-0.5238,-0.4479,-0.5154
A_INGUERZON,MNDWI,6,-0.4787,-0.4828,-0.4519,-0.4926
A_INGUERZON,MNDWI,7,-0.5056,-0.5115,-0.4671,-0.5383
A_INGUERZON,MNDWI,8,-0.4968,-0.5262,-0.4682,
A_INGUERZON,MNDWI,9,-0.5374,-0.5516,-0.5000,
A_INGUERZON,MNDWI,10,-0.4977,-0.5344,-0.4350,
A_INGUERZON,MNDWI,11,-0.4524,-0.4750,-0.4393,
A_INGUERZON,MNDWI,12,-0.4764,-0.4957,-0.4586,
A_INGUERZON,REDEDGE_POSITION,1,718.6133,717.2986,719.4580,717.5814
A_INGUERZON,REDEDGE_POSITION,2,718.2011,716.4206,718.8101,719.3133
A_INGUERZON,REDEDGE_POSITION,3,719.1715,718.0269,719.4283,719.2193
A_INGUERZON,REDEDGE_POSITION,4,717.7822,715.8632,718.8002,717.9437
A_INGUERZON,REDEDGE_POSITION,5,718.8742,715.3518,719.3882,716.8142
A_INGUERZON,REDEDGE_POSITION,6,715.1504,714.1022,715.4003,714.7354
A_INGUERZON,REDEDGE_POSITION,7,715.3000,712.5760,715.6843,714.7545
A_INGUERZON,REDEDGE_POSITION,8,718.8738,717.3586,718.9803,
A_INGUERZON,REDEDGE_POSITION,9,719.4596,718.6555,720.0496,
A_INGUERZON,REDEDGE_POSITION,10,716.2696,714.4023,718.8947,
A_INGUERZON,REDEDGE_POSITION,11,717.9298,715.0876,718.4622,
A_INGUERZON,REDEDGE_POSITION,12,718.7627,717.8842,719.5442,
A_INGUERZON,MCARI,1,0.1475,0.1309,0.1709,0.1782
A_INGUERZON,MCARI,2,0.1558,0.1106,0.2209,0.2308
A_INGUERZON,MCARI,3,0.1450,0.1337,0.1581,0.2115
A_INGUERZON,MCARI,4,0.1360,0.0920,0.1828,0.1336
A_INGUERZON,MCARI,5,0.1288,0.0954,0.1458,0.1637
A_INGUERZON,MCARI,6,0.1794,0.1740,0.1962,0.0894
