predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
B_DEVOTO,NDVI,1,0.0544,0.0544,0.0544,
B_DEVOTO,NDVI,2,0.0541,0.0541,0.0541,0.0610
B_DEVOTO,NDVI,3,0.0559,0.0546,0.0572,0.0607
B_DEVOTO,NDVI,4,,,,0.0592
B_DEVOTO,NDVI,5,0.0581,0.0571,0.0590,0.0625
B_DEVOTO,NDVI,6,0.0577,0.0560,0.0594,0.0638
B_DEVOTO,NDVI,7,0.0585,0.0569,0.0601,0.0643
B_DEVOTO,NDVI,8,0.0610,0.0610,0.0610,0.0639
B_DEVOTO,NDVI,9,0.0574,0.0571,0.0578,0.0635
B_DEVOTO,NDVI,10,0.0586,0.0584,0.0587,0.0583
B_DEVOTO,NDVI,11,0.0580,0.0580,0.0580,0.0613
B_DEVOTO,NDVI,12,0.0582,0.0577,0.0586,0.0630
B_DEVOTO,NDVI,13,0.0522,0.0522,0.0522,0.0658
B_DEVOTO,NDVI,14,0.0617,0.0596,0.0639,0.0657
B_DEVOTO,NDVI,15,0.0667,0.0667,0.0667,0.0668
B_DEVOTO,NDVI,16,0.0613,0.0597,0.0629,0.0451
B_DEVOTO,NDVI,17,0.0590,0.0582,0.0599,0.0676
B_DEVOTO,NDVI,18,0.0671,0.0671,0.0671,0.0682
B_DEVOTO,NDVI,19,0.0629,0.0629,0.0629,0.0668
B_DEVOTO,NDVI,20,0.0630,0.0630,0.0630,0.0681
B_DEVOTO,NDVI,21,,,,0.0603
B_DEVOTO,NDVI,22,0.0735,0.0719,0.0750,
B_DEVOTO,NDVI,23,,,,0.0540
B_DEVOTO,NDVI,24,,,,0.0634
B_DEVOTO,NDVI,25,0.0790,0.0790,0.0790,
B_DEVOTO,NDVI,26,0.0736,0.0736,0.0737,
B_DEVOTO,NDVI,27,0.0721,0.0714,0.0727,
B_DEVOTO,NDVI,28,0.0697,0.0689,0.0705,
B_DEVOTO,NDVI,29,0.0715,0.0710,0.0719,
B_DEVOTO,NDVI,30,0.0547,0.0547,0.0547,
B_DEVOTO,NDVI,31,0.0692,0.0692,0.0692,
B_DEVOTO,NDVI,32,0.0724,0.0717,0.0730,
B_DEVOTO,NDVI,33,,,,
B_DEVOTO,NDVI,34,0.0692,0.0692,0.0692,
B_DEVOTO,NDVI,35,0.0718,0.0718,0.0718,
B_DEVOTO,NDVI,36,0.0660,0.0660,0.0660,
B_DEVOTO,NDVI,37,0.0589,0.0578,0.0601,
B_DEVOTO,NDVI,38,0.0570,0.0570,0.0570,
B_DEVOTO,NDVI,39,0.0560,0.0549,0.0572,
B_DEVOTO,NDVI,40,0.0511,0.0511,0.0511,
B_DEVOTO,NDVI,41,0.0602,0.0602,0.0602,
B_DEVOTO,NDVI,42,,,,
B_DEVOTO,NDVI,43,0.0573,0.0566,0.0579,
B_DEVOTO,NDVI,44,0.0565,0.0561,0.0569,
