predio,band,month,historical_median,historical_p25,historical_p75,value_2026
B_DEVOTO,NDVI,1,0.0544,0.0541,0.0585,0.0609
B_DEVOTO,NDVI,2,0.0574,0.0560,0.0610,0.0640
B_DEVOTO,NDVI,3,0.0582,0.0575,0.0587,0.0622
B_DEVOTO,NDVI,4,0.0608,0.0578,0.0653,0.0670
B_DEVOTO,NDVI,5,0.0671,0.0630,0.0704,0.0666
B_DEVOTO,NDVI,6,0.0738,0.0736,0.0764,0.0634
B_DEVOTO,NDVI,7,0.0706,0.0689,0.0715,
B_DEVOTO,NDVI,8,0.0714,0.0706,0.0723,
B_DEVOTO,NDVI,9,0.0584,0.0568,0.0636,
B_DEVOTO,NDVI,10,0.0567,0.0558,0.0582,
B_DEVOTO,NDVI,11,0.0550,0.0546,0.0556,
B_DEVOTO,NDVI,12,0.0552,0.0543,0.0568,
B_DEVOTO,NDMI,1,0.0162,0.0119,0.0190,0.0181
B_DEVOTO,NDMI,2,0.0156,0.0134,0.0206,0.0212
B_DEVOTO,NDMI,3,0.0166,0.0148,0.0179,0.0214
B_DEVOTO,NDMI,4,0.0198,0.0156,0.0217,0.0235
B_DEVOTO,NDMI,5,0.0251,0.0226,0.0285,0.0262
B_DEVOTO,NDMI,6,0.0337,0.0318,0.0354,0.0308
B_DEVOTO,NDMI,7,0.0262,0.0249,0.0273,
B_DEVOTO,NDMI,8,0.0270,0.0254,0.0275,
B_DEVOTO,NDMI,9,0.0158,0.0137,0.0186,
B_DEVOTO,NDMI,10,0.0106,0.0101,0.0112,
B_DEVOTO,NDMI,11,0.0121,0.0111,0.0126,
B_DEVOTO,NDMI,12,0.0142,0.0138,0.0147,
B_DEVOTO,MNDWI,1,-0.0458,-0.0466,-0.0457,-0.0470
B_DEVOTO,MNDWI,2,-0.0477,-0.0484,-0.0468,-0.0501
B_DEVOTO,MNDWI,3,-0.0496,-0.0499,-0.0493,-0.0485
B_DEVOTO,MNDWI,4,-0.0509,-0.0513,-0.0504,-0.0525
B_DEVOTO,MNDWI,5,-0.0482,-0.0515,-0.0479,-0.0469
B_DEVOTO,MNDWI,6,-0.0479,-0.0491,-0.0468,-0.0366
B_DEVOTO,MNDWI,7,-0.0487,-0.0528,-0.0467,
B_DEVOTO,MNDWI,8,-0.0502,-0.0513,-0.0494,
B_DEVOTO,MNDWI,9,-0.0510,-0.0514,-0.0485,
B_DEVOTO,MNDWI,10,-0.0491,-0.0502,-0.0480,
B_DEVOTO,MNDWI,11,-0.0458,-0.0461,-0.0455,
B_DEVOTO,MNDWI,12,-0.0452,-0.0461,-0.0449,
B_DEVOTO,GNDVI,1,0.0558,0.0553,0.0600,0.0597
B_DEVOTO,GNDVI,2,0.0594,0.0580,0.0615,0.0642
B_DEVOTO,GNDVI,3,0.0604,0.0594,0.0613,0.0632
B_DEVOTO,GNDVI,4,0.0619,0.0608,0.0659,0.0673
B_DEVOTO,GNDVI,5,0.0669,0.0643,0.0671,0.0659
B_DEVOTO,GNDVI,6,0.0684,0.0682,0.0709,0.0603
B_DEVOTO,GNDVI,7,0.0670,0.0659,0.0677,
B_DEVOTO,GNDVI,8,0.0671,0.0666,0.0678,
B_DEVOTO,GNDVI,9,0.0612,0.0592,0.0622,
B_DEVOTO,GNDVI,10,0.0566,0.0555,0.0577,
B_DEVOTO,GNDVI,11,0.0548,0.0547,0.0551,
B_DEVOTO,GNDVI,12,0.0561,0.0553,0.0566,
B_DEVOTO,EVI,1,0.0431,0.0407,0.0439,0.0456
B_DEVOTO,EVI,2,0.0404,0.0399,0.0431,0.0451
B_DEVOTO,EVI,3,0.0399,0.0389,0.0402,0.0429
B_DEVOTO,EVI,4,0.0414,0.0385,0.0426,0.0438
B_DEVOTO,EVI,5,0.0424,0.0419,0.0428,0.0436
B_DEVOTO,EVI,6,0.0421,0.0421,0.0427,0.0379
B_DEVOTO,EVI,7,0.0417,0.0406,0.0423,
B_DEVOTO,EVI,8,0.0427,0.0422,0.0431,
B_DEVOTO,EVI,9,0.0416,0.0390,0.0425,
B_DEVOTO,EVI,10,0.0394,0.0385,0.0402,
B_DEVOTO,EVI,11,0.0413,0.0408,0.0416,
B_DEVOTO,EVI,12,0.0423,0.0412,0.0436,
B_DEVOTO,MSAVI,1,0.0392,0.0371,0.0423,0.0423
B_DEVOTO,MSAVI,2,0.0380,0.0368,0.0407,0.0434
B_DEVOTO,MSAVI,3,0.0373,0.0364,0.0377,0.0407
B_DEVOTO,MSAVI,4,0.0374,0.0367,0.0409,0.0427
B_DEVOTO,MSAVI,5,0.0401,0.0400,0.0402,0.0408
B_DEVOTO,MSAVI,6,0.0413,0.0408,0.0415,0.0333
B_DEVOTO,MSAVI,7,0.0396,0.0387,0.0403,
B_DEVOTO,MSAVI,8,0.0407,0.0403,0.0416,
B_DEVOTO,MSAVI,9,0.0369,0.0367,0.0401,
B_DEVOTO,MSAVI,10,0.0365,0.0360,0.0377,
B_DEVOTO,MSAVI,11,0.0379,0.0376,0.0385,
B_DEVOTO,MSAVI,12,0.0393,0.0382,0.0397,
B_DEVOTO,REDEDGE_POSITION,1,,,,
B_DEVOTO,REDEDGE_POSITION,2,,,,
B_DEVOTO,REDEDGE_POSITION,3,,,,
B_DEVOTO,REDEDGE_POSITION,4,,,,
B_DEVOTO,REDEDGE_POSITION,5,,,,
B_DEVOTO,REDEDGE_POSITION,6,,,,
B_DEVOTO,REDEDGE_POSITION,7,,,,
B_DEVOTO,REDEDGE_POSITION,8,,,,
B_DEVOTO,REDEDGE_POSITION,9,,,,
B_DEVOTO,REDEDGE_POSITION,10,,,,
B_DEVOTO,REDEDGE_POSITION,11,,,,
B_DEVOTO,REDEDGE_POSITION,12,,,,
B_DEVOTO,MCARI,1,0.0098,0.0086,0.0102,0.0112
B_DEVOTO,MCARI,2,0.0089,0.0079,0.0103,0.0102
B_DEVOTO,MCARI,3,0.0079,0.0077,0.0082,0.0095
B_DEVOTO,MCARI,4,0.0081,0.0069,0.0084,0.0100
B_DEVOTO,MCARI,5,0.0089,0.0088,0.0118,0.0084
B_DEVOTO,MCARI,6,0.0144,0.0131,0.0151,0.0085
B_DEVOTO,MCARI,7,0.0114,0.0110,0.0126,
B_DEVOTO,MCARI,8,0.0131,0.0125,0.0142,
B_DEVOTO,MCARI,9,0.0106,0.0088,0.0108,
B_DEVOTO,MCARI,10,0.0105,0.0100,0.0107,
B_DEVOTO,MCARI,11,0.0110,0.0099,0.0115,
B_DEVOTO,MCARI,12,0.0107,0.0101,0.0111,
B_DEVOTO,PSRI,1,0.0146,0.0143,0.0148,0.0122
B_DEVOTO,PSRI,2,0.0148,0.0139,0.0156,0.0135
B_DEVOTO,PSRI,3,0.0153,0.0150,0.0163,0.0136
B_DEVOTO,PSRI,4,0.0132,0.0132,0.0168,0.0133
B_DEVOTO,PSRI,5,0.0122,0.0120,0.0122,0.0098
B_DEVOTO,PSRI,6,0.0088,0.0086,0.0094,0.0091
B_DEVOTO,PSRI,7,0.0100,0.0090,0.0105,
B_DEVOTO,PSRI,8,0.0107,0.0101,0.0112,
B_DEVOTO,PSRI,9,0.0149,0.0111,0.0166,
B_DEVOTO,PSRI,10,0.0148,0.0138,0.0152,
B_DEVOTO,PSRI,11,0.0145,0.0139,0.0147,
B_DEVOTO,PSRI,12,0.0152,0.0138,0.0156,
