predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
C_ALVARADO,NDVI,1,0.6592,0.6404,0.6781,0.6821
C_ALVARADO,NDVI,2,0.6366,0.6310,0.6421,0.7002
C_ALVARADO,NDVI,3,0.6495,0.6293,0.6697,0.6996
C_ALVARADO,NDVI,4,0.6460,0.6232,0.6688,0.6315
C_ALVARADO,NDVI,5,0.6440,0.6222,0.6659,0.6848
C_ALVARADO,NDVI,6,0.6603,0.6383,0.6822,0.6929
C_ALVARADO,NDVI,7,0.6319,0.6189,0.6449,0.6686
C_ALVARADO,NDVI,8,0.6180,0.6180,0.6180,0.6892
C_ALVARADO,NDVI,9,0.6341,0.6284,0.6398,0.6992
C_ALVARADO,NDVI,10,0.6436,0.6430,0.6442,0.6819
C_ALVARADO,NDVI,11,0.6451,0.6432,0.6471,0.6343
C_ALVARADO,NDVI,12,0.6483,0.6477,0.6489,0.6642
C_ALVARADO,NDVI,13,0.6322,0.6315,0.6328,0.6570
C_ALVARADO,NDVI,14,0.6847,0.6695,0.6999,0.6533
C_ALVARADO,NDVI,15,0.7152,0.7152,0.7152,0.6527
C_ALVARADO,NDVI,16,0.7011,0.7011,0.7011,
C_ALVARADO,NDVI,17,0.6875,0.6776,0.6974,
C_ALVARADO,NDVI,18,0.6656,0.6656,0.6656,0.6721
C_ALVARADO,NDVI,19,,,,0.5808
C_ALVARADO,NDVI,20,0.5530,0.5530,0.5530,0.6131
C_ALVARADO,NDVI,21,,,,0.5375
C_ALVARADO,NDVI,22,0.4191,0.4191,0.4191,0.3989
C_ALVARADO,NDVI,23,0.4284,0.4284,0.4284,
C_ALVARADO,NDVI,24,0.4418,0.4418,0.4418,0.3075
C_ALVARADO,NDVI,25,0.4689,0.4689,0.4689,
C_ALVARADO,NDVI,26,0.4427,0.4323,0.4532,
C_ALVARADO,NDVI,27,0.4496,0.4461,0.4530,
C_ALVARADO,NDVI,28,0.4580,0.4545,0.4616,
C_ALVARADO,NDVI,29,0.4443,0.4376,0.4510,
C_ALVARADO,NDVI,30,0.3973,0.3973,0.3973,
C_ALVARADO,NDVI,31,,,,
C_ALVARADO,NDVI,32,0.4761,0.4503,0.5020,
C_ALVARADO,NDVI,33,0.5293,0.5293,0.5293,
C_ALVARADO,NDVI,34,0.4519,0.4519,0.4519,
C_ALVARADO,NDVI,35,0.5687,0.5687,0.5687,
C_ALVARADO,NDVI,36,0.5333,0.5003,0.5664,
C_ALVARADO,NDVI,37,0.5368,0.5076,0.5660,
C_ALVARADO,NDVI,38,0.5397,0.5211,0.5582,
C_ALVARADO,NDVI,39,0.4878,0.4611,0.5145,
C_ALVARADO,NDVI,40,0.6183,0.6183,0.6183,
C_ALVARADO,NDVI,41,0.5736,0.5736,0.5736,
C_ALVARADO,NDVI,42,0.6928,0.6727,0.7129,
C_ALVARADO,NDVI,43,0.7400,0.7399,0.7402,
C_ALVARADO,NDVI,44,0.7508,0.7501,0.7514,
C_ALVARADO,NDVI,45,0.7586,0.7556,0.7616,
C_ALVARADO,NDVI,46,0.7295,0.7212,0.7378,
C_ALVARADO,NDVI,47,0.7410,0.7392,0.7429,
C_ALVARADO,NDVI,48,0.7237,0.7231,0.7243,
C_ALVARADO,NDVI,49,0.7296,0.7260,0.7332,
C_ALVARADO,NDVI,50,0.7380,0.7373,0.7387,
C_ALVARADO,NDVI,51,0.6963,0.6929,0.6998,
C_ALVARADO,NDVI,52,0.7066,0.7001,0.7130,
C_ALVARADO,NDMI,1,0.2632,0.2606,0.2659,0.2473
C_ALVARADO,NDMI,2,0.2563,0.2450,0.2677,0.2523
C_ALVARADO,NDMI,3,0.2375,0.2322,0.2429,0.2579
C_ALVARADO,NDMI,4,0.2370,0.2308,0.2432,0.2130
C_ALVARADO,NDMI,5,0.2376,0.2339,0.2414,0.2428
C_ALVARADO,NDMI,6,0.2412,0.2368,0.2456,0.2374
C_ALVARADO,NDMI,7,0.2210,0.2187,0.2232,0.2219
C_ALVARADO,NDMI,8,0.1803,0.1803,0.1803,0.2464
C_ALVARADO,NDMI,9,0.1979,0.1881,0.2077,0.2440
C_ALVARADO,NDMI,10,0.1961,0.1940,0.1982,0.2318
C_ALVARADO,NDMI,11,0.2017,0.1969,0.2066,0.1999
C_ALVARADO,NDMI,12,0.2047,0.2040,0.2053,0.2204
C_ALVARADO,NDMI,13,0.1868,0.1822,0.1915,0.2133
C_ALVARADO,NDMI,14,0.2316,0.2189,0.2443,0.2002
C_ALVARADO,NDMI,15,0.2338,0.2338,0.2338,0.2235
C_ALVARADO,NDMI,16,0.2456,0.2456,0.2456,
C_ALVARADO,NDMI,17,0.2108,0.2108,0.2109,
C_ALVARADO,NDMI,18,0.1943,0.1943,0.1943,0.2030
C_ALVARADO,NDMI,19,,,,0.2050
C_ALVARADO,NDMI,20,0.1091,0.1091,0.1091,0.1623
C_ALVARADO,NDMI,21,,,,0.0884
C_ALVARADO,NDMI,22,-0.0169,-0.0169,-0.0169,0.0412
C_ALVARADO,NDMI,23,-0.0864,-0.0864,-0.0864,
C_ALVARADO,NDMI,24,-0.0636,-0.0636,-0.0636,0.0024
C_ALVARADO,NDMI,25,-0.0165,-0.0165,-0.0165,
C_ALVARADO,NDMI,26,-0.0443,-0.0447,-0.0438,
C_ALVARADO,NDMI,27,-0.0588,-0.0613,-0.0562,
C_ALVARADO,NDMI,28,-0.0406,-0.0427,-0.0385,
C_ALVARADO,NDMI,29,-0.0464,-0.0477,-0.0450,
C_ALVARADO,NDMI,30,-0.0297,-0.0297,-0.0297,
C_ALVARADO,NDMI,31,,,,
C_ALVARADO,NDMI,32,-0.0209,-0.0378,-0.0039,
C_ALVARADO,NDMI,33,0.0353,0.0353,0.0353,
