predio,band,month,historical_median,historical_p25,historical_p75,value_2026
C_ALVARADO,NDVI,1,0.6941,0.6736,0.7343,0.7358
C_ALVARADO,NDVI,2,0.6711,0.6533,0.6940,0.7374
C_ALVARADO,NDVI,3,0.6922,0.6811,0.6964,0.7230
C_ALVARADO,NDVI,4,0.7470,0.7261,0.7548,0.7174
C_ALVARADO,NDVI,5,0.5525,0.4824,0.6209,0.6022
C_ALVARADO,NDVI,6,0.4428,0.4213,0.4517,0.3262
C_ALVARADO,NDVI,7,0.4459,0.4317,0.4506,0.3162
C_ALVARADO,NDVI,8,0.5177,0.4556,0.5180,
C_ALVARADO,NDVI,9,0.5344,0.4832,0.5744,
C_ALVARADO,NDVI,10,0.7947,0.7274,0.8072,
C_ALVARADO,NDVI,11,0.7902,0.7789,0.7958,
C_ALVARADO,NDVI,12,0.7642,0.7520,0.7769,
C_ALVARADO,NDMI,1,0.2897,0.2753,0.2961,0.2864
C_ALVARADO,NDMI,2,0.2490,0.2375,0.2591,0.2724
C_ALVARADO,NDMI,3,0.2353,0.2290,0.2415,0.2619
C_ALVARADO,NDMI,4,0.2646,0.2488,0.2872,0.2560
C_ALVARADO,NDMI,5,0.1224,0.0501,0.1709,0.1428
C_ALVARADO,NDMI,6,-0.0543,-0.0627,-0.0453,-0.0559
C_ALVARADO,NDMI,7,-0.0581,-0.0596,-0.0527,-0.1054
C_ALVARADO,NDMI,8,-0.0003,-0.0420,0.0181,
C_ALVARADO,NDMI,9,0.0401,0.0110,0.0789,
C_ALVARADO,NDMI,10,0.3209,0.2191,0.3422,
C_ALVARADO,NDMI,11,0.3436,0.3385,0.3516,
C_ALVARADO,NDMI,12,0.3241,0.3210,0.3320,
C_ALVARADO,MNDWI,1,-0.4727,-0.5080,-0.4521,-0.5084
C_ALVARADO,MNDWI,2,-0.5083,-0.5319,-0.4551,-0.5283
C_ALVARADO,MNDWI,3,-0.5080,-0.5182,-0.5037,-0.5142
C_ALVARADO,MNDWI,4,-0.5300,-0.5486,-0.5253,-0.5235
C_ALVARADO,MNDWI,5,-0.5300,-0.5317,-0.5283,-0.5101
C_ALVARADO,MNDWI,6,-0.5951,-0.6072,-0.5883,-0.5030
C_ALVARADO,MNDWI,7,-0.5868,-0.5927,-0.5663,-0.5414
C_ALVARADO,MNDWI,8,-0.5601,-0.5607,-0.5481,
C_ALVARADO,MNDWI,9,-0.5441,-0.5592,-0.5394,
C_ALVARADO,MNDWI,10,-0.5475,-0.5590,-0.5436,
C_ALVARADO,MNDWI,11,-0.5231,-0.5271,-0.5180,
C_ALVARADO,MNDWI,12,-0.5123,-0.5237,-0.4857,
C_ALVARADO,REDEDGE_POSITION,1,720.4421,720.3171,720.7647,719.4343
C_ALVARADO,REDEDGE_POSITION,2,719.5107,717.2641,719.8867,718.4985
C_ALVARADO,REDEDGE_POSITION,3,718.2056,717.9275,719.0176,716.9339
C_ALVARADO,REDEDGE_POSITION,4,717.7971,716.5134,718.4590,714.5604
C_ALVARADO,REDEDGE_POSITION,5,713.7997,713.0782,714.5910,709.5272
C_ALVARADO,REDEDGE_POSITION,6,715.8467,713.3424,716.1551,713.9406
C_ALVARADO,REDEDGE_POSITION,7,716.2043,714.6762,716.6057,712.7515
C_ALVARADO,REDEDGE_POSITION,8,715.7464,715.1326,716.1298,
C_ALVARADO,REDEDGE_POSITION,9,715.0605,714.1201,716.5533,
C_ALVARADO,REDEDGE_POSITION,10,718.1614,714.8378,719.3609,
C_ALVARADO,REDEDGE_POSITION,11,719.8158,718.8730,720.1188,
C_ALVARADO,REDEDGE_POSITION,12,719.9554,719.3766,720.5169,
C_ALVARADO,MCARI,1,0.0847,0.0753,0.0889,0.1158
C_ALVARADO,MCARI,2,0.0745,0.0672,0.1058,0.1186
C_ALVARADO,MCARI,3,0.0765,0.0725,0.0873,0.1188
C_ALVARADO,MCARI,4,0.0994,0.0975,0.1217,0.1442
C_ALVARADO,MCARI,5,0.0647,0.0501,0.0796,0.1171
C_ALVARADO,MCARI,6,0.0318,0.0302,0.0367,0.0217
C_ALVARADO,MCARI,7,0.0323,0.0299,0.0346,0.0214
C_ALVARADO,MCARI,8,0.0383,0.0363,0.0480,
C_ALVARADO,MCARI,9,0.0560,0.0507,0.0625,
C_ALVARADO,MCARI,10,0.1696,0.1517,0.1799,
C_ALVARADO,MCARI,11,0.1472,0.1408,0.1630,
C_ALVARADO,MCARI,12,0.1174,0.1063,0.1443,
C_ALVARADO,GNDVI,1,0.6773,0.6512,0.6926,0.6910
C_ALVARADO,GNDVI,2,0.6615,0.6372,0.6715,0.6957
C_ALVARADO,GNDVI,3,0.6620,0.6595,0.6683,0.6810
C_ALVARADO,GNDVI,4,0.7061,0.6907,0.7112,0.6823
C_ALVARADO,GNDVI,5,0.6100,0.5616,0.6416,0.6198
C_ALVARADO,GNDVI,6,0.5532,0.5528,0.5708,0.4627
C_ALVARADO,GNDVI,7,0.5414,0.5270,0.5515,0.4643
C_ALVARADO,GNDVI,8,0.5434,0.5296,0.5785,
C_ALVARADO,GNDVI,9,0.5770,0.5471,0.5879,
C_ALVARADO,GNDVI,10,0.7298,0.6908,0.7405,
C_ALVARADO,GNDVI,11,0.7285,0.7194,0.7359,
C_ALVARADO,GNDVI,12,0.7143,0.6970,0.7237,
C_ALVARADO,MSAVI,1,0.4307,0.4092,0.4419,0.4645
C_ALVARADO,MSAVI,2,0.3659,0.3569,0.3803,0.4301
C_ALVARADO,MSAVI,3,0.3394,0.3282,0.3488,0.3911
C_ALVARADO,MSAVI,4,0.3648,0.3479,0.3783,0.3612
C_ALVARADO,MSAVI,5,0.2588,0.2294,0.2952,0.2956
C_ALVARADO,MSAVI,6,0.1927,0.1923,0.1932,0.1561
C_ALVARADO,MSAVI,7,0.2030,0.1974,0.2063,0.1491
C_ALVARADO,MSAVI,8,0.2457,0.2216,0.2492,
C_ALVARADO,MSAVI,9,0.2724,0.2472,0.2971,
C_ALVARADO,MSAVI,10,0.5508,0.4723,0.5757,
C_ALVARADO,MSAVI,11,0.5401,0.5242,0.5522,
C_ALVARADO,MSAVI,12,0.5143,0.4954,0.5261,
C_ALVARADO,EVI,1,0.4601,0.4523,0.4671,0.4934
C_ALVARADO,EVI,2,0.4050,0.3860,0.4146,0.4476
C_ALVARADO,EVI,3,0.3708,0.3609,0.3741,0.4137
C_ALVARADO,EVI,4,0.3792,0.3643,0.3966,0.3741
C_ALVARADO,EVI,5,0.2659,0.2433,0.3088,0.2985
C_ALVARADO,EVI,6,0.2122,0.2038,0.2173,0.1746
C_ALVARADO,EVI,7,0.2249,0.2185,0.2252,0.1642
C_ALVARADO,EVI,8,0.2753,0.2513,0.2880,
C_ALVARADO,EVI,9,0.3003,0.2776,0.3308,
C_ALVARADO,EVI,10,0.5552,0.4784,0.5659,
C_ALVARADO,EVI,11,0.5581,0.5386,0.5707,
C_ALVARADO,EVI,12,0.5371,0.5210,0.5473,
C_ALVARADO,PSRI,1,0.0768,0.0563,0.0845,0.0598
C_ALVARADO,PSRI,2,0.0930,0.0825,0.1017,0.0808
C_ALVARADO,PSRI,3,0.0971,0.0762,0.1043,0.0847
C_ALVARADO,PSRI,4,0.0944,0.0737,0.0978,0.1152
C_ALVARADO,PSRI,5,0.2353,0.1757,0.2409,0.2053
C_ALVARADO,PSRI,6,0.2601,0.2040,0.2622,0.2856
C_ALVARADO,PSRI,7,0.2232,0.1964,0.2320,0.3113
C_ALVARADO,PSRI,8,0.1650,0.1161,0.1817,
C_ALVARADO,PSRI,9,0.1503,0.1230,0.1790,
C_ALVARADO,PSRI,10,0.0703,0.0584,0.0825,
C_ALVARADO,PSRI,11,0.0486,0.0459,0.0659,
C_ALVARADO,PSRI,12,0.0533,0.0494,0.0567,
