predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
D_MONDACA,NDVI,1,0.0837,0.0833,0.0841,0.0853
D_MONDACA,NDVI,2,0.0828,0.0817,0.0838,0.0852
D_MONDACA,NDVI,3,0.0823,0.0820,0.0826,0.0776
D_MONDACA,NDVI,4,0.0805,0.0805,0.0806,0.0781
D_MONDACA,NDVI,5,0.0791,0.0784,0.0797,0.0820
D_MONDACA,NDVI,6,0.0778,0.0777,0.0779,0.0815
D_MONDACA,NDVI,7,0.0773,0.0761,0.0784,0.0804
D_MONDACA,NDVI,8,0.0735,0.0735,0.0735,0.0801
D_MONDACA,NDVI,9,0.0766,0.0746,0.0786,0.0767
D_MONDACA,NDVI,10,0.0756,0.0738,0.0775,0.0764
D_MONDACA,NDVI,11,0.0741,0.0715,0.0766,0.0732
D_MONDACA,NDVI,12,0.0727,0.0705,0.0749,0.0755
D_MONDACA,NDVI,13,0.0713,0.0696,0.0730,0.0773
D_MONDACA,NDVI,14,0.0715,0.0694,0.0735,0.0763
D_MONDACA,NDVI,15,0.0740,0.0740,0.0740,0.0644
D_MONDACA,NDVI,16,0.0835,0.0835,0.0835,
D_MONDACA,NDVI,17,0.0722,0.0681,0.0762,0.0616
D_MONDACA,NDVI,18,0.0708,0.0708,0.0708,0.0742
D_MONDACA,NDVI,19,,,,0.0650
D_MONDACA,NDVI,20,0.0687,0.0665,0.0709,0.0728
D_MONDACA,NDVI,21,,,,0.0684
D_MONDACA,NDVI,22,0.0569,0.0569,0.0569,0.0573
D_MONDACA,NDVI,23,0.0503,0.0503,0.0503,
D_MONDACA,NDVI,24,0.0391,0.0391,0.0391,0.0487
D_MONDACA,NDVI,25,0.0470,0.0470,0.0470,
D_MONDACA,NDVI,26,0.0362,0.0351,0.0374,
D_MONDACA,NDVI,27,0.0336,0.0331,0.0341,
D_MONDACA,NDVI,28,0.0327,0.0322,0.0333,
D_MONDACA,NDVI,29,0.0308,0.0299,0.0318,
D_MONDACA,NDVI,30,0.0210,0.0210,0.0210,
D_MONDACA,NDVI,31,,,,
D_MONDACA,NDVI,32,0.0292,0.0285,0.0298,
D_MONDACA,NDVI,33,0.0265,0.0265,0.0265,
D_MONDACA,NDVI,34,0.0259,0.0252,0.0265,
D_MONDACA,NDVI,35,0.0281,0.0281,0.0281,
D_MONDACA,NDVI,36,0.0256,0.0254,0.0259,
D_MONDACA,NDVI,37,0.0251,0.0251,0.0252,
D_MONDACA,NDVI,38,0.0241,0.0240,0.0242,
D_MONDACA,NDVI,39,0.0251,0.0248,0.0254,
D_MONDACA,NDVI,40,0.0317,0.0317,0.0317,
D_MONDACA,NDVI,41,0.0376,0.0376,0.0376,
D_MONDACA,NDVI,42,0.0570,0.0551,0.0589,
D_MONDACA,NDVI,43,0.0724,0.0697,0.0752,
D_MONDACA,NDVI,44,0.0773,0.0763,0.0783,
D_MONDACA,NDVI,45,0.0789,0.0768,0.0809,
D_MONDACA,NDVI,46,0.0844,0.0838,0.0850,
D_MONDACA,NDVI,47,0.0857,0.0856,0.0859,
D_MONDACA,NDVI,48,0.0863,0.0861,0.0866,
