predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
E_SAZO,NDVI,1,0.6594,0.6321,0.6867,0.7579
E_SAZO,NDVI,2,0.6593,0.6458,0.6729,0.7702
E_SAZO,NDVI,3,0.6729,0.6572,0.6886,0.7474
E_SAZO,NDVI,4,0.6641,0.6463,0.6819,0.7123
E_SAZO,NDVI,5,0.6700,0.6607,0.6792,0.7587
E_SAZO,NDVI,6,0.6689,0.6575,0.6803,0.7719
E_SAZO,NDVI,7,0.6769,0.6719,0.6818,0.7598
E_SAZO,NDVI,8,0.6813,0.6813,0.6813,0.7579
E_SAZO,NDVI,9,0.6868,0.6760,0.6976,0.7544
E_SAZO,NDVI,10,0.6943,0.6841,0.7044,0.7432
E_SAZO,NDVI,11,0.6908,0.6734,0.7081,0.7026
E_SAZO,NDVI,12,0.6705,0.6533,0.6877,0.7537
E_SAZO,NDVI,13,0.6622,0.6458,0.6785,0.7599
E_SAZO,NDVI,14,0.6630,0.6490,0.6769,0.7411
E_SAZO,NDVI,15,0.6764,0.6764,0.6764,0.6990
E_SAZO,NDVI,16,0.7858,0.7858,0.7858,
E_SAZO,NDVI,17,0.6751,0.6418,0.7085,0.5777
E_SAZO,NDVI,18,0.6224,0.6224,0.6224,0.6562
E_SAZO,NDVI,19,,,,0.4593
E_SAZO,NDVI,20,0.5335,0.4968,0.5703,0.5643
E_SAZO,NDVI,21,,,,0.4763
E_SAZO,NDVI,22,0.4774,0.4774,0.4774,0.3685
E_SAZO,NDVI,23,0.4375,0.4375,0.4375,
E_SAZO,NDVI,24,0.4059,0.4059,0.4059,0.3407
E_SAZO,NDVI,25,0.4173,0.4173,0.4173,
E_SAZO,NDVI,26,0.3698,0.3581,0.3815,0.3242
E_SAZO,NDVI,27,0.3514,0.3355,0.3674,0.3104
E_SAZO,NDVI,28,0.3505,0.3409,0.3600,0.3012
E_SAZO,NDVI,29,0.3400,0.3331,0.3468,
E_SAZO,NDVI,30,0.2304,0.2304,0.2304,
E_SAZO,NDVI,31,,,,
E_SAZO,NDVI,32,0.4084,0.4073,0.4094,
E_SAZO,NDVI,33,0.4289,0.4289,0.4289,
E_SAZO,NDVI,34,0.2508,0.2508,0.2508,0.2897
E_SAZO,NDVI,35,0.4778,0.4778,0.4778,
E_SAZO,NDVI,36,0.2619,0.2500,0.2738,
E_SAZO,NDVI,37,0.2436,0.2391,0.2480,
E_SAZO,NDVI,38,0.2299,0.2299,0.2299,
E_SAZO,NDVI,39,0.2565,0.2446,0.2685,
E_SAZO,NDVI,40,0.3533,0.3533,0.3533,
E_SAZO,NDVI,41,0.2609,0.2609,0.2609,
E_SAZO,NDVI,42,0.4323,0.3735,0.4911,
E_SAZO,NDVI,43,0.5320,0.5084,0.5557,
E_SAZO,NDVI,44,0.5727,0.5430,0.6025,
E_SAZO,NDVI,45,0.5899,0.5609,0.6190,
E_SAZO,NDVI,46,0.6557,0.6463,0.6651,
