predio,band,month,historical_median,historical_p25,historical_p75,value_2026
E_SAZO,NDVI,1,0.0779,0.0751,0.0792,0.0805
E_SAZO,NDVI,2,0.0760,0.0753,0.0768,0.0790
E_SAZO,NDVI,3,0.0745,0.0706,0.0770,0.0758
E_SAZO,NDVI,4,0.0749,0.0697,0.0783,0.0736
E_SAZO,NDVI,5,0.0668,0.0589,0.0678,0.0482
E_SAZO,NDVI,6,0.0324,0.0313,0.0382,
E_SAZO,NDVI,7,0.0308,0.0298,0.0313,
E_SAZO,NDVI,8,0.0324,0.0311,0.0346,
E_SAZO,NDVI,9,0.0222,0.0216,0.0237,
E_SAZO,NDVI,10,0.0525,0.0287,0.0585,
E_SAZO,NDVI,11,0.0768,0.0742,0.0801,
E_SAZO,NDVI,12,0.0818,0.0814,0.0828,
E_SAZO,NDMI,1,0.0344,0.0322,0.0352,0.0365
E_SAZO,NDMI,2,0.0333,0.0321,0.0340,0.0351
E_SAZO,NDMI,3,0.0318,0.0295,0.0337,0.0327
E_SAZO,NDMI,4,0.0324,0.0292,0.0361,0.0308
E_SAZO,NDMI,5,0.0268,0.0199,0.0279,0.0113
E_SAZO,NDMI,6,-0.0062,-0.0090,0.0057,
E_SAZO,NDMI,7,-0.0156,-0.0166,-0.0142,
E_SAZO,NDMI,8,-0.0158,-0.0181,-0.0139,
E_SAZO,NDMI,9,-0.0158,-0.0163,-0.0149,
E_SAZO,NDMI,10,0.0099,-0.0089,0.0169,
E_SAZO,NDMI,11,0.0324,0.0283,0.0343,
E_SAZO,NDMI,12,0.0371,0.0365,0.0376,
E_SAZO,NDWI,1,-0.0716,-0.0727,-0.0710,-0.0735
E_SAZO,NDWI,2,-0.0717,-0.0720,-0.0709,-0.0736
E_SAZO,NDWI,3,-0.0709,-0.0732,-0.0683,-0.0718
E_SAZO,NDWI,4,-0.0717,-0.0744,-0.0686,-0.0715
E_SAZO,NDWI,5,-0.0695,-0.0696,-0.0670,-0.0657
E_SAZO,NDWI,6,-0.0592,-0.0652,-0.0578,
E_SAZO,NDWI,7,-0.0522,-0.0553,-0.0481,
E_SAZO,NDWI,8,-0.0505,-0.0506,-0.0434,
E_SAZO,NDWI,9,-0.0410,-0.0419,-0.0407,
E_SAZO,NDWI,10,-0.0563,-0.0585,-0.0436,
E_SAZO,NDWI,11,-0.0693,-0.0711,-0.0670,
E_SAZO,NDWI,12,-0.0739,-0.0741,-0.0736,
E_SAZO,MNDWI,1,-0.0499,-0.0506,-0.0496,-0.0512
E_SAZO,MNDWI,2,-0.0507,-0.0508,-0.0495,-0.0520
E_SAZO,MNDWI,3,-0.0507,-0.0528,-0.0489,-0.0510
E_SAZO,MNDWI,4,-0.0513,-0.0528,-0.0502,-0.0518
E_SAZO,MNDWI,5,-0.0528,-0.0540,-0.0517,-0.0562
E_SAZO,MNDWI,6,-0.0626,-0.0631,-0.0625,
E_SAZO,MNDWI,7,-0.0635,-0.0647,-0.0599,
E_SAZO,MNDWI,8,-0.0600,-0.0602,-0.0565,
E_SAZO,MNDWI,9,-0.0538,-0.0544,-0.0529,
E_SAZO,MNDWI,10,-0.0494,-0.0503,-0.0483,
E_SAZO,MNDWI,11,-0.0485,-0.0494,-0.0472,
E_SAZO,MNDWI,12,-0.0512,-0.0517,-0.0505,
