predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
G1,NDVI,1,0.7738,0.7537,0.7939,0.8446
G1,NDVI,2,0.7792,0.7720,0.7864,0.8430
G1,NDVI,3,0.7917,0.7833,0.8000,0.8151
G1,NDVI,4,0.7797,0.7680,0.7914,0.7669
G1,NDVI,5,0.7811,0.7769,0.7852,0.8117
G1,NDVI,6,0.7693,0.7595,0.7790,0.8088
G1,NDVI,7,0.7737,0.7725,0.7748,0.8054
G1,NDVI,8,0.7709,0.7709,0.7709,0.7935
G1,NDVI,9,0.7738,0.7607,0.7869,0.7805
G1,NDVI,10,0.7733,0.7619,0.7848,0.7678
G1,NDVI,11,0.7604,0.7408,0.7799,0.7376
G1,NDVI,12,0.7349,0.7144,0.7555,0.7652
G1,NDVI,13,0.7272,0.7110,0.7433,0.7804
G1,NDVI,14,0.7282,0.7100,0.7464,0.7736
G1,NDVI,15,0.7524,0.7524,0.7524,0.7572
G1,NDVI,16,0.8501,0.8501,0.8501,
G1,NDVI,17,0.7402,0.7092,0.7713,0.6221
G1,NDVI,18,0.6965,0.6965,0.6965,0.7421
G1,NDVI,19,,,,
G1,NDVI,20,0.6750,0.6750,0.6750,
G1,NDVI,21,,,,
G1,NDVI,22,0.5127,0.5127,0.5127,
G1,NDVI,23,0.4594,0.4594,0.4594,
G1,NDVI,24,0.3219,0.3219,0.3219,
G1,NDVI,25,0.3799,0.3799,0.3799,
G1,NDVI,26,0.3104,0.3091,0.3118,
G1,NDVI,27,0.3085,0.3064,0.3107,
G1,NDVI,28,0.3129,0.3090,0.3168,
G1,NDVI,29,0.2996,0.2940,0.3052,
G1,NDVI,30,0.2085,0.2085,0.2085,
G1,NDVI,31,,,,
G1,NDVI,32,0.3289,0.3241,0.3338,
G1,NDVI,33,0.3049,0.3049,0.3049,
G1,NDVI,34,0.2309,0.2309,0.2309,
G1,NDVI,35,0.3546,0.3546,0.3546,
G1,NDVI,36,0.2499,0.2353,0.2644,
G1,NDVI,37,0.2308,0.2217,0.2399,
G1,NDVI,38,0.2155,0.2155,0.2155,
G1,NDVI,39,0.2177,0.2152,0.2201,
G1,NDVI,40,0.2935,0.2935,0.2935,
G1,NDVI,41,0.2214,0.2214,0.2214,
G1,NDVI,42,0.4267,0.3486,0.5048,
G1,NDVI,43,0.5720,0.5413,0.6028,
G1,NDVI,44,0.6363,0.5944,0.6782,
G1,NDVI,45,0.6816,0.6419,0.7213,
G1,NDVI,46,0.7676,0.7531,0.7822,
G1,NDVI,47,0.7892,0.7772,0.8012,
G1,NDVI,48,0.8219,0.8187,0.8250,
G1,NDVI,49,0.8287,0.8280,0.8294,
G1,NDVI,50,0.8393,0.8333,0.8453,
G1,NDVI,51,0.8270,0.8198,0.8342,
G1,NDVI,52,0.8320,0.8274,0.8367,
G1,NDMI,1,0.3346,0.3178,0.3514,0.3835
G1,NDMI,2,0.3413,0.3345,0.3481,0.3874
G1,NDMI,3,0.3509,0.3446,0.3572,0.3744
G1,NDMI,4,0.3384,0.3283,0.3485,0.3288
G1,NDMI,5,0.3404,0.3355,0.3452,0.3591
G1,NDMI,6,0.3343,0.3261,0.3425,0.3575
G1,NDMI,7,0.3394,0.3389,0.3399,0.3533
G1,NDMI,8,0.3451,0.3451,0.3451,0.3600
G1,NDMI,9,0.3333,0.3240,0.3427,0.3418
G1,NDMI,10,0.3383,0.3303,0.3463,0.3287
G1,NDMI,11,0.3305,0.3165,0.3444,0.3028
G1,NDMI,12,0.3137,0.3017,0.3258,0.3345
G1,NDMI,13,0.3021,0.2912,0.3129,0.3472
G1,NDMI,14,0.3112,0.2991,0.3232,0.3313
G1,NDMI,15,0.3233,0.3233,0.3233,0.3320
G1,NDMI,16,0.4150,0.4150,0.4150,
G1,NDMI,17,0.3177,0.2886,0.3467,0.2416
G1,NDMI,18,0.2718,0.2718,0.2718,0.2983
G1,NDMI,19,,,,
G1,NDMI,20,0.2945,0.2945,0.2945,
G1,NDMI,21,,,,
G1,NDMI,22,0.1324,0.1324,0.1324,
G1,NDMI,23,0.0756,0.0756,0.0756,
G1,NDMI,24,-0.0904,-0.0904,-0.0904,
G1,NDMI,25,0.0589,0.0589,0.0589,
G1,NDMI,26,-0.1095,-0.1337,-0.0854,
G1,NDMI,27,-0.1550,-0.1644,-0.1456,
G1,NDMI,28,-0.1568,-0.1613,-0.1523,
G1,NDMI,29,-0.1665,-0.1708,-0.1621,
G1,NDMI,30,-0.0256,-0.0256,-0.0256,
G1,NDMI,31,,,,
G1,NDMI,32,-0.1655,-0.1760,-0.1549,
G1,NDMI,33,-0.1654,-0.1654,-0.1654,
G1,NDMI,34,-0.1873,-0.1873,-0.1873,
G1,NDMI,35,-0.1490,-0.1490,-0.1490,
G1,NDMI,36,-0.1612,-0.1630,-0.1594,
G1,NDMI,37,-0.1549,-0.1582,-0.1517,
G1,NDMI,38,-0.1743,-0.1743,-0.1743,
G1,NDMI,39,-0.1419,-0.1552,-0.1286,
G1,NDMI,40,-0.0857,-0.0857,-0.0857,
G1,NDMI,41,-0.1391,-0.1391,-0.1391,
G1,NDMI,42,0.0231,-0.0439,0.0902,
G1,NDMI,43,0.1491,0.1166,0.1816,
G1,NDMI,44,0.1909,0.1535,0.2284,
G1,NDMI,45,0.2632,0.2341,0.2923,
G1,NDMI,46,0.3086,0.2914,0.3259,
G1,NDMI,47,0.3291,0.3112,0.3470,
G1,NDMI,48,0.3583,0.3489,0.3678,
G1,NDMI,49,0.3647,0.3548,0.3746,
G1,NDMI,50,0.3794,0.3789,0.3799,
G1,NDMI,51,0.3760,0.3745,0.3776,
G1,NDMI,52,0.3737,0.3683,0.3791,
G1,NDWI,1,-0.7143,-0.7235,-0.7052,-0.7577
G1,NDWI,2,-0.7181,-0.7200,-0.7163,-0.7569
G1,NDWI,3,-0.7295,-0.7337,-0.7254,-0.7374
G1,NDWI,4,-0.7190,-0.7261,-0.7119,-0.6983
G1,NDWI,5,-0.7233,-0.7238,-0.7229,-0.7386
G1,NDWI,6,-0.7161,-0.7224,-0.7097,-0.7449
G1,NDWI,7,-0.7245,-0.7252,-0.7237,-0.7439
G1,NDWI,8,-0.7186,-0.7186,-0.7186,-0.7396
G1,NDWI,9,-0.7248,-0.7360,-0.7136,-0.7285
G1,NDWI,10,-0.7286,-0.7377,-0.7195,-0.7194
G1,NDWI,11,-0.7227,-0.7383,-0.7071,-0.6985
G1,NDWI,12,-0.7015,-0.7181,-0.6850,-0.7288
G1,NDWI,13,-0.6943,-0.7052,-0.6834,-0.7294
G1,NDWI,14,-0.7008,-0.7112,-0.6904,-0.7273
G1,NDWI,15,-0.7219,-0.7219,-0.7219,-0.7217
G1,NDWI,16,-0.7891,-0.7891,-0.7891,
G1,NDWI,17,-0.7142,-0.7353,-0.6932,-0.6125
G1,NDWI,18,-0.7008,-0.7008,-0.7008,-0.7343
G1,NDWI,19,,,,
G1,NDWI,20,-0.6985,-0.6985,-0.6985,
G1,NDWI,21,,,,
G1,NDWI,22,-0.6468,-0.6468,-0.6468,
G1,NDWI,23,-0.6561,-0.6561,-0.6561,
G1,NDWI,24,-0.5791,-0.5791,-0.5791,
G1,NDWI,25,-0.6583,-0.6583,-0.6583,
G1,NDWI,26,-0.5578,-0.5755,-0.5400,
G1,NDWI,27,-0.5392,-0.5479,-0.5305,
G1,NDWI,28,-0.5300,-0.5478,-0.5123,
G1,NDWI,29,-0.5099,-0.5319,-0.4879,
G1,NDWI,30,-0.2841,-0.2841,-0.2841,
G1,NDWI,31,,,,
G1,NDWI,32,-0.5077,-0.5104,-0.5049,
G1,NDWI,33,-0.4318,-0.4318,-0.4318,
G1,NDWI,34,-0.4261,-0.4261,-0.4261,
G1,NDWI,35,-0.5026,-0.5026,-0.5026,
G1,NDWI,36,-0.4337,-0.4459,-0.4214,
G1,NDWI,37,-0.4170,-0.4213,-0.4128,
G1,NDWI,38,-0.4037,-0.4037,-0.4037,
G1,NDWI,39,-0.3940,-0.4027,-0.3853,
G1,NDWI,40,-0.4357,-0.4357,-0.4357,
G1,NDWI,41,-0.4005,-0.4005,-0.4005,
G1,NDWI,42,-0.5097,-0.5480,-0.4715,
G1,NDWI,43,-0.5789,-0.5892,-0.5687,
G1,NDWI,44,-0.6214,-0.6462,-0.5966,
G1,NDWI,45,-0.6305,-0.6546,-0.6063,
G1,NDWI,46,-0.6880,-0.6967,-0.6794,
G1,NDWI,47,-0.7068,-0.7142,-0.6994,
G1,NDWI,48,-0.7262,-0.7318,-0.7205,
G1,NDWI,49,-0.7398,-0.7416,-0.7380,
G1,NDWI,50,-0.7482,-0.7489,-0.7476,
G1,NDWI,51,-0.7385,-0.7411,-0.7359,
G1,NDWI,52,-0.7462,-0.7476,-0.7448,
G1,MNDWI,1,-0.5007,-0.5010,-0.5005,-0.5295
G1,MNDWI,2,-0.5001,-0.5091,-0.4912,-0.5244
G1,MNDWI,3,-0.5117,-0.5131,-0.5104,-0.5023
G1,MNDWI,4,-0.5044,-0.5068,-0.5020,-0.4805
G1,MNDWI,5,-0.5088,-0.5123,-0.5053,-0.5174
G1,MNDWI,6,-0.5039,-0.5067,-0.5011,-0.5300
G1,MNDWI,7,-0.5113,-0.5120,-0.5105,-0.5315
G1,MNDWI,8,-0.4979,-0.4979,-0.4979,-0.5176
G1,MNDWI,9,-0.5188,-0.5287,-0.5089,-0.5155
G1,MNDWI,10,-0.5204,-0.5283,-0.5124,-0.5127
G1,MNDWI,11,-0.5187,-0.5317,-0.5058,-0.5023
G1,MNDWI,12,-0.5002,-0.5150,-0.4854,-0.5231
G1,MNDWI,13,-0.4991,-0.5064,-0.4918,-0.5121
G1,MNDWI,14,-0.5041,-0.5075,-0.5008,-0.5229
G1,MNDWI,15,-0.5217,-0.5217,-0.5217,-0.5165
G1,MNDWI,16,-0.5579,-0.5579,-0.5579,
G1,MNDWI,17,-0.5180,-0.5260,-0.5100,-0.4356
G1,MNDWI,18,-0.5298,-0.5298,-0.5298,-0.5584
G1,MNDWI,19,,,,
G1,MNDWI,20,-0.5076,-0.5076,-0.5076,
G1,MNDWI,21,,,,
G1,MNDWI,22,-0.5528,-0.5528,-0.5528,
G1,MNDWI,23,-0.6100,-0.6100,-0.6100,
G1,MNDWI,24,-0.6362,-0.6362,-0.6362,
G1,MNDWI,25,-0.6240,-0.6240,-0.6240,
G1,MNDWI,26,-0.6297,-0.6305,-0.6290,
G1,MNDWI,27,-0.6407,-0.6425,-0.6389,
G1,MNDWI,28,-0.6339,-0.6459,-0.6219,
G1,MNDWI,29,-0.6235,-0.6390,-0.6081,
G1,MNDWI,30,-0.3084,-0.3084,-0.3084,
G1,MNDWI,31,,,,
G1,MNDWI,32,-0.6201,-0.6291,-0.6112,
G1,MNDWI,33,-0.5578,-0.5578,-0.5578,
G1,MNDWI,34,-0.5673,-0.5673,-0.5673,
G1,MNDWI,35,-0.6056,-0.6056,-0.6056,
G1,MNDWI,36,-0.5559,-0.5653,-0.5465,
