predio,band,month,historical_median,historical_p25,historical_p75,value_2026
G2,NDVI,1,0.7978,0.7827,0.8040,0.7905
G2,NDVI,2,0.7480,0.7054,0.7660,0.7794
G2,NDVI,3,0.7046,0.6514,0.7578,0.7419
G2,NDVI,4,0.7148,0.6759,0.7826,0.6865
G2,NDVI,5,0.6716,0.6434,0.6809,
G2,NDVI,6,0.4053,0.3844,0.4702,
G2,NDVI,7,0.3202,0.2980,0.3258,
G2,NDVI,8,0.2697,0.2617,0.2769,
G2,NDVI,9,0.2417,0.2345,0.2451,
G2,NDVI,10,0.7048,0.5033,0.7758,
G2,NDVI,11,0.8312,0.8176,0.8376,
G2,NDVI,12,0.8307,0.8252,0.8387,
G2,NDMI,1,0.3718,0.3561,0.3781,0.3585
G2,NDMI,2,0.3229,0.2828,0.3382,0.3487
G2,NDMI,3,0.2788,0.2471,0.3258,0.3217
G2,NDMI,4,0.2965,0.2734,0.3615,0.3182
G2,NDMI,5,0.2789,0.2481,0.3049,
G2,NDMI,6,0.1111,0.0932,0.1624,
G2,NDMI,7,-0.0458,-0.0896,-0.0269,
G2,NDMI,8,-0.1456,-0.1495,-0.1269,
G2,NDMI,9,-0.1573,-0.1726,-0.1518,
G2,NDMI,10,0.2061,0.0320,0.2823,
G2,NDMI,11,0.3645,0.3500,0.3843,
G2,NDMI,12,0.3948,0.3857,0.4016,
G2,NDWI,1,-0.7286,-0.7400,-0.7177,-0.7296
G2,NDWI,2,-0.7075,-0.7225,-0.6890,-0.7305
G2,NDWI,3,-0.6862,-0.7194,-0.6566,-0.7073
G2,NDWI,4,-0.7012,-0.7392,-0.6688,-0.6687
G2,NDWI,5,-0.6829,-0.6962,-0.6695,
G2,NDWI,6,-0.6277,-0.6389,-0.6218,
G2,NDWI,7,-0.5352,-0.5699,-0.4927,
G2,NDWI,8,-0.4375,-0.4625,-0.4262,
G2,NDWI,9,-0.4063,-0.4170,-0.4045,
G2,NDWI,10,-0.6580,-0.7057,-0.5677,
G2,NDWI,11,-0.7294,-0.7380,-0.7158,
G2,NDWI,12,-0.7402,-0.7465,-0.7386,
G2,MNDWI,1,-0.5059,-0.5102,-0.4992,-0.5094
G2,MNDWI,2,-0.5139,-0.5170,-0.5048,-0.5180
G2,MNDWI,3,-0.5094,-0.5194,-0.4979,-0.5023
G2,MNDWI,4,-0.5148,-0.5205,-0.4915,-0.4665
G2,MNDWI,5,-0.5173,-0.5271,-0.4926,
G2,MNDWI,6,-0.5489,-0.5622,-0.5343,
G2,MNDWI,7,-0.5910,-0.5951,-0.5681,
G2,MNDWI,8,-0.5477,-0.5723,-0.5401,
G2,MNDWI,9,-0.5326,-0.5430,-0.5224,
G2,MNDWI,10,-0.5286,-0.5389,-0.5220,
G2,MNDWI,11,-0.4903,-0.5119,-0.4836,
G2,MNDWI,12,-0.4985,-0.5059,-0.4877,
G2,GNDVI,1,0.7286,0.7177,0.7400,0.7296
G2,GNDVI,2,0.7075,0.6890,0.7225,0.7305
G2,GNDVI,3,0.6862,0.6566,0.7194,0.7073
G2,GNDVI,4,0.7012,0.6688,0.7392,0.6687
G2,GNDVI,5,0.6829,0.6695,0.6962,
G2,GNDVI,6,0.6277,0.6218,0.6389,
G2,GNDVI,7,0.5352,0.4927,0.5699,
G2,GNDVI,8,0.4375,0.4262,0.4625,
G2,GNDVI,9,0.4063,0.4045,0.4170,
G2,GNDVI,10,0.6580,0.5677,0.7057,
G2,GNDVI,11,0.7294,0.7158,0.7380,
G2,GNDVI,12,0.7402,0.7386,0.7465,
G2,EVI,1,0.6888,0.6635,0.7129,0.6781
G2,EVI,2,0.5652,0.5233,0.6081,0.6120
G2,EVI,3,0.4919,0.4465,0.5417,0.5477
G2,EVI,4,0.4835,0.4715,0.5489,0.4829
G2,EVI,5,0.4115,0.3895,0.4283,
G2,EVI,6,0.2164,0.1832,0.2469,
G2,EVI,7,0.1566,0.1530,0.1604,
G2,EVI,8,0.1334,0.1306,0.1411,
G2,EVI,9,0.1273,0.1223,0.1328,
G2,EVI,10,0.4424,0.2759,0.5115,
G2,EVI,11,0.6799,0.6379,0.7170,
G2,EVI,12,0.7416,0.7166,0.7564,
G2,SAVI,1,0.6005,0.5790,0.6131,0.5848
G2,SAVI,2,0.5184,0.4809,0.5435,0.5598
G2,SAVI,3,0.4587,0.4195,0.5052,0.5072
G2,SAVI,4,0.4602,0.4449,0.5165,0.4552
G2,SAVI,5,0.3982,0.3802,0.4230,
G2,SAVI,6,0.2410,0.2140,0.2890,
G2,SAVI,7,0.1785,0.1705,0.1796,
G2,SAVI,8,0.1452,0.1410,0.1570,
G2,SAVI,9,0.1354,0.1331,0.1390,
G2,SAVI,10,0.4293,0.2895,0.5003,
G2,SAVI,11,0.6037,0.5866,0.6307,
G2,SAVI,12,0.6408,0.6324,0.6486,
G2,MSAVI,1,0.6367,0.6094,0.6556,0.6190
G2,MSAVI,2,0.5309,0.4831,0.5654,0.5858
G2,MSAVI,3,0.4539,0.4063,0.5127,0.5150
G2,MSAVI,4,0.4550,0.4375,0.5271,0.4525
G2,MSAVI,5,0.3777,0.3566,0.4089,
G2,MSAVI,6,0.2139,0.1864,0.2627,
G2,MSAVI,7,0.1532,0.1467,0.1538,
G2,MSAVI,8,0.1216,0.1183,0.1326,
G2,MSAVI,9,0.1148,0.1121,0.1192,
G2,MSAVI,10,0.4151,0.2609,0.5067,
G2,MSAVI,11,0.6521,0.6283,0.6860,
G2,MSAVI,12,0.6945,0.6862,0.7041,
G2,ARI,1,6.2306,6.0760,6.7854,6.8013
G2,ARI,2,7.5227,6.5280,8.2641,7.5252
G2,ARI,3,7.9685,7.3989,8.2662,7.8341
G2,ARI,4,9.1793,8.6156,10.3165,8.8515
G2,ARI,5,10.5406,10.0757,10.9123,
G2,ARI,6,11.4869,10.8075,14.0314,
G2,ARI,7,8.8873,7.0848,10.9459,
G2,ARI,8,6.3061,5.5480,7.3176,
G2,ARI,9,5.1506,4.6112,5.6670,
G2,ARI,10,7.7838,6.8484,8.2875,
G2,ARI,11,6.2960,6.1045,7.6813,
G2,ARI,12,6.1952,5.7819,6.7820,
G2,MARI,1,2.6030,2.5806,2.9872,2.9986
G2,MARI,2,2.7543,2.4861,2.8329,2.9429
G2,MARI,3,2.4306,2.3179,2.7136,2.7268
G2,MARI,4,2.6824,2.3573,3.3610,2.5483
G2,MARI,5,2.5973,2.5314,2.7509,
G2,MARI,6,2.5878,2.3096,2.6322,
G2,MARI,7,1.4954,1.2356,1.8178,
G2,MARI,8,1.0042,0.9349,1.0947,
G2,MARI,9,0.8996,0.8456,0.9072,
G2,MARI,10,2.1345,1.7195,2.6194,
G2,MARI,11,2.8781,2.7093,3.0892,
G2,MARI,12,2.9244,2.7695,3.2277,
G2,ARVI,1,0.8003,0.7873,0.8066,0.7968
G2,ARVI,2,0.7531,0.7119,0.7800,0.7817
G2,ARVI,3,0.7148,0.6637,0.7645,0.7469
G2,ARVI,4,0.7189,0.6842,0.7876,0.6898
G2,ARVI,5,0.6785,0.6511,0.6851,
G2,ARVI,6,0.4183,0.4128,0.4730,
G2,ARVI,7,0.3258,0.3089,0.3344,
G2,ARVI,8,0.2865,0.2827,0.2924,
G2,ARVI,9,0.2483,0.2401,0.2554,
G2,ARVI,10,0.7035,0.5096,0.7742,
G2,ARVI,11,0.8321,0.8180,0.8397,
G2,ARVI,12,0.8318,0.8270,0.8397,
G2,CHL_REDEDGE,1,2.8543,2.8431,2.9666,2.4375
G2,CHL_REDEDGE,2,2.3091,1.8173,2.7425,2.4238
G2,CHL_REDEDGE,3,1.9338,1.5382,2.3513,2.0769
G2,CHL_REDEDGE,4,1.7964,1.5743,2.1577,1.5629
G2,CHL_REDEDGE,5,1.2059,0.9660,1.3584,
G2,CHL_REDEDGE,6,0.4273,0.3915,0.4677,
G2,CHL_REDEDGE,7,0.3460,0.3323,0.3604,
G2,CHL_REDEDGE,8,0.3061,0.2958,0.3292,
G2,CHL_REDEDGE,9,0.2667,0.2552,0.2700,
G2,CHL_REDEDGE,10,1.5843,0.7514,1.9736,
G2,CHL_REDEDGE,11,2.5306,2.2507,2.6236,
G2,CHL_REDEDGE,12,2.8481,2.7517,2.9493,
G2,EVI2,1,0.6412,0.6152,0.6584,0.6215
G2,EVI2,2,0.5396,0.4987,0.5694,0.5892
G2,EVI2,3,0.4695,0.4281,0.5197,0.5259
G2,EVI2,4,0.4694,0.4565,0.5297,0.4687
G2,EVI2,5,0.3999,0.3824,0.4270,
G2,EVI2,6,0.2411,0.2108,0.2921,
G2,EVI2,7,0.1761,0.1687,0.1764,
G2,EVI2,8,0.1405,0.1371,0.1529,
G2,EVI2,9,0.1332,0.1295,0.1386,
G2,EVI2,10,0.4319,0.2875,0.5094,
G2,EVI2,11,0.6385,0.6160,0.6742,
G2,EVI2,12,0.6906,0.6766,0.7016,
G2,KNDVI,1,0.5627,0.5464,0.5683,0.5542
G2,KNDVI,2,0.5094,0.4640,0.5289,0.5428
G2,KNDVI,3,0.4632,0.4062,0.5201,0.5025
G2,KNDVI,4,0.4717,0.4305,0.5460,0.4431
G2,KNDVI,5,0.4249,0.3939,0.4358,
G2,KNDVI,6,0.1635,0.1482,0.2185,
G2,KNDVI,7,0.1030,0.0894,0.1069,
G2,KNDVI,8,0.0735,0.0684,0.0773,
G2,KNDVI,9,0.0590,0.0556,0.0605,
G2,KNDVI,10,0.4617,0.2543,0.5383,
G2,KNDVI,11,0.5971,0.5824,0.6035,
G2,KNDVI,12,0.5963,0.5910,0.6050,
G2,MCARI,1,0.1456,0.1313,0.1668,0.1822
G2,MCARI,2,0.1208,0.1056,0.1286,0.1393
G2,MCARI,3,0.0996,0.0900,0.1060,0.1326
G2,MCARI,4,0.1112,0.0989,0.1438,0.1187
G2,MCARI,5,0.1103,0.1002,0.1190,
G2,MCARI,6,0.0377,0.0368,0.0635,
G2,MCARI,7,0.0141,0.0115,0.0146,
G2,MCARI,8,0.0098,0.0086,0.0117,
G2,MCARI,9,0.0084,0.0063,0.0106,
G2,MCARI,10,0.1164,0.0632,0.1670,
G2,MCARI,11,0.2983,0.2622,0.3116,
G2,MCARI,12,0.2289,0.2169,0.3089,
G2,MSI,1,0.4623,0.4565,0.4798,0.4763
G2,MSI,2,0.5181,0.5020,0.5669,0.4883
G2,MSI,3,0.5714,0.5137,0.6105,0.5185
G2,MSI,4,0.5489,0.4746,0.5776,0.5218
G2,MSI,5,0.5714,0.5388,0.6101,
G2,MSI,6,0.8017,0.7288,0.8323,
G2,MSI,7,1.0979,1.0579,1.2002,
G2,MSI,8,1.3465,1.2918,1.3584,
G2,MSI,9,1.3795,1.3613,1.4223,
G2,MSI,10,0.6615,0.5626,0.9446,
G2,MSI,11,0.4704,0.4501,0.4875,
G2,MSI,12,0.4381,0.4320,0.4489,
G2,NDMISTRESS,1,0.3770,0.3688,0.3829,0.3707
G2,NDMISTRESS,2,0.3330,0.2967,0.3581,0.3527
G2,NDMISTRESS,3,0.2993,0.2693,0.3397,0.3318
G2,NDMISTRESS,4,0.3056,0.2892,0.3724,0.3249
G2,NDMISTRESS,5,0.2883,0.2604,0.3140,
G2,NDMISTRESS,6,0.1427,0.1409,0.1884,
G2,NDMISTRESS,7,-0.0225,-0.0617,-0.0088,
G2,NDMISTRESS,8,-0.1099,-0.1214,-0.0946,
