predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
J_CONTRERAS,NDVI,1,0.8273,0.8150,0.8397,0.8772
J_CONTRERAS,NDVI,2,0.8277,0.8268,0.8287,0.8709
J_CONTRERAS,NDVI,3,0.8357,0.8349,0.8364,0.7927
J_CONTRERAS,NDVI,4,0.8290,0.8288,0.8292,0.7976
J_CONTRERAS,NDVI,5,0.8311,0.8221,0.8400,0.8444
J_CONTRERAS,NDVI,6,0.8288,0.8221,0.8356,0.8347
J_CONTRERAS,NDVI,7,0.8302,0.8165,0.8439,0.8293
J_CONTRERAS,NDVI,8,,,,0.8278
J_CONTRERAS,NDVI,9,0.8267,0.8005,0.8529,0.8091
J_CONTRERAS,NDVI,10,0.8222,0.7984,0.8459,0.7936
J_CONTRERAS,NDVI,11,0.8042,0.7741,0.8343,0.7537
J_CONTRERAS,NDVI,12,0.7838,0.7544,0.8131,0.7839
J_CONTRERAS,NDVI,13,0.7653,0.7393,0.7914,0.7934
J_CONTRERAS,NDVI,14,0.7690,0.7465,0.7915,0.7877
J_CONTRERAS,NDVI,15,0.8056,0.8056,0.8056,0.7090
J_CONTRERAS,NDVI,16,0.8940,0.8940,0.8940,
J_CONTRERAS,NDVI,17,0.7955,0.7627,0.8283,0.5518
J_CONTRERAS,NDVI,18,0.7372,0.7372,0.7372,0.7389
J_CONTRERAS,NDVI,19,,,,
J_CONTRERAS,NDVI,20,0.7180,0.7180,0.7180,0.6555
J_CONTRERAS,NDVI,21,,,,0.5836
J_CONTRERAS,NDVI,22,0.5104,0.5104,0.5104,0.4990
J_CONTRERAS,NDVI,23,0.5285,0.5285,0.5285,
J_CONTRERAS,NDVI,24,0.3874,0.3874,0.3874,0.4969
J_CONTRERAS,NDVI,25,0.5047,0.5047,0.5047,
J_CONTRERAS,NDVI,26,0.3792,0.3536,0.4049,
J_CONTRERAS,NDVI,27,0.3744,0.3662,0.3826,
J_CONTRERAS,NDVI,28,0.3637,0.3525,0.3749,
J_CONTRERAS,NDVI,29,0.3531,0.3385,0.3678,
J_CONTRERAS,NDVI,30,0.2603,0.2603,0.2603,
J_CONTRERAS,NDVI,31,,,,
J_CONTRERAS,NDVI,32,0.4348,0.3682,0.5014,
J_CONTRERAS,NDVI,33,0.4202,0.4202,0.4202,
J_CONTRERAS,NDVI,34,0.2722,0.2722,0.2722,
J_CONTRERAS,NDVI,35,0.3868,0.3868,0.3868,
J_CONTRERAS,NDVI,36,0.2429,0.2222,0.2637,
J_CONTRERAS,NDVI,37,0.1997,0.1898,0.2096,
J_CONTRERAS,NDVI,38,0.1680,0.1543,0.1818,
J_CONTRERAS,NDVI,39,0.1783,0.1696,0.1870,
J_CONTRERAS,NDVI,40,0.2012,0.2012,0.2012,
J_CONTRERAS,NDVI,41,0.2932,0.2932,0.2932,
J_CONTRERAS,NDVI,42,0.4427,0.4377,0.4477,
J_CONTRERAS,NDVI,43,0.5948,0.5516,0.6379,
J_CONTRERAS,NDVI,44,0.6871,0.6705,0.7037,
J_CONTRERAS,NDVI,45,0.7601,0.7563,0.7639,
J_CONTRERAS,NDVI,46,0.8210,0.8089,0.8332,
J_CONTRERAS,NDVI,47,0.8520,0.8451,0.8588,
J_CONTRERAS,NDVI,48,0.8671,0.8619,0.8723,
J_CONTRERAS,NDVI,49,0.8767,0.8745,0.8789,
J_CONTRERAS,NDVI,50,0.8837,0.8761,0.8912,
J_CONTRERAS,NDVI,51,0.8596,0.8528,0.8664,
J_CONTRERAS,NDVI,52,0.8636,0.8614,0.8658,
J_CONTRERAS,NDMI,1,0.3833,0.3727,0.3940,0.4212
J_CONTRERAS,NDMI,2,0.3809,0.3793,0.3826,0.4166
J_CONTRERAS,NDMI,3,0.3817,0.3798,0.3836,0.3834
J_CONTRERAS,NDMI,4,0.3780,0.3759,0.3802,0.3515
