predio,band,month,historical_median,historical_p25,historical_p75,value_2026
J_CONTRERAS,NDVI,1,0.0776,0.0766,0.0787,0.0793
J_CONTRERAS,NDVI,2,0.0770,0.0750,0.0783,0.0784
J_CONTRERAS,NDVI,3,0.0743,0.0698,0.0783,0.0746
J_CONTRERAS,NDVI,4,0.0769,0.0720,0.0799,0.0692
J_CONTRERAS,NDVI,5,0.0694,0.0589,0.0698,0.0581
J_CONTRERAS,NDVI,6,0.0458,0.0414,0.0478,
J_CONTRERAS,NDVI,7,0.0382,0.0341,0.0386,
J_CONTRERAS,NDVI,8,0.0439,0.0314,0.0482,
J_CONTRERAS,NDVI,9,0.0234,0.0218,0.0246,
J_CONTRERAS,NDVI,10,0.0452,0.0380,0.0583,
J_CONTRERAS,NDVI,11,0.0755,0.0689,0.0783,
J_CONTRERAS,NDVI,12,0.0808,0.0801,0.0812,
J_CONTRERAS,NDMI,1,0.0345,0.0341,0.0351,0.0352
J_CONTRERAS,NDMI,2,0.0337,0.0319,0.0348,0.0344
J_CONTRERAS,NDMI,3,0.0317,0.0286,0.0352,0.0317
J_CONTRERAS,NDMI,4,0.0344,0.0314,0.0377,0.0306
J_CONTRERAS,NDMI,5,0.0298,0.0244,0.0308,0.0257
J_CONTRERAS,NDMI,6,0.0121,0.0075,0.0152,
J_CONTRERAS,NDMI,7,-0.0023,-0.0034,-0.0002,
J_CONTRERAS,NDMI,8,-0.0015,-0.0031,0.0053,
J_CONTRERAS,NDMI,9,-0.0089,-0.0102,-0.0061,
J_CONTRERAS,NDMI,10,0.0104,0.0023,0.0191,
J_CONTRERAS,NDMI,11,0.0322,0.0278,0.0344,
J_CONTRERAS,NDMI,12,0.0374,0.0360,0.0375,
J_CONTRERAS,NDWI,1,-0.0709,-0.0714,-0.0698,-0.0722
J_CONTRERAS,NDWI,2,-0.0704,-0.0713,-0.0693,-0.0725
J_CONTRERAS,NDWI,3,-0.0700,-0.0725,-0.0672,-0.0706
J_CONTRERAS,NDWI,4,-0.0724,-0.0741,-0.0697,-0.0680
J_CONTRERAS,NDWI,5,-0.0694,-0.0695,-0.0630,-0.0668
J_CONTRERAS,NDWI,6,-0.0635,-0.0638,-0.0632,
J_CONTRERAS,NDWI,7,-0.0577,-0.0588,-0.0518,
J_CONTRERAS,NDWI,8,-0.0534,-0.0534,-0.0457,
J_CONTRERAS,NDWI,9,-0.0397,-0.0401,-0.0381,
J_CONTRERAS,NDWI,10,-0.0504,-0.0585,-0.0471,
J_CONTRERAS,NDWI,11,-0.0683,-0.0704,-0.0640,
J_CONTRERAS,NDWI,12,-0.0726,-0.0729,-0.0721,
J_CONTRERAS,MNDWI,1,-0.0484,-0.0494,-0.0473,-0.0500
J_CONTRERAS,MNDWI,2,-0.0492,-0.0500,-0.0470,-0.0510
J_CONTRERAS,MNDWI,3,-0.0496,-0.0505,-0.0481,-0.0502
J_CONTRERAS,MNDWI,4,-0.0506,-0.0515,-0.0491,-0.0470
J_CONTRERAS,MNDWI,5,-0.0487,-0.0494,-0.0456,-0.0494
J_CONTRERAS,MNDWI,6,-0.0563,-0.0563,-0.0535,
J_CONTRERAS,MNDWI,7,-0.0594,-0.0600,-0.0561,
J_CONTRERAS,MNDWI,8,-0.0496,-0.0545,-0.0481,
J_CONTRERAS,MNDWI,9,-0.0458,-0.0476,-0.0438,
J_CONTRERAS,MNDWI,10,-0.0438,-0.0454,-0.0422,
J_CONTRERAS,MNDWI,11,-0.0462,-0.0481,-0.0450,
J_CONTRERAS,MNDWI,12,-0.0493,-0.0500,-0.0486,
