predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
L_MARTINEZ,NDVI,1,0.0874,0.0868,0.0880,0.0909
L_MARTINEZ,NDVI,2,0.0863,0.0857,0.0870,0.0911
L_MARTINEZ,NDVI,3,0.0867,0.0865,0.0868,0.0877
L_MARTINEZ,NDVI,4,0.0852,0.0850,0.0855,0.0840
L_MARTINEZ,NDVI,5,0.0841,0.0835,0.0848,0.0858
L_MARTINEZ,NDVI,6,0.0832,0.0830,0.0834,0.0866
L_MARTINEZ,NDVI,7,0.0820,0.0813,0.0827,0.0855
L_MARTINEZ,NDVI,8,0.0771,0.0771,0.0771,0.0851
L_MARTINEZ,NDVI,9,0.0803,0.0790,0.0816,0.0824
L_MARTINEZ,NDVI,10,0.0795,0.0781,0.0810,0.0812
L_MARTINEZ,NDVI,11,0.0777,0.0754,0.0801,0.0767
L_MARTINEZ,NDVI,12,0.0758,0.0736,0.0780,0.0782
L_MARTINEZ,NDVI,13,0.0743,0.0725,0.0761,0.0772
L_MARTINEZ,NDVI,14,0.0732,0.0723,0.0741,0.0772
L_MARTINEZ,NDVI,15,0.0742,0.0742,0.0742,0.0670
L_MARTINEZ,NDVI,16,0.0825,0.0825,0.0825,
L_MARTINEZ,NDVI,17,0.0755,0.0733,0.0776,0.0633
L_MARTINEZ,NDVI,18,0.0677,0.0677,0.0677,0.0655
L_MARTINEZ,NDVI,19,,,,0.0522
L_MARTINEZ,NDVI,20,0.0490,0.0490,0.0490,0.0436
L_MARTINEZ,NDVI,21,,,,0.0378
L_MARTINEZ,NDVI,22,0.0358,0.0358,0.0358,0.0344
L_MARTINEZ,NDVI,23,0.0350,0.0350,0.0350,
L_MARTINEZ,NDVI,24,0.0361,0.0361,0.0361,0.0334
L_MARTINEZ,NDVI,25,0.0374,0.0374,0.0374,
L_MARTINEZ,NDVI,26,0.0348,0.0345,0.0351,
L_MARTINEZ,NDVI,27,0.0345,0.0344,0.0345,
L_MARTINEZ,NDVI,28,0.0351,0.0346,0.0355,
L_MARTINEZ,NDVI,29,0.0350,0.0347,0.0354,
L_MARTINEZ,NDVI,30,0.0204,0.0204,0.0204,
L_MARTINEZ,NDVI,31,,,,
L_MARTINEZ,NDVI,32,0.0327,0.0305,0.0348,
L_MARTINEZ,NDVI,33,0.0357,0.0357,0.0357,
L_MARTINEZ,NDVI,34,0.0279,0.0279,0.0279,
L_MARTINEZ,NDVI,35,0.0333,0.0333,0.0333,
L_MARTINEZ,NDVI,36,0.0280,0.0275,0.0285,
L_MARTINEZ,NDVI,37,0.0247,0.0244,0.0249,
L_MARTINEZ,NDVI,38,0.0237,0.0230,0.0244,
L_MARTINEZ,NDVI,39,0.0261,0.0248,0.0274,
L_MARTINEZ,NDVI,40,0.0367,0.0367,0.0367,
L_MARTINEZ,NDVI,41,0.0388,0.0388,0.0388,
L_MARTINEZ,NDVI,42,0.0597,0.0563,0.0630,
L_MARTINEZ,NDVI,43,0.0730,0.0721,0.0739,
L_MARTINEZ,NDVI,44,0.0801,0.0787,0.0814,
L_MARTINEZ,NDVI,45,0.0818,0.0795,0.0841,
L_MARTINEZ,NDVI,46,0.0884,0.0881,0.0887,
L_MARTINEZ,NDVI,47,0.0900,0.0899,0.0901,
L_MARTINEZ,NDVI,48,0.0908,0.0905,0.0911,
L_MARTINEZ,NDVI,49,0.0909,0.0905,0.0912,
L_MARTINEZ,NDVI,50,0.0914,0.0907,0.0920,
L_MARTINEZ,NDVI,51,0.0887,0.0880,0.0894,
L_MARTINEZ,NDVI,52,0.0897,0.0895,0.0900,
L_MARTINEZ,NDMI,1,0.0464,0.0455,0.0472,0.0493
L_MARTINEZ,NDMI,2,0.0452,0.0448,0.0456,0.0492
L_MARTINEZ,NDMI,3,0.0447,0.0447,0.0447,0.0470
L_MARTINEZ,NDMI,4,0.0431,0.0429,0.0433,0.0419
L_MARTINEZ,NDMI,5,0.0420,0.0412,0.0427,0.0437
L_MARTINEZ,NDMI,6,0.0407,0.0401,0.0413,0.0432
L_MARTINEZ,NDMI,7,0.0395,0.0387,0.0403,0.0425
L_MARTINEZ,NDMI,8,0.0367,0.0367,0.0367,0.0436
L_MARTINEZ,NDMI,9,0.0375,0.0363,0.0387,0.0401
L_MARTINEZ,NDMI,10,0.0375,0.0362,0.0388,0.0393
L_MARTINEZ,NDMI,11,0.0361,0.0340,0.0381,0.0356
L_MARTINEZ,NDMI,12,0.0352,0.0337,0.0367,0.0388
L_MARTINEZ,NDMI,13,0.0332,0.0317,0.0346,0.0375
L_MARTINEZ,NDMI,14,0.0332,0.0326,0.0338,0.0367
L_MARTINEZ,NDMI,15,0.0345,0.0345,0.0345,0.0352
L_MARTINEZ,NDMI,16,0.0424,0.0424,0.0424,
L_MARTINEZ,NDMI,17,0.0361,0.0341,0.0381,0.0278
L_MARTINEZ,NDMI,18,0.0309,0.0309,0.0309,0.0341
L_MARTINEZ,NDMI,19,,,,0.0302
L_MARTINEZ,NDMI,20,0.0299,0.0299,0.0299,0.0212
L_MARTINEZ,NDMI,21,,,,0.0145
L_MARTINEZ,NDMI,22,0.0049,0.0049,0.0049,0.0091
