predio,band,month,historical_median,historical_p25,historical_p75,value_2026
L_MARTINEZ,NDVI,1,0.8612,0.8499,0.8696,0.8763
L_MARTINEZ,NDVI,2,0.8284,0.7988,0.8346,0.8532
L_MARTINEZ,NDVI,3,0.7731,0.7259,0.8071,0.7784
L_MARTINEZ,NDVI,4,0.7462,0.7210,0.7856,0.6700
L_MARTINEZ,NDVI,5,0.4898,0.4240,0.5834,0.4067
L_MARTINEZ,NDVI,6,0.3534,0.3497,0.3605,
L_MARTINEZ,NDVI,7,0.3439,0.3421,0.3518,
L_MARTINEZ,NDVI,8,0.3334,0.2842,0.3571,
L_MARTINEZ,NDVI,9,0.2517,0.2395,0.2742,
L_MARTINEZ,NDVI,10,0.6876,0.4946,0.7547,
L_MARTINEZ,NDVI,11,0.8937,0.8745,0.9021,
L_MARTINEZ,NDVI,12,0.9008,0.8985,0.9053,
L_MARTINEZ,NDMI,1,0.4472,0.4352,0.4476,0.4689
L_MARTINEZ,NDMI,2,0.3966,0.3763,0.4130,0.4283
L_MARTINEZ,NDMI,3,0.3548,0.3218,0.3863,0.3804
L_MARTINEZ,NDMI,4,0.3447,0.3268,0.3867,0.3466
L_MARTINEZ,NDMI,5,0.2986,0.1736,0.3037,0.1779
L_MARTINEZ,NDMI,6,0.0379,0.0050,0.0493,
L_MARTINEZ,NDMI,7,-0.0665,-0.1135,-0.0450,
L_MARTINEZ,NDMI,8,-0.1203,-0.1387,-0.1117,
L_MARTINEZ,NDMI,9,-0.1532,-0.1648,-0.1239,
L_MARTINEZ,NDMI,10,0.2087,0.0281,0.2549,
L_MARTINEZ,NDMI,11,0.4268,0.4016,0.4574,
L_MARTINEZ,NDMI,12,0.4880,0.4823,0.4932,
L_MARTINEZ,NDWI,1,-0.7712,-0.7812,-0.7607,-0.7939
L_MARTINEZ,NDWI,2,-0.7581,-0.7645,-0.7402,-0.7768
L_MARTINEZ,NDWI,3,-0.7171,-0.7420,-0.6880,-0.7225
L_MARTINEZ,NDWI,4,-0.7108,-0.7385,-0.7057,-0.6576
L_MARTINEZ,NDWI,5,-0.6274,-0.6565,-0.6243,-0.6136
L_MARTINEZ,NDWI,6,-0.6346,-0.6380,-0.6332,
L_MARTINEZ,NDWI,7,-0.5740,-0.5975,-0.5621,
L_MARTINEZ,NDWI,8,-0.4993,-0.5181,-0.4763,
L_MARTINEZ,NDWI,9,-0.4274,-0.4478,-0.4207,
L_MARTINEZ,NDWI,10,-0.6561,-0.6937,-0.5538,
L_MARTINEZ,NDWI,11,-0.7767,-0.7847,-0.7660,
L_MARTINEZ,NDWI,12,-0.7976,-0.8006,-0.7929,
L_MARTINEZ,MNDWI,1,-0.4971,-0.5135,-0.4946,-0.5234
L_MARTINEZ,MNDWI,2,-0.5153,-0.5167,-0.4958,-0.5199
L_MARTINEZ,MNDWI,3,-0.4873,-0.5000,-0.4775,-0.4738
L_MARTINEZ,MNDWI,4,-0.4912,-0.4944,-0.4805,-0.4279
L_MARTINEZ,MNDWI,5,-0.4776,-0.5350,-0.4365,-0.4940
L_MARTINEZ,MNDWI,6,-0.6147,-0.6276,-0.6041,
L_MARTINEZ,MNDWI,7,-0.6273,-0.6470,-0.6227,
L_MARTINEZ,MNDWI,8,-0.5847,-0.5879,-0.5843,
L_MARTINEZ,MNDWI,9,-0.5332,-0.5574,-0.5283,
L_MARTINEZ,MNDWI,10,-0.5317,-0.5355,-0.5167,
L_MARTINEZ,MNDWI,11,-0.5100,-0.5209,-0.5028,
L_MARTINEZ,MNDWI,12,-0.5031,-0.5125,-0.4951,
L_MARTINEZ,GNDVI,1,0.7712,0.7607,0.7812,0.7939
L_MARTINEZ,GNDVI,2,0.7581,0.7402,0.7645,0.7768
L_MARTINEZ,GNDVI,3,0.7171,0.6880,0.7420,0.7225
L_MARTINEZ,GNDVI,4,0.7108,0.7057,0.7385,0.6576
L_MARTINEZ,GNDVI,5,0.6275,0.6244,0.6566,0.6136
L_MARTINEZ,GNDVI,6,0.6346,0.6332,0.6380,
L_MARTINEZ,GNDVI,7,0.5740,0.5621,0.5975,
