predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
NOG,NDVI,1,0.6443,0.6279,0.6606,0.6583
NOG,NDVI,2,0.6226,0.6130,0.6322,0.6766
NOG,NDVI,3,0.6338,0.6173,0.6502,0.6793
NOG,NDVI,4,0.6322,0.6113,0.6531,0.6139
NOG,NDVI,5,0.6379,0.6196,0.6563,0.6693
NOG,NDVI,6,0.6559,0.6377,0.6741,0.6742
NOG,NDVI,7,0.6300,0.6194,0.6407,0.6480
NOG,NDVI,8,0.6057,0.6057,0.6057,0.6682
NOG,NDVI,9,0.6285,0.6194,0.6377,0.6763
NOG,NDVI,10,0.6343,0.6333,0.6352,0.6557
NOG,NDVI,11,0.6404,0.6392,0.6416,0.6090
NOG,NDVI,12,0.6374,0.6341,0.6407,0.6429
NOG,NDVI,13,0.6234,0.6174,0.6293,0.6358
NOG,NDVI,14,0.6744,0.6654,0.6834,0.6285
NOG,NDVI,15,0.6939,0.6939,0.6939,0.6309
NOG,NDVI,16,0.6947,0.6947,0.6947,
NOG,NDVI,17,0.6778,0.6709,0.6847,
NOG,NDVI,18,0.6547,0.6547,0.6547,0.6546
NOG,NDVI,19,,,,0.5826
NOG,NDVI,20,0.5664,0.5664,0.5664,
NOG,NDVI,21,,,,
NOG,NDVI,22,0.4545,0.4545,0.4545,
NOG,NDVI,23,0.4686,0.4686,0.4686,
NOG,NDVI,24,0.4706,0.4706,0.4706,
NOG,NDVI,25,0.5050,0.5050,0.5050,
NOG,NDVI,26,0.4725,0.4606,0.4844,
NOG,NDVI,27,0.4781,0.4743,0.4818,
NOG,NDVI,28,0.4836,0.4796,0.4876,
NOG,NDVI,29,0.4689,0.4620,0.4758,
NOG,NDVI,30,0.4185,0.4185,0.4185,
NOG,NDVI,31,,,,
NOG,NDVI,32,0.4959,0.4704,0.5214,
NOG,NDVI,33,0.5459,0.5459,0.5459,
NOG,NDVI,34,0.4723,0.4723,0.4723,
NOG,NDVI,35,0.5854,0.5854,0.5854,
NOG,NDVI,36,0.5505,0.5184,0.5827,
NOG,NDVI,37,0.5524,0.5240,0.5807,
NOG,NDVI,38,0.5564,0.5383,0.5746,
NOG,NDVI,39,0.5062,0.4833,0.5290,
NOG,NDVI,40,0.6150,0.6150,0.6150,
NOG,NDVI,41,0.5585,0.5585,0.5585,
NOG,NDVI,42,0.6668,0.6466,0.6870,
NOG,NDVI,43,0.7103,0.7088,0.7118,
NOG,NDVI,44,0.7201,0.7180,0.7222,
NOG,NDVI,45,0.7287,0.7276,0.7299,
NOG,NDVI,46,0.7030,0.6934,0.7125,
NOG,NDVI,47,0.7117,0.7081,0.7154,
NOG,NDVI,48,0.6924,0.6917,0.6931,
NOG,NDVI,49,0.7010,0.6983,0.7038,
NOG,NDVI,50,0.7131,0.7128,0.7133,
NOG,NDVI,51,0.6751,0.6730,0.6772,
NOG,NDVI,52,0.6861,0.6800,0.6921,
NOG,NDMI,1,0.2551,0.2526,0.2576,0.2332
NOG,NDMI,2,0.2505,0.2377,0.2634,0.2400
NOG,NDMI,3,0.2311,0.2274,0.2349,0.2488
NOG,NDMI,4,0.2325,0.2267,0.2384,0.2027
NOG,NDMI,5,0.2381,0.2362,0.2400,0.2356
NOG,NDMI,6,0.2440,0.2421,0.2458,0.2285
NOG,NDMI,7,0.2267,0.2235,0.2299,0.2120
NOG,NDMI,8,0.1796,0.1796,0.1796,0.2376
NOG,NDMI,9,0.2000,0.1881,0.2118,0.2354
NOG,NDMI,10,0.1971,0.1952,0.1990,0.2218
NOG,NDMI,11,0.2059,0.2025,0.2094,0.1886
NOG,NDMI,12,0.2048,0.2015,0.2080,0.2153
NOG,NDMI,13,0.1875,0.1791,0.1959,0.2047
NOG,NDMI,14,0.2307,0.2228,0.2386,0.1887
NOG,NDMI,15,0.2252,0.2252,0.2252,0.2143
NOG,NDMI,16,0.2467,0.2467,0.2467,
NOG,NDMI,17,0.2102,0.2084,0.2120,
