predio,band,month,historical_median,historical_p25,historical_p75,value_2026
NOG,NDVI,1,0.6419,0.6034,0.6740,0.6631
NOG,NDVI,2,0.6148,0.6080,0.6479,0.6654
NOG,NDVI,3,0.6358,0.6319,0.6392,0.6395
NOG,NDVI,4,0.6920,0.6709,0.6935,0.6356
NOG,NDVI,5,0.5664,0.5105,0.6106,0.5826
NOG,NDVI,6,0.4706,0.4686,0.4963,
NOG,NDVI,7,0.4757,0.4629,0.4841,
NOG,NDVI,8,0.5459,0.4723,0.5469,
NOG,NDVI,9,0.5360,0.4933,0.5968,
NOG,NDVI,10,0.7073,0.6235,0.7139,
NOG,NDVI,11,0.7117,0.6931,0.7231,
NOG,NDVI,12,0.6969,0.6779,0.7080,
NOG,NDMI,1,0.2420,0.2248,0.2500,0.2339
NOG,NDMI,2,0.2284,0.2101,0.2358,0.2287
NOG,NDMI,3,0.2000,0.1970,0.2061,0.2102
NOG,NDMI,4,0.2200,0.2141,0.2412,0.2015
NOG,NDMI,5,0.1225,0.0677,0.1569,0.2071
NOG,NDMI,6,-0.0161,-0.0359,-0.0147,
NOG,NDMI,7,-0.0206,-0.0241,-0.0147,
NOG,NDMI,8,0.0319,-0.0185,0.0523,
NOG,NDMI,9,0.0659,0.0297,0.1051,
NOG,NDMI,10,0.2414,0.1430,0.2635,
NOG,NDMI,11,0.2867,0.2702,0.2891,
NOG,NDMI,12,0.2717,0.2616,0.2757,
NOG,NDWI,1,-0.6442,-0.6541,-0.6108,-0.6469
NOG,NDWI,2,-0.6249,-0.6401,-0.6107,-0.6533
NOG,NDWI,3,-0.6299,-0.6347,-0.6237,-0.6328
NOG,NDWI,4,-0.6692,-0.6768,-0.6547,-0.6361
NOG,NDWI,5,-0.6158,-0.6347,-0.5733,-0.5806
NOG,NDWI,6,-0.5685,-0.5862,-0.5557,
NOG,NDWI,7,-0.5511,-0.5631,-0.5346,
NOG,NDWI,8,-0.5534,-0.5871,-0.5340,
NOG,NDWI,9,-0.5720,-0.6025,-0.5485,
NOG,NDWI,10,-0.6803,-0.6863,-0.6333,
NOG,NDWI,11,-0.6787,-0.6900,-0.6668,
NOG,NDWI,12,-0.6723,-0.6794,-0.6534,
NOG,MNDWI,1,-0.4537,-0.4920,-0.4381,-0.4914
NOG,MNDWI,2,-0.4914,-0.5123,-0.4396,-0.5040
NOG,MNDWI,3,-0.4896,-0.5035,-0.4879,-0.4920
NOG,MNDWI,4,-0.5125,-0.5317,-0.5095,-0.5031
NOG,MNDWI,5,-0.5290,-0.5314,-0.5266,-0.4252
NOG,MNDWI,6,-0.5805,-0.5998,-0.5792,
NOG,MNDWI,7,-0.5732,-0.5825,-0.5475,
NOG,MNDWI,8,-0.5425,-0.5491,-0.5371,
NOG,MNDWI,9,-0.5329,-0.5467,-0.5302,
NOG,MNDWI,10,-0.5345,-0.5376,-0.5239,
NOG,MNDWI,11,-0.5014,-0.5084,-0.4978,
NOG,MNDWI,12,-0.4947,-0.5056,-0.4673,
NOG,GNDVI,1,0.6442,0.6108,0.6541,0.6469
NOG,GNDVI,2,0.6249,0.6107,0.6401,0.6533
NOG,GNDVI,3,0.6299,0.6237,0.6347,0.6328
NOG,GNDVI,4,0.6692,0.6547,0.6768,0.6361
NOG,GNDVI,5,0.6158,0.5733,0.6347,0.5806
NOG,GNDVI,6,0.5685,0.5557,0.5862,
NOG,GNDVI,7,0.5511,0.5346,0.5631,
NOG,GNDVI,8,0.5534,0.5340,0.5871,
NOG,GNDVI,9,0.5720,0.5485,0.6025,
NOG,GNDVI,10,0.6803,0.6333,0.6863,
NOG,GNDVI,11,0.6787,0.6668,0.6900,
NOG,GNDVI,12,0.6723,0.6534,0.6794,
NOG,EVI,1,0.4141,0.4067,0.4260,0.4383
NOG,EVI,2,0.3835,0.3626,0.4002,0.4084
NOG,EVI,3,0.3442,0.3390,0.3519,0.3659
NOG,EVI,4,0.3508,0.3424,0.3644,0.3256
NOG,EVI,5,0.2800,0.2647,0.3104,0.4210
NOG,EVI,6,0.2359,0.2322,0.2418,
NOG,EVI,7,0.2492,0.2420,0.2497,
NOG,EVI,8,0.2964,0.2658,0.3105,
NOG,EVI,9,0.3063,0.2874,0.3511,
NOG,EVI,10,0.4562,0.3887,0.4782,
NOG,EVI,11,0.4857,0.4705,0.4929,
NOG,EVI,12,0.4727,0.4596,0.4798,
NOG,SAVI,1,0.4071,0.3826,0.4105,0.4190
NOG,SAVI,2,0.3742,0.3597,0.3787,0.4037
NOG,SAVI,3,0.3457,0.3359,0.3494,0.3657
NOG,SAVI,4,0.3622,0.3479,0.3737,0.3388
NOG,SAVI,5,0.3013,0.2779,0.3253,0.3932
NOG,SAVI,6,0.2480,0.2402,0.2531,
NOG,SAVI,7,0.2561,0.2506,0.2587,
NOG,SAVI,8,0.2979,0.2636,0.3017,
NOG,SAVI,9,0.3070,0.2848,0.3438,
NOG,SAVI,10,0.4482,0.3875,0.4573,
NOG,SAVI,11,0.4606,0.4536,0.4675,
NOG,SAVI,12,0.4478,0.4376,0.4596,
NOG,MSAVI,1,0.3908,0.3648,0.3972,0.4063
NOG,MSAVI,2,0.3525,0.3332,0.3572,0.3869
NOG,MSAVI,3,0.3160,0.3055,0.3206,0.3419
NOG,MSAVI,4,0.3334,0.3173,0.3471,0.3109
NOG,MSAVI,5,0.2696,0.2482,0.2942,0.3761
NOG,MSAVI,6,0.2165,0.2100,0.2237,
NOG,MSAVI,7,0.2257,0.2202,0.2295,
NOG,MSAVI,8,0.2666,0.2358,0.2704,
NOG,MSAVI,9,0.2796,0.2572,0.3164,
NOG,MSAVI,10,0.4477,0.3712,0.4588,
NOG,MSAVI,11,0.4599,0.4498,0.4688,
NOG,MSAVI,12,0.4428,0.4291,0.4575,
NOG,ARI,1,6.4755,5.7412,6.9127,6.7655
NOG,ARI,2,8.0522,5.9936,9.2732,8.1480
NOG,ARI,3,8.8216,8.1759,9.4700,8.6415
NOG,ARI,4,11.1645,10.3541,11.7247,11.1580
NOG,ARI,5,10.6207,9.0021,10.7441,4.8581
NOG,ARI,6,9.5289,8.7052,10.1761,
NOG,ARI,7,8.0549,6.9991,8.6083,
NOG,ARI,8,7.2601,6.5251,7.5898,
NOG,ARI,9,7.0117,6.7656,7.2936,
NOG,ARI,10,8.2518,7.5122,8.7956,
NOG,ARI,11,7.2487,7.0819,7.5142,
NOG,ARI,12,6.8786,6.5063,7.3346,
NOG,MARI,1,1.9269,1.6485,2.0085,2.0217
NOG,MARI,2,1.8827,1.6656,2.2841,2.2094
