predio,band,month,historical_median,historical_p25,historical_p75,value_2026
O_HERRERA,NDVI,1,0.8424,0.8238,0.8472,0.7665
O_HERRERA,NDVI,2,0.8009,0.7903,0.8235,0.7559
O_HERRERA,NDVI,3,0.7735,0.7572,0.7950,0.7232
O_HERRERA,NDVI,4,0.7966,0.7930,0.8219,0.6676
O_HERRERA,NDVI,5,0.5494,0.4271,0.6356,0.4421
O_HERRERA,NDVI,6,0.4004,0.3668,0.4245,0.3131
O_HERRERA,NDVI,7,0.2848,0.2768,0.3542,0.2830
O_HERRERA,NDVI,8,0.2254,0.2018,0.2381,
O_HERRERA,NDVI,9,0.2345,0.2226,0.3207,
O_HERRERA,NDVI,10,0.6593,0.6157,0.7816,
O_HERRERA,NDVI,11,0.7760,0.7286,0.8162,
O_HERRERA,NDVI,12,0.7983,0.7571,0.8422,
O_HERRERA,NDMI,1,0.4068,0.3904,0.4116,0.3390
O_HERRERA,NDMI,2,0.3278,0.2872,0.3625,0.3100
O_HERRERA,NDMI,3,0.2543,0.2430,0.2784,0.2686
O_HERRERA,NDMI,4,0.2791,0.2594,0.3110,0.2518
O_HERRERA,NDMI,5,0.1671,0.0969,0.2276,0.1217
O_HERRERA,NDMI,6,-0.0997,-0.1159,-0.0844,-0.0804
O_HERRERA,NDMI,7,-0.1134,-0.1156,-0.0940,-0.0693
O_HERRERA,NDMI,8,-0.0950,-0.1091,-0.0897,
O_HERRERA,NDMI,9,-0.0303,-0.0414,0.0084,
O_HERRERA,NDMI,10,0.2331,0.1988,0.3345,
O_HERRERA,NDMI,11,0.3503,0.3069,0.3770,
O_HERRERA,NDMI,12,0.3865,0.3506,0.4157,
O_HERRERA,MNDWI,1,-0.5182,-0.5423,-0.4962,-0.5191
O_HERRERA,MNDWI,2,-0.5350,-0.5680,-0.5123,-0.5490
O_HERRERA,MNDWI,3,-0.5556,-0.5670,-0.5410,-0.5366
O_HERRERA,MNDWI,4,-0.5962,-0.6046,-0.5791,-0.4988
O_HERRERA,MNDWI,5,-0.5120,-0.5656,-0.4541,-0.5761
O_HERRERA,MNDWI,6,-0.6603,-0.6624,-0.6352,-0.5851
O_HERRERA,MNDWI,7,-0.5596,-0.5821,-0.5520,-0.5368
O_HERRERA,MNDWI,8,-0.4741,-0.4826,-0.4224,
O_HERRERA,MNDWI,9,-0.4169,-0.4427,-0.4057,
O_HERRERA,MNDWI,10,-0.4909,-0.5081,-0.4690,
O_HERRERA,MNDWI,11,-0.4872,-0.5007,-0.4798,
O_HERRERA,MNDWI,12,-0.4993,-0.5087,-0.4766,
O_HERRERA,REDEDGE_POSITION,1,721.2257,721.0290,722.6102,720.4588
O_HERRERA,REDEDGE_POSITION,2,719.8654,718.9867,720.4589,720.6992
O_HERRERA,REDEDGE_POSITION,3,718.8866,718.2179,719.4217,719.5735
O_HERRERA,REDEDGE_POSITION,4,718.5352,717.1037,719.0918,716.1627
O_HERRERA,REDEDGE_POSITION,5,711.7065,708.8120,713.8906,710.8971
O_HERRERA,REDEDGE_POSITION,6,710.3952,707.8323,711.2714,718.9858
O_HERRERA,REDEDGE_POSITION,7,710.0994,709.1079,714.1573,716.1828
O_HERRERA,REDEDGE_POSITION,8,712.9745,712.0264,713.8164,
O_HERRERA,REDEDGE_POSITION,9,711.8255,710.2431,714.9383,
O_HERRERA,REDEDGE_POSITION,10,718.1061,716.9922,718.3408,
O_HERRERA,REDEDGE_POSITION,11,719.7442,718.5379,720.4358,
O_HERRERA,REDEDGE_POSITION,12,720.7047,719.9244,721.0708,
O_HERRERA,MCARI,1,0.1148,0.1103,0.1276,0.1274
O_HERRERA,MCARI,2,0.1030,0.0942,0.1247,0.0995
O_HERRERA,MCARI,3,0.0771,0.0746,0.0843,0.0787
O_HERRERA,MCARI,4,0.0957,0.0805,0.1087,0.0793
O_HERRERA,MCARI,5,0.0620,0.0447,0.0769,0.0609
O_HERRERA,MCARI,6,0.0230,0.0201,0.0238,0.0126
O_HERRERA,MCARI,7,0.0122,0.0106,0.0222,0.0144
O_HERRERA,MCARI,8,0.0097,0.0088,0.0098,
O_HERRERA,MCARI,9,0.0133,0.0113,0.0205,
O_HERRERA,MCARI,10,0.0875,0.0750,0.1229,
O_HERRERA,MCARI,11,0.1316,0.1269,0.1447,
O_HERRERA,MCARI,12,0.1352,0.1307,0.1597,
O_HERRERA,GNDVI,1,0.7655,0.7471,0.7742,0.7168
O_HERRERA,GNDVI,2,0.7306,0.7211,0.7503,0.7206
O_HERRERA,GNDVI,3,0.7098,0.6941,0.7265,0.6983
O_HERRERA,GNDVI,4,0.7468,0.7310,0.7628,0.6653
O_HERRERA,GNDVI,5,0.6662,0.5966,0.6787,0.6519
O_HERRERA,GNDVI,6,0.5822,0.5733,0.6224,0.5303
O_HERRERA,GNDVI,7,0.4813,0.4611,0.5065,0.4871
O_HERRERA,GNDVI,8,0.3897,0.3457,0.4028,
O_HERRERA,GNDVI,9,0.3900,0.3787,0.4426,
O_HERRERA,GNDVI,10,0.6489,0.6120,0.7051,
O_HERRERA,GNDVI,11,0.7040,0.6808,0.7391,
O_HERRERA,GNDVI,12,0.7267,0.7003,0.7604,
O_HERRERA,MSAVI,1,0.5222,0.5151,0.5339,0.4583
O_HERRERA,MSAVI,2,0.4100,0.3634,0.4579,0.4038
O_HERRERA,MSAVI,3,0.3185,0.3084,0.3426,0.3369
O_HERRERA,MSAVI,4,0.3212,0.2912,0.3442,0.3100
O_HERRERA,MSAVI,5,0.2493,0.2074,0.2619,0.2492
O_HERRERA,MSAVI,6,0.1264,0.1178,0.1320,0.1541
O_HERRERA,MSAVI,7,0.1071,0.0981,0.1288,0.1450
O_HERRERA,MSAVI,8,0.0808,0.0741,0.0853,
O_HERRERA,MSAVI,9,0.1024,0.0933,0.1351,
O_HERRERA,MSAVI,10,0.3840,0.3177,0.4681,
O_HERRERA,MSAVI,11,0.4998,0.4615,0.5368,
O_HERRERA,MSAVI,12,0.5241,0.4949,0.5693,
O_HERRERA,EVI,1,0.5454,0.5330,0.5564,0.4785
O_HERRERA,EVI,2,0.4383,0.4067,0.4862,0.4176
O_HERRERA,EVI,3,0.3531,0.3429,0.3676,0.3631
O_HERRERA,EVI,4,0.3502,0.3155,0.3701,0.3318
O_HERRERA,EVI,5,0.2583,0.2110,0.2848,0.2392
O_HERRERA,EVI,6,0.1374,0.1255,0.1462,0.1588
O_HERRERA,EVI,7,0.1275,0.1067,0.1431,0.1503
O_HERRERA,EVI,8,0.0917,0.0865,0.0993,
O_HERRERA,EVI,9,0.1140,0.1056,0.1525,
O_HERRERA,EVI,10,0.4039,0.3428,0.4822,
O_HERRERA,EVI,11,0.5212,0.4802,0.5580,
O_HERRERA,EVI,12,0.5467,0.5178,0.5809,
O_HERRERA,PSRI,1,0.0074,0.0070,0.0155,0.0470
O_HERRERA,PSRI,2,0.0197,0.0162,0.0358,0.0752
O_HERRERA,PSRI,3,0.0473,0.0208,0.0668,0.0834
O_HERRERA,PSRI,4,0.0694,0.0223,0.0931,0.1212
O_HERRERA,PSRI,5,0.1902,0.1318,0.2543,0.3023
O_HERRERA,PSRI,6,0.3319,0.2750,0.4025,0.4089
O_HERRERA,PSRI,7,0.3221,0.2831,0.3922,0.4024
O_HERRERA,PSRI,8,0.3426,0.3102,0.3501,
O_HERRERA,PSRI,9,0.3120,0.2687,0.3254,
O_HERRERA,PSRI,10,0.1092,0.0673,0.1457,
O_HERRERA,PSRI,11,0.0412,0.0330,0.0820,
O_HERRERA,PSRI,12,0.0256,0.0138,0.0431,
