predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
R_PANI,NDVI,1,0.7949,0.7890,0.8008,0.8429
R_PANI,NDVI,2,0.7875,0.7803,0.7946,0.8503
R_PANI,NDVI,3,0.7894,0.7877,0.7911,0.8031
R_PANI,NDVI,4,0.7752,0.7711,0.7793,0.7678
R_PANI,NDVI,5,0.7655,0.7621,0.7689,0.7954
R_PANI,NDVI,6,0.7630,0.7585,0.7675,0.8133
R_PANI,NDVI,7,0.7568,0.7537,0.7599,0.7996
R_PANI,NDVI,8,0.7281,0.7281,0.7281,0.7994
R_PANI,NDVI,9,0.7540,0.7443,0.7637,0.7632
R_PANI,NDVI,10,0.7526,0.7412,0.7641,0.7606
R_PANI,NDVI,11,0.7420,0.7223,0.7618,0.7281
R_PANI,NDVI,12,0.7316,0.7182,0.7450,0.7513
R_PANI,NDVI,13,0.7148,0.7048,0.7248,0.7752
R_PANI,NDVI,14,0.7220,0.6914,0.7526,0.7694
R_PANI,NDVI,15,0.7725,0.7725,0.7725,0.6963
R_PANI,NDVI,16,0.8015,0.8015,0.8015,
R_PANI,NDVI,17,0.7381,0.7263,0.7499,0.6648
R_PANI,NDVI,18,0.7308,0.7308,0.7308,0.7534
R_PANI,NDVI,19,,,,0.6818
R_PANI,NDVI,20,0.7232,0.7232,0.7232,0.6506
R_PANI,NDVI,21,,,,0.4805
R_PANI,NDVI,22,0.4299,0.4299,0.4299,0.3985
R_PANI,NDVI,23,0.3898,0.3898,0.3898,
R_PANI,NDVI,24,0.3054,0.3054,0.3054,0.3365
R_PANI,NDVI,25,0.3769,0.3769,0.3769,
R_PANI,NDVI,26,0.3067,0.2950,0.3185,0.3289
R_PANI,NDVI,27,0.2993,0.2937,0.3049,0.3251
R_PANI,NDVI,28,0.3012,0.2946,0.3078,0.3157
R_PANI,NDVI,29,0.2922,0.2843,0.3002,
R_PANI,NDVI,30,0.2226,0.2226,0.2226,
R_PANI,NDVI,31,,,,
R_PANI,NDVI,32,0.2803,0.2758,0.2849,
R_PANI,NDVI,33,0.2644,0.2644,0.2644,
R_PANI,NDVI,34,0.2294,0.2294,0.2294,0.2606
R_PANI,NDVI,35,0.2716,0.2716,0.2716,
R_PANI,NDVI,36,0.2192,0.2110,0.2274,
R_PANI,NDVI,37,0.2083,0.2005,0.2161,
R_PANI,NDVI,38,0.2080,0.2080,0.2080,
R_PANI,NDVI,39,0.2345,0.2263,0.2426,
R_PANI,NDVI,40,0.3901,0.3901,0.3901,
R_PANI,NDVI,41,0.4178,0.4178,0.4178,
R_PANI,NDVI,42,0.6222,0.6002,0.6443,
R_PANI,NDVI,43,0.7426,0.7219,0.7632,
R_PANI,NDVI,44,0.7816,0.7813,0.7819,
R_PANI,NDVI,45,0.7885,0.7785,0.7985,
R_PANI,NDVI,46,0.8361,0.8284,0.8438,
R_PANI,NDVI,47,0.8491,0.8438,0.8544,
R_PANI,NDVI,48,0.8532,0.8485,0.8579,
R_PANI,NDVI,49,0.8514,0.8437,0.8591,
R_PANI,NDVI,50,0.8524,0.8413,0.8635,
R_PANI,NDVI,51,0.8220,0.8110,0.8329,
R_PANI,NDVI,52,0.8295,0.8225,0.8365,
R_PANI,NDMI,1,0.3842,0.3790,0.3895,0.4198
R_PANI,NDMI,2,0.3836,0.3785,0.3887,0.4241
R_PANI,NDMI,3,0.3775,0.3773,0.3777,0.3981
R_PANI,NDMI,4,0.3636,0.3604,0.3668,0.3519
R_PANI,NDMI,5,0.3575,0.3545,0.3605,0.3792
R_PANI,NDMI,6,0.3517,0.3505,0.3529,0.3844
R_PANI,NDMI,7,0.3495,0.3431,0.3559,0.3734
R_PANI,NDMI,8,0.3341,0.3341,0.3341,0.3869
R_PANI,NDMI,9,0.3391,0.3290,0.3491,0.3542
R_PANI,NDMI,10,0.3435,0.3329,0.3541,0.3450
R_PANI,NDMI,11,0.3362,0.3185,0.3539,0.3072
R_PANI,NDMI,12,0.3290,0.3216,0.3364,0.3425
R_PANI,NDMI,13,0.3177,0.3115,0.3239,0.3649
R_PANI,NDMI,14,0.3280,0.3044,0.3516,0.3551
R_PANI,NDMI,15,0.3711,0.3711,0.3711,0.3502
R_PANI,NDMI,16,0.4091,0.4091,0.4091,
R_PANI,NDMI,17,0.3581,0.3415,0.3747,0.2906
R_PANI,NDMI,18,0.3531,0.3531,0.3531,0.3599
R_PANI,NDMI,19,,,,0.3243
R_PANI,NDMI,20,0.3822,0.3822,0.3822,0.3463
R_PANI,NDMI,21,,,,0.2562
R_PANI,NDMI,22,0.1977,0.1977,0.1977,0.1553
R_PANI,NDMI,23,0.1456,0.1456,0.1456,
R_PANI,NDMI,24,0.0563,0.0563,0.0563,0.2870
R_PANI,NDMI,25,0.2203,0.2203,0.2203,
R_PANI,NDMI,26,0.0156,-0.0221,0.0532,0.0402
R_PANI,NDMI,27,-0.0466,-0.0688,-0.0243,0.0566
R_PANI,NDMI,28,-0.0472,-0.0624,-0.0321,0.0338
R_PANI,NDMI,29,-0.0666,-0.0939,-0.0394,
R_PANI,NDMI,30,-0.0194,-0.0194,-0.0194,
R_PANI,NDMI,31,,,,
R_PANI,NDMI,32,-0.0923,-0.1032,-0.0813,
R_PANI,NDMI,33,-0.1083,-0.1083,-0.1083,
R_PANI,NDMI,34,-0.1411,-0.1411,-0.1411,-0.1184
R_PANI,NDMI,35,-0.1101,-0.1101,-0.1101,
R_PANI,NDMI,36,-0.1178,-0.1201,-0.1156,
R_PANI,NDMI,37,-0.1087,-0.1117,-0.1058,
R_PANI,NDMI,38,-0.1131,-0.1131,-0.1131,
R_PANI,NDMI,39,-0.0855,-0.0955,-0.0756,
R_PANI,NDMI,40,0.0221,0.0221,0.0221,
R_PANI,NDMI,41,0.0388,0.0388,0.0388,
R_PANI,NDMI,42,0.1806,0.1592,0.2019,
R_PANI,NDMI,43,0.2963,0.2819,0.3107,
R_PANI,NDMI,44,0.3238,0.3228,0.3248,
R_PANI,NDMI,45,0.3606,0.3551,0.3660,
R_PANI,NDMI,46,0.3933,0.3844,0.4023,
R_PANI,NDMI,47,0.4077,0.4032,0.4123,
R_PANI,NDMI,48,0.4245,0.4203,0.4287,
R_PANI,NDMI,49,0.4208,0.4188,0.4228,
R_PANI,NDMI,50,0.4298,0.4209,0.4388,
R_PANI,NDMI,51,0.4159,0.4082,0.4236,
R_PANI,NDMI,52,0.4125,0.4040,0.4211,
R_PANI,MNDWI,1,-0.4910,-0.4992,-0.4829,-0.5293
R_PANI,MNDWI,2,-0.4803,-0.4817,-0.4789,-0.5327
R_PANI,MNDWI,3,-0.4976,-0.5101,-0.4852,-0.4984
R_PANI,MNDWI,4,-0.4891,-0.5010,-0.4773,-0.4905
R_PANI,MNDWI,5,-0.4949,-0.4993,-0.4905,-0.5001
R_PANI,MNDWI,6,-0.5025,-0.5150,-0.4900,-0.5347
R_PANI,MNDWI,7,-0.5067,-0.5132,-0.5002,-0.5244
R_PANI,MNDWI,8,-0.4833,-0.4833,-0.4833,-0.5128
R_PANI,MNDWI,9,-0.5097,-0.5107,-0.5088,-0.5011
R_PANI,MNDWI,10,-0.5074,-0.5088,-0.5060,-0.5019
R_PANI,MNDWI,11,-0.5047,-0.5115,-0.4979,-0.4937
R_PANI,MNDWI,12,-0.4943,-0.5017,-0.4869,-0.5075
R_PANI,MNDWI,13,-0.4818,-0.4831,-0.4805,-0.4979
R_PANI,MNDWI,14,-0.4935,-0.5037,-0.4833,-0.5075
R_PANI,MNDWI,15,-0.5137,-0.5137,-0.5137,-0.4227
R_PANI,MNDWI,16,-0.5026,-0.5026,-0.5026,
R_PANI,MNDWI,17,-0.4815,-0.4905,-0.4725,-0.4458
R_PANI,MNDWI,18,-0.4852,-0.4852,-0.4852,-0.5070
R_PANI,MNDWI,19,,,,-0.4738
R_PANI,MNDWI,20,-0.4544,-0.4544,-0.4544,-0.4101
R_PANI,MNDWI,21,,,,-0.4782
R_PANI,MNDWI,22,-0.4217,-0.4217,-0.4217,-0.4418
R_PANI,MNDWI,23,-0.4909,-0.4909,-0.4909,
R_PANI,MNDWI,24,-0.5480,-0.5480,-0.5480,-0.3734
R_PANI,MNDWI,25,-0.5070,-0.5070,-0.5070,
R_PANI,MNDWI,26,-0.5613,-0.5621,-0.5605,-0.5880
R_PANI,MNDWI,27,-0.5809,-0.5811,-0.5806,-0.5700
R_PANI,MNDWI,28,-0.5713,-0.5779,-0.5647,-0.5773
R_PANI,MNDWI,29,-0.5805,-0.5827,-0.5783,
R_PANI,MNDWI,30,-0.3693,-0.3693,-0.3693,
R_PANI,MNDWI,31,,,,
R_PANI,MNDWI,32,-0.5604,-0.5664,-0.5544,
R_PANI,MNDWI,33,-0.5336,-0.5336,-0.5336,
R_PANI,MNDWI,34,-0.5258,-0.5258,-0.5258,-0.5718
R_PANI,MNDWI,35,-0.5486,-0.5486,-0.5486,
R_PANI,MNDWI,36,-0.5182,-0.5310,-0.5054,
R_PANI,MNDWI,37,-0.4922,-0.5019,-0.4824,
R_PANI,MNDWI,38,-0.4894,-0.4894,-0.4894,
R_PANI,MNDWI,39,-0.4724,-0.4807,-0.4640,
R_PANI,MNDWI,40,-0.4591,-0.4591,-0.4591,
R_PANI,MNDWI,41,-0.4675,-0.4675,-0.4675,
R_PANI,MNDWI,42,-0.4769,-0.4902,-0.4635,
R_PANI,MNDWI,43,-0.4354,-0.4457,-0.4252,
R_PANI,MNDWI,44,-0.4479,-0.4512,-0.4445,
R_PANI,MNDWI,45,-0.4315,-0.4338,-0.4291,
R_PANI,MNDWI,46,-0.4524,-0.4565,-0.4482,
R_PANI,MNDWI,47,-0.4631,-0.4636,-0.4625,
R_PANI,MNDWI,48,-0.4749,-0.4777,-0.4721,
R_PANI,MNDWI,49,-0.4981,-0.5005,-0.4958,
R_PANI,MNDWI,50,-0.4983,-0.4996,-0.4969,
R_PANI,MNDWI,51,-0.4825,-0.4843,-0.4806,
R_PANI,MNDWI,52,-0.5089,-0.5111,-0.5067,
R_PANI,REDEDGE_POSITION,1,721.7361,721.0880,722.3841,720.2440
R_PANI,REDEDGE_POSITION,2,722.1860,721.5860,722.7860,722.5745
R_PANI,REDEDGE_POSITION,3,722.1381,721.9442,722.3320,721.7383
R_PANI,REDEDGE_POSITION,4,722.3598,721.9678,722.7518,720.3413
R_PANI,REDEDGE_POSITION,5,721.7492,721.6829,721.8154,721.7050
R_PANI,REDEDGE_POSITION,6,721.5215,720.9836,722.0595,722.3431
R_PANI,REDEDGE_POSITION,7,721.1982,720.6977,721.6986,719.5064
R_PANI,REDEDGE_POSITION,8,722.2537,722.2537,722.2537,721.1566
R_PANI,REDEDGE_POSITION,9,720.5665,719.8667,721.2662,721.1224
R_PANI,REDEDGE_POSITION,10,721.2067,720.8264,721.5871,719.5602
R_PANI,REDEDGE_POSITION,11,721.3988,721.1628,721.6349,717.4066
R_PANI,REDEDGE_POSITION,12,720.6059,720.4831,720.7287,720.3048
R_PANI,REDEDGE_POSITION,13,719.6731,719.0118,720.3344,719.3035
R_PANI,REDEDGE_POSITION,14,720.5313,720.2347,720.8279,716.5886
R_PANI,REDEDGE_POSITION,15,718.9395,718.9395,718.9395,718.0712
R_PANI,REDEDGE_POSITION,16,719.6287,719.6287,719.6287,
R_PANI,REDEDGE_POSITION,17,717.1838,716.9514,717.4162,714.4345
R_PANI,REDEDGE_POSITION,18,717.7879,717.7879,717.7879,716.1133
R_PANI,REDEDGE_POSITION,19,,,,716.1641
R_PANI,REDEDGE_POSITION,20,715.3610,715.3610,715.3610,709.3906
R_PANI,REDEDGE_POSITION,21,,,,705.5704
R_PANI,REDEDGE_POSITION,22,706.3436,706.3436,706.3436,709.0774
R_PANI,REDEDGE_POSITION,23,699.5544,699.5544,699.5544,
R_PANI,REDEDGE_POSITION,24,714.5943,714.5943,714.5943,708.1334
R_PANI,REDEDGE_POSITION,25,710.3678,710.3678,710.3678,
R_PANI,REDEDGE_POSITION,26,714.2727,712.7479,715.7976,718.8843
R_PANI,REDEDGE_POSITION,27,715.6877,715.2934,716.0820,715.1048
R_PANI,REDEDGE_POSITION,28,716.2151,714.9089,717.5213,716.9767
R_PANI,REDEDGE_POSITION,29,715.4409,714.2484,716.6334,
R_PANI,REDEDGE_POSITION,30,720.6002,720.6002,720.6002,
R_PANI,REDEDGE_POSITION,31,,,,
R_PANI,REDEDGE_POSITION,32,717.4721,716.5578,718.3864,
R_PANI,REDEDGE_POSITION,33,713.4747,713.4747,713.4747,
R_PANI,REDEDGE_POSITION,34,719.1520,719.1520,719.1520,713.0314
R_PANI,REDEDGE_POSITION,35,717.0883,717.0883,717.0883,
R_PANI,REDEDGE_POSITION,36,722.1297,720.2128,724.0466,
