predio,band,month,historical_median,historical_p25,historical_p75,value_2026
R_PANI,NDVI,1,0.7835,0.7732,0.7928,0.8101
R_PANI,NDVI,2,0.7585,0.7466,0.7720,0.7996
R_PANI,NDVI,3,0.7323,0.7042,0.7627,0.7577
R_PANI,NDVI,4,0.7671,0.7263,0.7805,0.7256
R_PANI,NDVI,5,0.7232,0.5766,0.7270,0.4946
R_PANI,NDVI,6,0.3303,0.3054,0.3769,0.3327
R_PANI,NDVI,7,0.2881,0.2822,0.3093,0.3204
R_PANI,NDVI,8,0.2712,0.2644,0.2716,
R_PANI,NDVI,9,0.2182,0.2054,0.2297,
R_PANI,NDVI,10,0.6837,0.5381,0.7813,
R_PANI,NDVI,11,0.8411,0.8177,0.8535,
R_PANI,NDVI,12,0.8398,0.8265,0.8496,
R_PANI,NDMI,1,0.3737,0.3701,0.3778,0.3975
R_PANI,NDMI,2,0.3517,0.3360,0.3600,0.3790
R_PANI,NDMI,3,0.3262,0.3120,0.3491,0.3440
R_PANI,NDMI,4,0.3732,0.3364,0.3873,0.3511
R_PANI,NDMI,5,0.3531,0.2754,0.3676,0.2629
R_PANI,NDMI,6,0.0909,0.0563,0.1456,0.1636
R_PANI,NDMI,7,-0.0194,-0.0843,-0.0145,0.0452
R_PANI,NDMI,8,-0.1101,-0.1141,-0.1083,
R_PANI,NDMI,9,-0.1131,-0.1140,-0.1041,
R_PANI,NDMI,10,0.2454,0.1131,0.3226,
R_PANI,NDMI,11,0.4049,0.3745,0.4163,
R_PANI,NDMI,12,0.4208,0.4091,0.4301,
R_PANI,MNDWI,1,-0.4832,-0.5073,-0.4748,-0.5119
R_PANI,MNDWI,2,-0.5008,-0.5137,-0.4854,-0.5190
R_PANI,MNDWI,3,-0.4979,-0.5094,-0.4831,-0.5004
R_PANI,MNDWI,4,-0.5011,-0.5110,-0.4797,-0.4737
R_PANI,MNDWI,5,-0.4544,-0.4698,-0.4380,-0.4472
R_PANI,MNDWI,6,-0.5480,-0.5596,-0.5070,-0.4807
R_PANI,MNDWI,7,-0.5804,-0.5829,-0.5671,-0.5736
R_PANI,MNDWI,8,-0.5485,-0.5486,-0.5336,
R_PANI,MNDWI,9,-0.4894,-0.5021,-0.4809,
R_PANI,MNDWI,10,-0.4553,-0.4612,-0.4479,
R_PANI,MNDWI,11,-0.4613,-0.4654,-0.4421,
R_PANI,MNDWI,12,-0.4983,-0.5033,-0.4916,
R_PANI,REDEDGE_POSITION,1,721.8817,721.5759,723.0322,721.5347
R_PANI,REDEDGE_POSITION,2,721.7914,720.3835,722.2127,721.1268
R_PANI,REDEDGE_POSITION,3,720.8891,720.4246,721.2145,719.3538
R_PANI,REDEDGE_POSITION,4,719.2841,717.9713,719.8607,716.3176
R_PANI,REDEDGE_POSITION,5,715.3610,710.8523,716.5745,708.4671
R_PANI,REDEDGE_POSITION,6,711.2231,710.3678,714.5943,713.5089
R_PANI,REDEDGE_POSITION,7,716.4763,714.2509,718.3268,716.0407
R_PANI,REDEDGE_POSITION,8,717.0883,715.6436,719.1520,
R_PANI,REDEDGE_POSITION,9,719.5214,715.5629,722.0642,
R_PANI,REDEDGE_POSITION,10,714.9656,712.7278,716.1191,
R_PANI,REDEDGE_POSITION,11,718.8725,717.3997,719.4952,
R_PANI,REDEDGE_POSITION,12,721.3926,720.4503,721.7677,
R_PANI,MCARI,1,0.1151,0.1107,0.1319,0.1660
R_PANI,MCARI,2,0.1171,0.1009,0.1301,0.1444
R_PANI,MCARI,3,0.1068,0.0939,0.1100,0.1497
R_PANI,MCARI,4,0.1460,0.1182,0.1489,0.1477
R_PANI,MCARI,5,0.1213,0.1020,0.1414,0.1017
R_PANI,MCARI,6,0.0299,0.0193,0.0425,0.0317
R_PANI,MCARI,7,0.0150,0.0141,0.0162,0.0233
R_PANI,MCARI,8,0.0120,0.0116,0.0129,
R_PANI,MCARI,9,0.0053,0.0037,0.0074,
R_PANI,MCARI,10,0.1269,0.0774,0.2039,
R_PANI,MCARI,11,0.2671,0.2395,0.3142,
R_PANI,MCARI,12,0.2045,0.1581,0.2334,
R_PANI,GNDVI,1,0.7215,0.7175,0.7378,0.7484
R_PANI,GNDVI,2,0.7200,0.7068,0.7256,0.7462
R_PANI,GNDVI,3,0.7025,0.6864,0.7252,0.7194
R_PANI,GNDVI,4,0.7301,0.7079,0.7410,0.6963
R_PANI,GNDVI,5,0.7102,0.6424,0.7117,0.6512
R_PANI,GNDVI,6,0.5940,0.5863,0.6188,0.6045
R_PANI,GNDVI,7,0.5183,0.5017,0.5703,0.6024
R_PANI,GNDVI,8,0.4638,0.4521,0.4675,
R_PANI,GNDVI,9,0.4019,0.4002,0.4136,
R_PANI,GNDVI,10,0.6115,0.5729,0.6700,
R_PANI,GNDVI,11,0.7220,0.7048,0.7375,
R_PANI,GNDVI,12,0.7536,0.7514,0.7610,
R_PANI,MSAVI,1,0.5786,0.5712,0.5826,0.6503
R_PANI,MSAVI,2,0.5363,0.5194,0.5459,0.6070
R_PANI,MSAVI,3,0.4826,0.4520,0.5171,0.5338
R_PANI,MSAVI,4,0.5162,0.4748,0.5297,0.4914
R_PANI,MSAVI,5,0.4677,0.3853,0.4827,0.3387
R_PANI,MSAVI,6,0.2085,0.1798,0.2524,0.2408
R_PANI,MSAVI,7,0.1490,0.1426,0.1954,0.2231
R_PANI,MSAVI,8,0.1473,0.1291,0.1480,
R_PANI,MSAVI,9,0.0911,0.0846,0.0966,
R_PANI,MSAVI,10,0.3937,0.2828,0.5194,
R_PANI,MSAVI,11,0.6728,0.6304,0.7122,
R_PANI,MSAVI,12,0.6899,0.6523,0.7266,
R_PANI,EVI,1,0.6128,0.6017,0.6242,0.7016
R_PANI,EVI,2,0.5693,0.5545,0.5753,0.6248
R_PANI,EVI,3,0.5146,0.4884,0.5383,0.5568
R_PANI,EVI,4,0.5276,0.4847,0.5507,0.5089
R_PANI,EVI,5,0.4841,0.3894,0.4915,0.3141
R_PANI,EVI,6,0.1920,0.1717,0.2259,0.2196
R_PANI,EVI,7,0.1525,0.1464,0.1845,0.2027
R_PANI,EVI,8,0.1565,0.1376,0.1572,
R_PANI,EVI,9,0.1002,0.0929,0.1046,
R_PANI,EVI,10,0.4199,0.2969,0.5277,
R_PANI,EVI,11,0.6901,0.6563,0.7255,
R_PANI,EVI,12,0.7184,0.6842,0.7589,
R_PANI,PSRI,1,0.0311,0.0281,0.0365,0.0230
R_PANI,PSRI,2,0.0453,0.0442,0.0613,0.0375
R_PANI,PSRI,3,0.0712,0.0633,0.0900,0.0617
R_PANI,PSRI,4,0.0898,0.0620,0.1073,0.1049
R_PANI,PSRI,5,0.1174,0.1128,0.2154,0.2960
R_PANI,PSRI,6,0.4637,0.4137,0.4676,0.4646
R_PANI,PSRI,7,0.4247,0.4114,0.4778,0.4910
R_PANI,PSRI,8,0.3868,0.3822,0.3890,
R_PANI,PSRI,9,0.3954,0.3873,0.4004,
R_PANI,PSRI,10,0.1011,0.0753,0.1885,
R_PANI,PSRI,11,0.0243,0.0216,0.0276,
R_PANI,PSRI,12,0.0231,0.0204,0.0245,
