predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
R_PORFIRI,NDVI,1,0.0521,0.0463,0.0579,0.0872
R_PORFIRI,NDVI,2,0.0545,0.0487,0.0603,0.0876
R_PORFIRI,NDVI,3,0.0562,0.0502,0.0623,0.0861
R_PORFIRI,NDVI,4,0.0571,0.0513,0.0629,0.0825
R_PORFIRI,NDVI,5,0.0592,0.0539,0.0645,0.0888
R_PORFIRI,NDVI,6,0.0611,0.0557,0.0665,0.0890
R_PORFIRI,NDVI,7,0.0623,0.0573,0.0673,0.0883
R_PORFIRI,NDVI,8,0.0732,0.0732,0.0732,0.0882
R_PORFIRI,NDVI,9,0.0634,0.0587,0.0680,0.0856
R_PORFIRI,NDVI,10,0.0643,0.0597,0.0689,0.0843
R_PORFIRI,NDVI,11,0.0623,0.0586,0.0660,0.0820
R_PORFIRI,NDVI,12,0.0626,0.0585,0.0668,0.0838
R_PORFIRI,NDVI,13,0.0582,0.0554,0.0610,0.0854
R_PORFIRI,NDVI,14,0.0619,0.0554,0.0684,0.0840
R_PORFIRI,NDVI,15,0.0746,0.0746,0.0746,0.0800
R_PORFIRI,NDVI,16,0.0607,0.0607,0.0607,0.0658
R_PORFIRI,NDVI,17,0.0664,0.0622,0.0705,0.0783
R_PORFIRI,NDVI,18,0.0713,0.0713,0.0713,0.0820
R_PORFIRI,NDVI,19,0.0465,0.0465,0.0465,0.0724
R_PORFIRI,NDVI,20,0.0620,0.0562,0.0679,0.0747
R_PORFIRI,NDVI,21,,,,0.0619
R_PORFIRI,NDVI,22,0.0585,0.0585,0.0585,0.0432
R_PORFIRI,NDVI,23,0.0634,0.0634,0.0634,
R_PORFIRI,NDVI,24,0.0314,0.0314,0.0314,
R_PORFIRI,NDVI,25,0.0537,0.0537,0.0537,
R_PORFIRI,NDVI,26,0.0357,0.0322,0.0392,
R_PORFIRI,NDVI,27,0.0324,0.0302,0.0347,
R_PORFIRI,NDVI,28,0.0284,0.0256,0.0312,
R_PORFIRI,NDVI,29,0.0281,0.0263,0.0298,
R_PORFIRI,NDVI,30,0.0229,0.0229,0.0229,
R_PORFIRI,NDVI,31,,,,
R_PORFIRI,NDVI,32,0.0251,0.0238,0.0264,
R_PORFIRI,NDVI,33,0.0230,0.0230,0.0230,
R_PORFIRI,NDVI,34,0.0245,0.0220,0.0269,
R_PORFIRI,NDVI,35,0.0270,0.0270,0.0270,
R_PORFIRI,NDVI,36,0.0211,0.0202,0.0220,
R_PORFIRI,NDVI,37,0.0210,0.0202,0.0217,
R_PORFIRI,NDVI,38,0.0188,0.0175,0.0201,
R_PORFIRI,NDVI,39,0.0191,0.0179,0.0203,
R_PORFIRI,NDVI,40,0.0191,0.0191,0.0191,
R_PORFIRI,NDVI,41,0.0254,0.0254,0.0254,
R_PORFIRI,NDVI,42,0.0329,0.0329,0.0329,
R_PORFIRI,NDVI,43,0.0405,0.0383,0.0427,
R_PORFIRI,NDVI,44,0.0401,0.0401,0.0401,
R_PORFIRI,NDVI,45,0.0539,0.0503,0.0576,
R_PORFIRI,NDVI,46,0.0572,0.0536,0.0608,
R_PORFIRI,NDVI,47,0.0629,0.0584,0.0674,
R_PORFIRI,NDVI,48,0.0671,0.0619,0.0722,
R_PORFIRI,NDVI,49,0.0691,0.0635,0.0746,
R_PORFIRI,NDVI,50,0.0716,0.0653,0.0779,
R_PORFIRI,NDVI,51,0.0714,0.0659,0.0768,
R_PORFIRI,NDVI,52,0.0738,0.0682,0.0794,
R_PORFIRI,NDMI,1,0.0151,0.0104,0.0198,0.0421
R_PORFIRI,NDMI,2,0.0166,0.0121,0.0211,0.0428
R_PORFIRI,NDMI,3,0.0174,0.0127,0.0221,0.0430
R_PORFIRI,NDMI,4,0.0181,0.0134,0.0228,0.0393
R_PORFIRI,NDMI,5,0.0196,0.0154,0.0239,0.0443
R_PORFIRI,NDMI,6,0.0209,0.0164,0.0254,0.0446
R_PORFIRI,NDMI,7,0.0221,0.0179,0.0262,0.0444
R_PORFIRI,NDMI,8,0.0323,0.0323,0.0323,0.0455
R_PORFIRI,NDMI,9,0.0225,0.0188,0.0262,0.0429
R_PORFIRI,NDMI,10,0.0237,0.0200,0.0274,0.0415
R_PORFIRI,NDMI,11,0.0221,0.0190,0.0252,0.0395
R_PORFIRI,NDMI,12,0.0224,0.0188,0.0260,0.0416
R_PORFIRI,NDMI,13,0.0203,0.0172,0.0235,0.0432
R_PORFIRI,NDMI,14,0.0228,0.0172,0.0284,0.0415
