predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
R_SALAZAR,NDVI,1,0.6044,0.6044,0.6044,
R_SALAZAR,NDVI,2,0.6981,0.6981,0.6981,0.6617
R_SALAZAR,NDVI,3,0.6519,0.6402,0.6636,0.6503
R_SALAZAR,NDVI,4,,,,0.6329
R_SALAZAR,NDVI,5,0.6375,0.6294,0.6457,0.6726
R_SALAZAR,NDVI,6,0.6245,0.6236,0.6255,0.6829
R_SALAZAR,NDVI,7,0.6330,0.6318,0.6342,0.6818
R_SALAZAR,NDVI,8,0.6114,0.6114,0.6114,0.6749
R_SALAZAR,NDVI,9,0.6294,0.6270,0.6318,0.6685
R_SALAZAR,NDVI,10,0.6552,0.6521,0.6583,0.6804
R_SALAZAR,NDVI,11,0.6578,0.6578,0.6578,0.6654
R_SALAZAR,NDVI,12,0.6542,0.6519,0.6565,0.6842
R_SALAZAR,NDVI,13,0.6090,0.6090,0.6090,0.7141
R_SALAZAR,NDVI,14,0.6999,0.6885,0.7113,0.7079
R_SALAZAR,NDVI,15,0.7192,0.7192,0.7192,0.7193
R_SALAZAR,NDVI,16,0.7146,0.7058,0.7234,0.5725
R_SALAZAR,NDVI,17,0.6924,0.6902,0.6946,0.7322
R_SALAZAR,NDVI,18,0.7348,0.7348,0.7348,0.7439
R_SALAZAR,NDVI,19,0.7340,0.7340,0.7340,0.7554
R_SALAZAR,NDVI,20,0.7049,0.6946,0.7153,0.7577
R_SALAZAR,NDVI,21,,,,
R_SALAZAR,NDVI,22,0.7711,0.7706,0.7716,
R_SALAZAR,NDVI,23,,,,0.6637
R_SALAZAR,NDVI,24,,,,0.7367
R_SALAZAR,NDVI,25,0.8040,0.8040,0.8040,0.7551
R_SALAZAR,NDVI,26,0.7869,0.7832,0.7906,0.7716
R_SALAZAR,NDVI,27,0.7771,0.7736,0.7807,0.7635
R_SALAZAR,NDVI,28,0.7645,0.7551,0.7738,0.7805
R_SALAZAR,NDVI,29,0.7612,0.7534,0.7691,
R_SALAZAR,NDVI,30,0.7315,0.7315,0.7315,
R_SALAZAR,NDVI,31,0.7749,0.7749,0.7749,
R_SALAZAR,NDVI,32,0.7556,0.7436,0.7676,
R_SALAZAR,NDVI,33,,,,
R_SALAZAR,NDVI,34,0.7086,0.7086,0.7086,
R_SALAZAR,NDVI,35,0.7584,0.7584,0.7584,
R_SALAZAR,NDVI,36,0.6955,0.6888,0.7021,
R_SALAZAR,NDVI,37,0.6733,0.6641,0.6824,
R_SALAZAR,NDVI,38,0.6755,0.6755,0.6755,
R_SALAZAR,NDVI,39,0.6658,0.6579,0.6737,
R_SALAZAR,NDVI,40,0.6145,0.6145,0.6145,
R_SALAZAR,NDVI,41,0.6508,0.6508,0.6508,
R_SALAZAR,NDVI,42,,,,
R_SALAZAR,NDVI,43,0.6112,0.6104,0.6120,
R_SALAZAR,NDVI,44,0.6031,0.5986,0.6075,
R_SALAZAR,NDVI,45,0.5843,0.5796,0.5890,
R_SALAZAR,NDVI,46,0.5978,0.5902,0.6053,
R_SALAZAR,NDVI,47,0.5969,0.5931,0.6007,
R_SALAZAR,NDVI,48,0.6127,0.6127,0.6127,
R_SALAZAR,NDVI,49,0.6271,0.6195,0.6348,
R_SALAZAR,NDVI,50,0.6349,0.6238,0.6459,
R_SALAZAR,NDVI,51,0.6268,0.6209,0.6327,
R_SALAZAR,NDVI,52,0.6337,0.6230,0.6444,
R_SALAZAR,NDMI,1,0.1636,0.1636,0.1636,
R_SALAZAR,NDMI,2,0.2446,0.2446,0.2446,0.1995
R_SALAZAR,NDMI,3,0.1958,0.1811,0.2106,0.2027
R_SALAZAR,NDMI,4,,,,0.1727
R_SALAZAR,NDMI,5,0.1652,0.1650,0.1654,0.1976
R_SALAZAR,NDMI,6,0.1576,0.1517,0.1634,0.2069
R_SALAZAR,NDMI,7,0.1692,0.1641,0.1743,0.2172
R_SALAZAR,NDMI,8,0.1698,0.1698,0.1698,0.2147
R_SALAZAR,NDMI,9,0.1625,0.1589,0.1661,0.2092
R_SALAZAR,NDMI,10,0.1786,0.1783,0.1788,0.2088
R_SALAZAR,NDMI,11,0.1678,0.1678,0.1678,0.2052
R_SALAZAR,NDMI,12,0.1796,0.1708,0.1884,0.2197
R_SALAZAR,NDMI,13,0.2110,0.2110,0.2110,0.2447
R_SALAZAR,NDMI,14,0.2196,0.2040,0.2352,0.2447
R_SALAZAR,NDMI,15,0.2514,0.2514,0.2514,0.2620
R_SALAZAR,NDMI,16,0.2550,0.2316,0.2783,0.2605
R_SALAZAR,NDMI,17,0.2361,0.2254,0.2468,0.2810
R_SALAZAR,NDMI,18,0.2783,0.2783,0.2783,0.2887
R_SALAZAR,NDMI,19,0.2743,0.2743,0.2743,0.3303
R_SALAZAR,NDMI,20,0.2801,0.2722,0.2880,0.3116
R_SALAZAR,NDMI,21,,,,
R_SALAZAR,NDMI,22,0.3220,0.3173,0.3267,
R_SALAZAR,NDMI,23,,,,0.2364
R_SALAZAR,NDMI,24,,,,0.2987
R_SALAZAR,NDMI,25,0.3535,0.3535,0.3535,0.3047
R_SALAZAR,NDMI,26,0.3137,0.3115,0.3160,0.3127
R_SALAZAR,NDMI,27,0.3015,0.2995,0.3036,0.3083
R_SALAZAR,NDMI,28,0.3124,0.2964,0.3285,0.2925
R_SALAZAR,NDMI,29,0.2955,0.2857,0.3053,
R_SALAZAR,NDMI,30,0.2954,0.2954,0.2954,
R_SALAZAR,NDMI,31,0.3444,0.3444,0.3444,
R_SALAZAR,NDMI,32,0.2730,0.2536,0.2925,
R_SALAZAR,NDMI,33,,,,
R_SALAZAR,NDMI,34,0.2039,0.2039,0.2039,
R_SALAZAR,NDMI,35,0.2675,0.2675,0.2675,
R_SALAZAR,NDMI,36,0.2145,0.2038,0.2252,
