predio,band,month,historical_median,historical_p25,historical_p75,value_2026
R_SALAZAR,NDVI,1,0.6284,0.6212,0.6754,0.6553
R_SALAZAR,NDVI,2,0.6285,0.6241,0.6345,0.6787
R_SALAZAR,NDVI,3,0.6537,0.6492,0.6585,0.6863
R_SALAZAR,NDVI,4,0.6971,0.6924,0.7209,0.7169
R_SALAZAR,NDVI,5,0.7344,0.7277,0.7614,0.7565
R_SALAZAR,NDVI,6,0.7943,0.7869,0.7991,0.7483
R_SALAZAR,NDVI,7,0.7725,0.7457,0.7785,0.7720
R_SALAZAR,NDVI,8,0.7450,0.7258,0.7637,
R_SALAZAR,NDVI,9,0.6816,0.6653,0.6869,
R_SALAZAR,NDVI,10,0.6124,0.6102,0.6141,
R_SALAZAR,NDVI,11,0.5937,0.5859,0.6086,
R_SALAZAR,NDVI,12,0.6268,0.6126,0.6456,
R_SALAZAR,NDMI,1,0.1663,0.1656,0.2253,0.1961
R_SALAZAR,NDMI,2,0.1670,0.1581,0.1697,0.2131
R_SALAZAR,NDMI,3,0.1786,0.1704,0.1927,0.2166
R_SALAZAR,NDMI,4,0.2508,0.2115,0.2544,0.2652
R_SALAZAR,NDMI,5,0.2871,0.2753,0.3084,0.3209
R_SALAZAR,NDMI,6,0.3182,0.3137,0.3359,0.3016
R_SALAZAR,NDMI,7,0.3015,0.2916,0.3224,0.3004
R_SALAZAR,NDMI,8,0.2508,0.2265,0.2786,
R_SALAZAR,NDMI,9,0.1942,0.1791,0.2094,
R_SALAZAR,NDMI,10,0.1322,0.1291,0.1391,
R_SALAZAR,NDMI,11,0.1528,0.1423,0.1663,
R_SALAZAR,NDMI,12,0.1750,0.1656,0.1930,
R_SALAZAR,MNDWI,1,-0.5941,-0.6032,-0.5898,-0.5969
R_SALAZAR,MNDWI,2,-0.6111,-0.6251,-0.6090,-0.6336
R_SALAZAR,MNDWI,3,-0.6344,-0.6447,-0.6168,-0.6398
R_SALAZAR,MNDWI,4,-0.6468,-0.6523,-0.6400,-0.6396
R_SALAZAR,MNDWI,5,-0.6308,-0.6398,-0.6172,-0.6251
R_SALAZAR,MNDWI,6,-0.6422,-0.6583,-0.6279,-0.6151
R_SALAZAR,MNDWI,7,-0.6262,-0.6311,-0.6035,-0.6498
R_SALAZAR,MNDWI,8,-0.6274,-0.6323,-0.6223,
R_SALAZAR,MNDWI,9,-0.5958,-0.5992,-0.5759,
R_SALAZAR,MNDWI,10,-0.5806,-0.5847,-0.5788,
R_SALAZAR,MNDWI,11,-0.5432,-0.5642,-0.5313,
R_SALAZAR,MNDWI,12,-0.5786,-0.5860,-0.5759,
R_SALAZAR,REDEDGE_POSITION,1,722.9071,722.7455,723.2222,723.4457
R_SALAZAR,REDEDGE_POSITION,2,724.1043,722.4208,724.5339,723.8678
R_SALAZAR,REDEDGE_POSITION,3,723.8004,723.2521,724.9007,724.3951
R_SALAZAR,REDEDGE_POSITION,4,725.1320,723.8192,725.6035,724.8932
R_SALAZAR,REDEDGE_POSITION,5,725.2092,724.5555,725.4783,725.3021
R_SALAZAR,REDEDGE_POSITION,6,724.6396,722.9730,725.1239,723.2845
R_SALAZAR,REDEDGE_POSITION,7,723.4003,722.1563,723.8448,721.6177
R_SALAZAR,REDEDGE_POSITION,8,722.8142,722.0624,723.0513,
R_SALAZAR,REDEDGE_POSITION,9,722.1237,720.1497,722.1807,
R_SALAZAR,REDEDGE_POSITION,10,719.9024,719.2750,720.4633,
R_SALAZAR,REDEDGE_POSITION,11,719.0200,718.4550,719.1300,
R_SALAZAR,REDEDGE_POSITION,12,721.4604,720.7928,721.6724,
R_SALAZAR,MCARI,1,0.0615,0.0576,0.0672,0.0633
R_SALAZAR,MCARI,2,0.0534,0.0489,0.0610,0.0613
R_SALAZAR,MCARI,3,0.0520,0.0497,0.0552,0.0594
R_SALAZAR,MCARI,4,0.0474,0.0452,0.0617,0.0592
R_SALAZAR,MCARI,5,0.0563,0.0534,0.0717,0.0606
R_SALAZAR,MCARI,6,0.0722,0.0666,0.0867,0.0665
R_SALAZAR,MCARI,7,0.0635,0.0608,0.0831,0.1003
R_SALAZAR,MCARI,8,0.0711,0.0619,0.0886,
R_SALAZAR,MCARI,9,0.0632,0.0568,0.0879,
R_SALAZAR,MCARI,10,0.0685,0.0631,0.0713,
R_SALAZAR,MCARI,11,0.0765,0.0743,0.0798,
R_SALAZAR,MCARI,12,0.0694,0.0664,0.0744,
R_SALAZAR,GNDVI,1,0.7040,0.6947,0.7127,0.7050
R_SALAZAR,GNDVI,2,0.7043,0.6974,0.7082,0.7398
R_SALAZAR,GNDVI,3,0.7207,0.7183,0.7307,0.7466
R_SALAZAR,GNDVI,4,0.7605,0.7450,0.7633,0.7680
R_SALAZAR,GNDVI,5,0.7699,0.7648,0.7779,0.7805
