predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
RCI,NDVI,1,0.7965,0.7965,0.7965,
RCI,NDVI,2,0.8376,0.8376,0.8376,0.8001
RCI,NDVI,3,0.8165,0.8091,0.8239,0.7898
RCI,NDVI,4,0.7703,0.7703,0.7703,0.7813
RCI,NDVI,5,0.8151,0.8151,0.8151,0.8152
RCI,NDVI,6,0.8159,0.8082,0.8237,0.8385
RCI,NDVI,7,0.8165,0.8154,0.8176,0.8420
RCI,NDVI,8,0.7959,0.7959,0.7959,0.8382
RCI,NDVI,9,0.8124,0.8119,0.8128,0.8222
RCI,NDVI,10,0.8372,0.8347,0.8397,0.8420
RCI,NDVI,11,0.8065,0.7869,0.8261,0.8192
RCI,NDVI,12,0.8086,0.7994,0.8178,0.8536
RCI,NDVI,13,0.7891,0.7891,0.7891,0.8488
RCI,NDVI,14,0.8677,0.8593,0.8762,0.8555
RCI,NDVI,15,0.8782,0.8782,0.8782,0.8800
RCI,NDVI,16,0.8762,0.8762,0.8762,0.6426
RCI,NDVI,17,0.8633,0.8563,0.8703,0.8729
RCI,NDVI,18,0.8728,0.8728,0.8728,0.8926
RCI,NDVI,19,0.8501,0.8501,0.8501,0.8838
RCI,NDVI,20,0.8261,0.7943,0.8578,
RCI,NDVI,21,,,,
RCI,NDVI,22,0.9220,0.9214,0.9225,
RCI,NDVI,23,,,,
RCI,NDVI,24,0.8511,0.8511,0.8511,
RCI,NDVI,25,0.9030,0.9030,0.9030,
RCI,NDVI,26,0.8717,0.8595,0.8838,
RCI,NDVI,27,0.8919,0.8849,0.8989,
RCI,NDVI,28,0.8835,0.8785,0.8885,
RCI,NDVI,29,0.8843,0.8818,0.8868,
RCI,NDVI,30,0.7164,0.7164,0.7164,
RCI,NDVI,31,,,,
RCI,NDVI,32,0.8757,0.8720,0.8794,
RCI,NDVI,33,,,,
RCI,NDVI,34,0.8819,0.8819,0.8819,
RCI,NDVI,35,0.9067,0.9067,0.9067,
RCI,NDVI,36,0.8521,0.8521,0.8522,
RCI,NDVI,37,0.8464,0.8325,0.8603,
RCI,NDVI,38,0.7310,0.6555,0.8065,
RCI,NDVI,39,0.8767,0.8715,0.8820,
RCI,NDVI,40,0.8562,0.8562,0.8562,
RCI,NDVI,41,0.8687,0.8687,0.8687,
RCI,NDVI,42,,,,
RCI,NDVI,43,0.8339,0.8237,0.8442,
RCI,NDVI,44,0.8172,0.8014,0.8330,
RCI,NDVI,45,0.7635,0.7635,0.7635,
RCI,NDVI,46,0.7941,0.7932,0.7950,
RCI,NDVI,47,0.7930,0.7839,0.8020,
RCI,NDVI,48,0.8172,0.8172,0.8172,
RCI,NDVI,49,0.7897,0.7786,0.8009,
RCI,NDVI,50,0.8008,0.7978,0.8038,
RCI,NDVI,51,0.7792,0.7725,0.7860,
RCI,NDVI,52,0.7981,0.7957,0.8005,
RCI,NDMI,1,0.3739,0.3739,0.3739,
RCI,NDMI,2,0.3797,0.3797,0.3797,0.3591
RCI,NDMI,3,0.3726,0.3661,0.3790,0.3753
RCI,NDMI,4,0.3545,0.3545,0.3545,0.3447
RCI,NDMI,5,0.3716,0.3653,0.3778,0.3758
RCI,NDMI,6,0.3683,0.3572,0.3795,0.3937
RCI,NDMI,7,0.3666,0.3566,0.3766,0.4012
RCI,NDMI,8,0.3771,0.3771,0.3771,0.4067
RCI,NDMI,9,0.3621,0.3522,0.3720,0.3979
RCI,NDMI,10,0.3761,0.3684,0.3837,0.3960
RCI,NDMI,11,0.3692,0.3635,0.3749,0.3870
RCI,NDMI,12,0.3680,0.3578,0.3782,0.4101
RCI,NDMI,13,0.3651,0.3651,0.3651,0.4397
RCI,NDMI,14,0.4251,0.3987,0.4516,0.4403
RCI,NDMI,15,0.4706,0.4706,0.4706,0.4615
RCI,NDMI,16,0.4000,0.4000,0.4000,0.4027
RCI,NDMI,17,0.4374,0.4186,0.4561,0.4813
RCI,NDMI,18,0.4887,0.4887,0.4887,0.4983
RCI,NDMI,19,0.5059,0.5059,0.5059,0.4888
RCI,NDMI,20,0.5057,0.5027,0.5086,
