predio,band,month,historical_median,historical_p25,historical_p75,value_2026
RCI,NDVI,1,0.8084,0.7978,0.8272,0.7959
RCI,NDVI,2,0.8138,0.8088,0.8160,0.8377
RCI,NDVI,3,0.8270,0.7897,0.8372,0.8442
RCI,NDVI,4,0.8767,0.8571,0.8780,0.8708
RCI,NDVI,5,0.8812,0.8558,0.9130,0.8838
RCI,NDVI,6,0.8735,0.8502,0.8977,
RCI,NDVI,7,0.8793,0.8757,0.8914,
RCI,NDVI,8,0.8825,0.8785,0.8890,
RCI,NDVI,9,0.8592,0.8437,0.8761,
RCI,NDVI,10,0.8516,0.8223,0.8557,
RCI,NDVI,11,0.7941,0.7793,0.8073,
RCI,NDVI,12,0.7940,0.7864,0.8039,
RCI,NDMI,1,0.3768,0.3632,0.3830,0.3666
RCI,NDMI,2,0.3681,0.3464,0.3831,0.4019
RCI,NDMI,3,0.3651,0.3592,0.3845,0.4045
RCI,NDMI,4,0.4353,0.3999,0.4738,0.4617
RCI,NDMI,5,0.5088,0.5013,0.5422,0.4888
RCI,NDMI,6,0.5686,0.5504,0.5852,
RCI,NDMI,7,0.5325,0.5234,0.5359,
RCI,NDMI,8,0.4990,0.4866,0.5104,
RCI,NDMI,9,0.4637,0.4365,0.4714,
RCI,NDMI,10,0.4004,0.3785,0.4224,
RCI,NDMI,11,0.3587,0.3534,0.3639,
RCI,NDMI,12,0.3669,0.3574,0.3772,
RCI,NDWI,1,-0.7349,-0.7509,-0.7179,-0.7239
RCI,NDWI,2,-0.7480,-0.7530,-0.7397,-0.7657
RCI,NDWI,3,-0.7693,-0.7762,-0.7205,-0.7817
RCI,NDWI,4,-0.8091,-0.8106,-0.8017,-0.7992
RCI,NDWI,5,-0.8197,-0.8494,-0.7887,-0.8166
RCI,NDWI,6,-0.7996,-0.8289,-0.7650,
RCI,NDWI,7,-0.8146,-0.8251,-0.8132,
RCI,NDWI,8,-0.8117,-0.8190,-0.8051,
RCI,NDWI,9,-0.7778,-0.7919,-0.7625,
RCI,NDWI,10,-0.7335,-0.7481,-0.7248,
RCI,NDWI,11,-0.7020,-0.7156,-0.6953,
RCI,NDWI,12,-0.7086,-0.7197,-0.7023,
RCI,MNDWI,1,-0.5017,-0.5199,-0.4750,-0.4932
RCI,MNDWI,2,-0.5204,-0.5336,-0.5140,-0.5275
RCI,MNDWI,3,-0.5417,-0.5839,-0.4714,-0.5444
RCI,MNDWI,4,-0.5649,-0.6031,-0.5476,-0.5335
RCI,MNDWI,5,-0.5417,-0.5586,-0.4745,-0.5457
RCI,MNDWI,6,-0.4338,-0.4756,-0.3734,
RCI,MNDWI,7,-0.5055,-0.5141,-0.4927,
RCI,MNDWI,8,-0.5273,-0.5422,-0.5137,
RCI,MNDWI,9,-0.5034,-0.5147,-0.4689,
RCI,MNDWI,10,-0.4779,-0.4791,-0.4700,
RCI,MNDWI,11,-0.4700,-0.4778,-0.4514,
RCI,MNDWI,12,-0.4641,-0.4737,-0.4558,
RCI,GNDVI,1,0.7349,0.7179,0.7509,0.7239
RCI,GNDVI,2,0.7480,0.7397,0.7530,0.7657
RCI,GNDVI,3,0.7693,0.7205,0.7762,0.7817
RCI,GNDVI,4,0.8091,0.8017,0.8106,0.7992
RCI,GNDVI,5,0.8197,0.7887,0.8494,0.8166
RCI,GNDVI,6,0.7996,0.7650,0.8289,
RCI,GNDVI,7,0.8146,0.8132,0.8251,
RCI,GNDVI,8,0.8117,0.8051,0.8190,
RCI,GNDVI,9,0.7778,0.7625,0.7919,
RCI,GNDVI,10,0.7335,0.7248,0.7481,
RCI,GNDVI,11,0.7020,0.6953,0.7156,
RCI,GNDVI,12,0.7086,0.7023,0.7197,
RCI,EVI,1,0.5191,0.5050,0.5299,0.5134
RCI,EVI,2,0.4759,0.4602,0.4982,0.5088
RCI,EVI,3,0.4306,0.4209,0.4788,0.4839
RCI,EVI,4,0.4618,0.4111,0.5176,0.4962
RCI,EVI,5,0.4775,0.4678,0.5030,0.4504
RCI,EVI,6,0.5081,0.5019,0.5142,
RCI,EVI,7,0.4774,0.4716,0.5121,
RCI,EVI,8,0.5180,0.4876,0.5438,
RCI,EVI,9,0.5308,0.4936,0.5499,
RCI,EVI,10,0.5453,0.5300,0.5690,
RCI,EVI,11,0.5447,0.5290,0.5516,
RCI,EVI,12,0.5446,0.5338,0.5533,
RCI,SAVI,1,0.4957,0.4766,0.5012,0.4830
RCI,SAVI,2,0.4632,0.4398,0.4755,0.4963
RCI,SAVI,3,0.4268,0.4155,0.4428,0.4748
RCI,SAVI,4,0.4586,0.4160,0.5037,0.4896
RCI,SAVI,5,0.4658,0.4577,0.4818,0.4564
RCI,SAVI,6,0.4807,0.4780,0.4877,
RCI,SAVI,7,0.4708,0.4676,0.5074,
RCI,SAVI,8,0.5055,0.4820,0.5276,
RCI,SAVI,9,0.5029,0.4748,0.5239,
RCI,SAVI,10,0.5163,0.5049,0.5301,
RCI,SAVI,11,0.5055,0.4967,0.5109,
RCI,SAVI,12,0.5058,0.4981,0.5123,
RCI,MSAVI,1,0.4975,0.4716,0.5048,0.4799
RCI,MSAVI,2,0.4530,0.4222,0.4701,0.4976
RCI,MSAVI,3,0.4044,0.3898,0.4273,0.4678
RCI,MSAVI,4,0.4463,0.3896,0.5082,0.4885
RCI,MSAVI,5,0.4551,0.4439,0.4774,0.4418
RCI,MSAVI,6,0.4751,0.4710,0.4850,
RCI,MSAVI,7,0.4623,0.4571,0.5130,
RCI,MSAVI,8,0.5098,0.4769,0.5416,
RCI,MSAVI,9,0.5058,0.4672,0.5361,
RCI,MSAVI,10,0.5246,0.5092,0.5441,
RCI,MSAVI,11,0.5099,0.4978,0.5175,
RCI,MSAVI,12,0.5114,0.5001,0.5189,
RCI,ARI,1,9.8382,8.2718,10.5757,9.4636
RCI,ARI,2,11.9820,10.5187,12.7661,12.6371
RCI,ARI,3,13.3638,9.1950,16.0272,14.6988
RCI,ARI,4,18.7691,17.0716,20.2228,16.5887
RCI,ARI,5,19.5225,14.8921,27.3118,21.3069
RCI,ARI,6,17.1639,12.5271,21.0146,
RCI,ARI,7,21.3800,19.7116,21.4538,
RCI,ARI,8,18.7055,17.9363,19.5254,
RCI,ARI,9,13.6556,12.3137,14.0698,
RCI,ARI,10,9.3103,9.0207,10.5552,
RCI,ARI,11,8.0130,7.1608,9.1885,
RCI,ARI,12,8.0326,7.8529,8.2783,
RCI,MARI,1,2.8426,2.5451,3.1215,2.8234
RCI,MARI,2,3.0704,2.8279,3.3566,3.5415
RCI,MARI,3,3.4461,2.2180,3.5971,3.9214
RCI,MARI,4,4.4639,4.1386,4.7012,4.3893
RCI,MARI,5,4.7886,3.6435,6.4969,4.9594
RCI,MARI,6,4.4472,3.2830,5.3175,
RCI,MARI,7,5.1349,4.9096,5.3590,
RCI,MARI,8,4.7413,4.6668,5.0420,
RCI,MARI,9,3.6564,3.3518,4.0250,
RCI,MARI,10,2.8972,2.8618,3.0531,
RCI,MARI,11,2.5290,2.2878,2.8994,
RCI,MARI,12,2.5831,2.5244,2.6436,
RCI,ARVI,1,0.8146,0.8055,0.8325,0.8036
RCI,ARVI,2,0.8203,0.8159,0.8223,0.8415
RCI,ARVI,3,0.8355,0.7994,0.8424,0.8502
RCI,ARVI,4,0.8794,0.8613,0.8808,0.8729
RCI,ARVI,5,0.8829,0.8582,0.9113,0.8865
RCI,ARVI,6,0.8750,0.8529,0.8981,
RCI,ARVI,7,0.8779,0.8761,0.8896,
RCI,ARVI,8,0.8817,0.8780,0.8881,
RCI,ARVI,9,0.8597,0.8425,0.8764,
RCI,ARVI,10,0.8522,0.8236,0.8563,
RCI,ARVI,11,0.7980,0.7842,0.8113,
RCI,ARVI,12,0.8002,0.7927,0.8104,
RCI,CHL_REDEDGE,1,2.6446,2.5714,2.7905,2.4784
RCI,CHL_REDEDGE,2,2.7621,2.6674,2.8062,2.8578
RCI,CHL_REDEDGE,3,3.0221,2.8309,3.2363,3.2034
RCI,CHL_REDEDGE,4,3.5776,3.5403,3.7797,3.0329
RCI,CHL_REDEDGE,5,3.6116,3.2796,3.8903,3.6490
RCI,CHL_REDEDGE,6,3.4314,3.0593,3.7179,
RCI,CHL_REDEDGE,7,3.3146,3.0360,3.4531,
RCI,CHL_REDEDGE,8,3.0495,2.9649,3.1908,
RCI,CHL_REDEDGE,9,2.7650,2.6111,2.9882,
RCI,CHL_REDEDGE,10,2.3647,2.1309,2.5610,
RCI,CHL_REDEDGE,11,2.1418,1.9831,2.2374,
RCI,CHL_REDEDGE,12,2.2701,2.2105,2.3517,
RCI,EVI2,1,0.4978,0.4751,0.5034,0.4837
RCI,EVI2,2,0.4573,0.4301,0.4743,0.4947
RCI,EVI2,3,0.4115,0.3985,0.4383,0.4671
RCI,EVI2,4,0.4451,0.3974,0.4982,0.4822
RCI,EVI2,5,0.4598,0.4454,0.4720,0.4410
RCI,EVI2,6,0.4718,0.4668,0.4813,
RCI,EVI2,7,0.4594,0.4554,0.5009,
RCI,EVI2,8,0.5001,0.4719,0.5264,
RCI,EVI2,9,0.4999,0.4674,0.5237,
RCI,EVI2,10,0.5193,0.5047,0.5342,
RCI,EVI2,11,0.5133,0.5058,0.5179,
RCI,EVI2,12,0.5131,0.5052,0.5213,
RCI,KNDVI,1,0.5732,0.5621,0.5930,0.5602
RCI,KNDVI,2,0.5790,0.5739,0.5814,0.6045
RCI,KNDVI,3,0.5933,0.5530,0.6037,0.6110
RCI,KNDVI,4,0.6445,0.6241,0.6459,0.6383
RCI,KNDVI,5,0.6495,0.6238,0.6811,0.6519
