predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
RIV,NDVI,1,0.5038,0.5038,0.5038,
RIV,NDVI,2,0.5022,0.5022,0.5022,0.5486
RIV,NDVI,3,0.5179,0.5060,0.5298,0.5479
RIV,NDVI,4,,,,0.5339
RIV,NDVI,5,0.5375,0.5290,0.5461,0.5602
RIV,NDVI,6,0.5346,0.5196,0.5495,0.5723
RIV,NDVI,7,0.5419,0.5278,0.5561,0.5784
RIV,NDVI,8,0.5626,0.5626,0.5626,0.5752
RIV,NDVI,9,0.5317,0.5288,0.5345,0.5739
RIV,NDVI,10,0.5423,0.5412,0.5435,0.5250
RIV,NDVI,11,0.5365,0.5365,0.5365,0.5522
RIV,NDVI,12,0.5373,0.5333,0.5413,0.5660
RIV,NDVI,13,0.4832,0.4832,0.4832,0.5924
RIV,NDVI,14,0.5699,0.5503,0.5894,0.5910
RIV,NDVI,15,0.6141,0.6141,0.6141,0.5993
RIV,NDVI,16,0.5652,0.5513,0.5792,0.3588
RIV,NDVI,17,0.5452,0.5375,0.5529,0.6057
RIV,NDVI,18,0.6193,0.6193,0.6193,0.6109
RIV,NDVI,19,0.5820,0.5820,0.5820,0.5999
RIV,NDVI,20,0.5809,0.5809,0.5809,
RIV,NDVI,21,,,,
RIV,NDVI,22,0.6812,0.6662,0.6962,
RIV,NDVI,23,,,,
RIV,NDVI,24,,,,
RIV,NDVI,25,0.7339,0.7339,0.7339,
RIV,NDVI,26,0.6820,0.6800,0.6841,
RIV,NDVI,27,0.6676,0.6604,0.6748,
RIV,NDVI,28,0.6445,0.6366,0.6525,
RIV,NDVI,29,0.6601,0.6553,0.6650,
RIV,NDVI,30,0.5103,0.5103,0.5103,
RIV,NDVI,31,0.6366,0.6366,0.6366,
RIV,NDVI,32,0.6630,0.6563,0.6698,
RIV,NDVI,33,,,,
RIV,NDVI,34,0.6341,0.6341,0.6341,
RIV,NDVI,35,0.6425,0.6425,0.6425,
RIV,NDVI,36,0.6002,0.5980,0.6023,
RIV,NDVI,37,0.5367,0.5287,0.5447,
RIV,NDVI,38,0.5148,0.5148,0.5148,
RIV,NDVI,39,0.5119,0.5040,0.5197,
RIV,NDVI,40,0.4726,0.4726,0.4726,
RIV,NDVI,41,0.5454,0.5454,0.5454,
RIV,NDVI,42,,,,
RIV,NDVI,43,0.5229,0.5208,0.5250,
RIV,NDVI,44,0.5180,0.5105,0.5255,
