predio,band,month,historical_median,historical_p25,historical_p75,value_2026
RIV,NDVI,1,0.5038,0.5022,0.5418,0.5482
RIV,NDVI,2,0.5317,0.5187,0.5631,0.5756
RIV,NDVI,3,0.5382,0.5310,0.5435,0.5604
RIV,NDVI,4,0.5605,0.5341,0.6010,0.6009
RIV,NDVI,5,0.6193,0.5820,0.6511,0.5999
RIV,NDVI,6,0.6861,0.6820,0.7100,
RIV,NDVI,7,0.6518,0.6346,0.6628,
RIV,NDVI,8,0.6460,0.6404,0.6563,
RIV,NDVI,9,0.5276,0.5177,0.5743,
RIV,NDVI,10,0.5229,0.5070,0.5315,
RIV,NDVI,11,0.5067,0.4957,0.5099,
RIV,NDVI,12,0.5082,0.4958,0.5132,
RIV,NDMI,1,0.1365,0.0957,0.1614,0.1361
RIV,NDMI,2,0.1290,0.1092,0.1740,0.1642
RIV,NDMI,3,0.1375,0.1203,0.1482,0.1638
RIV,NDMI,4,0.1627,0.1231,0.1797,0.1783
RIV,NDMI,5,0.2095,0.1849,0.2385,0.2259
RIV,NDMI,6,0.2882,0.2691,0.3035,
RIV,NDMI,7,0.2186,0.2038,0.2254,
RIV,NDMI,8,0.2192,0.2070,0.2231,
RIV,NDMI,9,0.1142,0.1014,0.1507,
RIV,NDMI,10,0.0769,0.0751,0.0808,
RIV,NDMI,11,0.0884,0.0870,0.0936,
RIV,NDMI,12,0.1133,0.1088,0.1194,
RIV,NDWI,1,-0.5294,-0.5693,-0.5240,-0.5557
RIV,NDWI,2,-0.5628,-0.5826,-0.5507,-0.5962
RIV,NDWI,3,-0.5729,-0.5799,-0.5626,-0.5864
RIV,NDWI,4,-0.5865,-0.6210,-0.5769,-0.6215
RIV,NDWI,5,-0.6337,-0.6352,-0.6081,-0.6108
RIV,NDWI,6,-0.6433,-0.6703,-0.6429,
RIV,NDWI,7,-0.6319,-0.6379,-0.6199,
RIV,NDWI,8,-0.6224,-0.6310,-0.6184,
RIV,NDWI,9,-0.5681,-0.5774,-0.5531,
RIV,NDWI,10,-0.5364,-0.5402,-0.5245,
RIV,NDWI,11,-0.5151,-0.5230,-0.5094,
RIV,NDWI,12,-0.5261,-0.5322,-0.5212,
RIV,MNDWI,1,-0.4483,-0.4546,-0.4459,-0.4615
RIV,MNDWI,2,-0.4670,-0.4720,-0.4570,-0.4883
RIV,MNDWI,3,-0.4847,-0.4870,-0.4814,-0.4752
RIV,MNDWI,4,-0.4958,-0.5025,-0.4953,-0.5115
RIV,MNDWI,5,-0.4769,-0.5086,-0.4752,-0.4614
RIV,MNDWI,6,-0.4757,-0.4869,-0.4620,
RIV,MNDWI,7,-0.4780,-0.5202,-0.4576,
RIV,MNDWI,8,-0.4893,-0.4999,-0.4794,
RIV,MNDWI,9,-0.4963,-0.5007,-0.4730,
RIV,MNDWI,10,-0.4776,-0.4875,-0.4687,
RIV,MNDWI,11,-0.4488,-0.4502,-0.4456,
RIV,MNDWI,12,-0.4435,-0.4519,-0.4379,
RIV,GNDVI,1,0.5294,0.5240,0.5693,0.5557
RIV,GNDVI,2,0.5628,0.5507,0.5826,0.5962
RIV,GNDVI,3,0.5730,0.5626,0.5799,0.5864
RIV,GNDVI,4,0.5865,0.5769,0.6210,0.6215
RIV,GNDVI,5,0.6337,0.6081,0.6352,0.6108
RIV,GNDVI,6,0.6433,0.6429,0.6703,
RIV,GNDVI,7,0.6319,0.6199,0.6379,
RIV,GNDVI,8,0.6224,0.6184,0.6310,
RIV,GNDVI,9,0.5681,0.5531,0.5774,
RIV,GNDVI,10,0.5364,0.5245,0.5402,
RIV,GNDVI,11,0.5151,0.5094,0.5230,
RIV,GNDVI,12,0.5261,0.5212,0.5322,
RIV,EVI,1,0.3987,0.3771,0.4056,0.4073
RIV,EVI,2,0.3731,0.3696,0.3973,0.4037
RIV,EVI,3,0.3689,0.3596,0.3717,0.3843
RIV,EVI,4,0.3803,0.3550,0.3915,0.3908
RIV,EVI,5,0.3900,0.3825,0.3914,0.3916
RIV,EVI,6,0.3861,0.3851,0.3907,
RIV,EVI,7,0.3821,0.3723,0.3884,
RIV,EVI,8,0.3893,0.3856,0.3905,
RIV,EVI,9,0.3734,0.3553,0.3892,
RIV,EVI,10,0.3603,0.3523,0.3629,
RIV,EVI,11,0.3798,0.3768,0.3842,
RIV,EVI,12,0.3873,0.3806,0.3984,
RIV,SAVI,1,0.3734,0.3579,0.3986,0.3879
RIV,SAVI,2,0.3664,0.3564,0.3872,0.3971
RIV,SAVI,3,0.3608,0.3529,0.3643,0.3769
RIV,SAVI,4,0.3618,0.3547,0.3899,0.3910
RIV,SAVI,5,0.3820,0.3816,0.3856,0.3809
RIV,SAVI,6,0.3914,0.3895,0.3951,
RIV,SAVI,7,0.3819,0.3730,0.3872,
RIV,SAVI,8,0.3869,0.3828,0.3912,
RIV,SAVI,9,0.3538,0.3494,0.3770,
RIV,SAVI,10,0.3508,0.3451,0.3564,
RIV,SAVI,11,0.3610,0.3535,0.3642,
RIV,SAVI,12,0.3687,0.3654,0.3726,
RIV,MSAVI,1,0.3605,0.3423,0.3885,0.3762
RIV,MSAVI,2,0.3502,0.3391,0.3732,0.3864
RIV,MSAVI,3,0.3428,0.3343,0.3470,0.3625
RIV,MSAVI,4,0.3430,0.3363,0.3744,0.3783
RIV,MSAVI,5,0.3656,0.3640,0.3681,0.3664
RIV,MSAVI,6,0.3736,0.3703,0.3769,
RIV,MSAVI,7,0.3615,0.3521,0.3680,
RIV,MSAVI,8,0.3686,0.3644,0.3739,
RIV,MSAVI,9,0.3362,0.3318,0.3612,
RIV,MSAVI,10,0.3317,0.3274,0.3392,
RIV,MSAVI,11,0.3458,0.3385,0.3494,
RIV,MSAVI,12,0.3551,0.3520,0.3597,
RIV,ARI,1,3.9270,3.8196,4.4834,4.5653
RIV,ARI,2,4.9721,4.5951,5.1953,5.7503
RIV,ARI,3,5.4714,5.2770,5.7531,5.8391
RIV,ARI,4,6.1350,5.9178,6.6798,7.4539
RIV,ARI,5,7.6096,6.7141,8.9733,7.3431
RIV,ARI,6,10.0724,9.6444,11.9177,
RIV,ARI,7,8.4691,8.1685,9.9559,
RIV,ARI,8,8.7569,8.3916,9.0807,
RIV,ARI,9,5.7763,5.0948,6.1954,
RIV,ARI,10,4.5032,4.3140,4.8254,
RIV,ARI,11,3.8078,3.7215,3.8650,
RIV,ARI,12,3.8930,3.7295,4.0906,
RIV,MARI,1,1.2963,1.2948,1.5945,1.5446
RIV,MARI,2,1.6019,1.4713,1.6959,1.8613
RIV,MARI,3,1.6280,1.5670,1.7035,1.8183
RIV,MARI,4,1.7352,1.6472,1.9809,2.1916
RIV,MARI,5,2.0405,1.9259,2.2413,2.0423
RIV,MARI,6,2.4270,2.3648,2.7901,
RIV,MARI,7,2.1247,1.9619,2.4168,
RIV,MARI,8,2.2540,2.1853,2.2835,
RIV,MARI,9,1.7178,1.5203,1.7611,
RIV,MARI,10,1.3773,1.3328,1.4543,
RIV,MARI,11,1.2617,1.2217,1.3194,
RIV,MARI,12,1.3521,1.3081,1.4161,
RIV,ARVI,1,0.5125,0.5071,0.5445,0.5570
RIV,ARVI,2,0.5398,0.5240,0.5663,0.5778
RIV,ARVI,3,0.5419,0.5399,0.5482,0.5693
RIV,ARVI,4,0.5631,0.5339,0.5997,0.6023
RIV,ARVI,5,0.6153,0.5840,0.6510,0.6025
RIV,ARVI,6,0.6905,0.6837,0.7122,
RIV,ARVI,7,0.6494,0.6405,0.6563,
RIV,ARVI,8,0.6446,0.6359,0.6577,
RIV,ARVI,9,0.5262,0.5171,0.5733,
RIV,ARVI,10,0.5221,0.5141,0.5302,
RIV,ARVI,11,0.5109,0.4993,0.5117,
RIV,ARVI,12,0.5149,0.5059,0.5204,
RIV,CHL_REDEDGE,1,0.9417,0.9377,1.0350,1.0700
RIV,CHL_REDEDGE,2,1.0291,0.9839,1.0863,1.2355
RIV,CHL_REDEDGE,3,1.0530,1.0383,1.0837,1.1947
RIV,CHL_REDEDGE,4,1.1684,1.0668,1.3406,1.3319
RIV,CHL_REDEDGE,5,1.3368,1.2112,1.4346,1.4246
RIV,CHL_REDEDGE,6,1.5779,1.4140,1.6517,
RIV,CHL_REDEDGE,7,1.2801,1.2080,1.3538,
RIV,CHL_REDEDGE,8,1.2780,1.2299,1.3198,
RIV,CHL_REDEDGE,9,0.9067,0.8704,0.9638,
RIV,CHL_REDEDGE,10,0.8548,0.8476,0.8890,
RIV,CHL_REDEDGE,11,0.8358,0.8336,0.8451,
RIV,CHL_REDEDGE,12,0.8737,0.8320,0.9354,
RIV,EVI2,1,0.3972,0.3758,0.4229,0.4051
RIV,EVI2,2,0.3815,0.3704,0.4020,0.4129
RIV,EVI2,3,0.3714,0.3630,0.3761,0.3892
RIV,EVI2,4,0.3689,0.3652,0.3978,0.3997
