predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
RPA,NDVI,1,0.5010,0.5010,0.5010,
RPA,NDVI,2,0.4795,0.4795,0.4795,0.5813
RPA,NDVI,3,0.4930,0.4778,0.5083,0.5771
RPA,NDVI,4,0.4359,0.4359,0.4359,0.5750
RPA,NDVI,5,0.4866,0.4725,0.5006,0.5880
RPA,NDVI,6,0.4867,0.4676,0.5057,0.6026
RPA,NDVI,7,0.4916,0.4735,0.5096,0.5990
RPA,NDVI,8,0.5305,0.5305,0.5305,0.5976
RPA,NDVI,9,0.4989,0.4847,0.5132,0.5912
RPA,NDVI,10,0.5172,0.5050,0.5295,0.5892
RPA,NDVI,11,0.4474,0.4223,0.4725,0.5962
RPA,NDVI,12,0.5147,0.5039,0.5255,0.6096
RPA,NDVI,13,0.4659,0.4659,0.4659,0.6287
RPA,NDVI,14,0.5526,0.5345,0.5708,0.6338
RPA,NDVI,15,0.5822,0.5822,0.5822,0.6469
RPA,NDVI,16,0.5326,0.5326,0.5326,0.5298
RPA,NDVI,17,0.5631,0.5475,0.5787,0.6532
RPA,NDVI,18,0.6023,0.6023,0.6023,0.6669
RPA,NDVI,19,0.5605,0.5605,0.5605,0.6522
RPA,NDVI,20,0.5988,0.5790,0.6186,
RPA,NDVI,21,,,,
RPA,NDVI,22,0.6297,0.6112,0.6482,
RPA,NDVI,23,,,,
RPA,NDVI,24,0.5863,0.5863,0.5863,
RPA,NDVI,25,0.6940,0.6940,0.6940,
RPA,NDVI,26,0.6299,0.6205,0.6393,
RPA,NDVI,27,0.6225,0.6061,0.6388,
RPA,NDVI,28,0.6114,0.5925,0.6303,
RPA,NDVI,29,0.6100,0.5924,0.6276,
RPA,NDVI,30,0.5194,0.5194,0.5194,
RPA,NDVI,31,,,,
RPA,NDVI,32,0.6115,0.5897,0.6332,
RPA,NDVI,33,,,,
RPA,NDVI,34,0.5679,0.5679,0.5679,
RPA,NDVI,35,0.6390,0.6390,0.6390,
RPA,NDVI,36,0.5824,0.5708,0.5940,
RPA,NDVI,37,0.5712,0.5535,0.5888,
RPA,NDVI,38,0.5947,0.5947,0.5947,
RPA,NDVI,39,0.5603,0.5490,0.5716,
RPA,NDVI,40,0.5252,0.5252,0.5252,
RPA,NDVI,41,0.5611,0.5611,0.5611,
RPA,NDVI,42,,,,
RPA,NDVI,43,0.5201,0.5070,0.5333,
RPA,NDVI,44,0.5149,0.5029,0.5269,
RPA,NDVI,45,0.5166,0.5166,0.5166,
RPA,NDVI,46,0.5128,0.4897,0.5359,
RPA,NDVI,47,0.5216,0.5042,0.5390,
RPA,NDVI,48,0.5011,0.5011,0.5011,
RPA,NDVI,49,0.5305,0.5148,0.5462,
RPA,NDVI,50,0.5377,0.5211,0.5544,
RPA,NDVI,51,0.5325,0.5167,0.5483,
RPA,NDVI,52,0.5334,0.5159,0.5509,
RPA,NDMI,1,0.1112,0.1112,0.1112,
RPA,NDMI,2,0.0881,0.0881,0.0881,0.1548
RPA,NDMI,3,0.0965,0.0850,0.1080,0.1670
RPA,NDMI,4,0.0777,0.0777,0.0777,0.1471
RPA,NDMI,5,0.0971,0.0877,0.1066,0.1548
RPA,NDMI,6,0.0997,0.0846,0.1148,0.1681
RPA,NDMI,7,0.1029,0.0887,0.1172,0.1771
RPA,NDMI,8,0.1335,0.1335,0.1335,0.1742
RPA,NDMI,9,0.1071,0.0947,0.1196,0.1606
RPA,NDMI,10,0.1249,0.1157,0.1341,0.1520
RPA,NDMI,11,0.1064,0.1058,0.1071,0.1665
