predio,band,month,historical_median,historical_p25,historical_p75,value_2026
RPA,NDVI,1,0.4903,0.4668,0.5113,0.5805
RPA,NDVI,2,0.4976,0.4577,0.5275,0.5989
RPA,NDVI,3,0.4932,0.4793,0.5169,0.6076
RPA,NDVI,4,0.5574,0.5321,0.5872,0.6415
RPA,NDVI,5,0.5975,0.5686,0.6293,0.6522
RPA,NDVI,6,0.6299,0.6049,0.6600,
RPA,NDVI,7,0.5897,0.5742,0.6472,
RPA,NDVI,8,0.6035,0.5680,0.6430,
RPA,NDVI,9,0.5829,0.5485,0.6002,
RPA,NDVI,10,0.5320,0.5017,0.5445,
RPA,NDVI,11,0.5089,0.4904,0.5465,
RPA,NDVI,12,0.5331,0.5004,0.5653,
RPA,NDMI,1,0.0996,0.0803,0.1149,0.1571
RPA,NDMI,2,0.1060,0.0773,0.1316,0.1725
RPA,NDMI,3,0.1065,0.1024,0.1255,0.1721
RPA,NDMI,4,0.1599,0.1401,0.1866,0.2236
RPA,NDMI,5,0.2225,0.1914,0.2549,0.2599
RPA,NDMI,6,0.2353,0.2220,0.2586,
RPA,NDMI,7,0.2287,0.1855,0.2358,
RPA,NDMI,8,0.2059,0.1785,0.2356,
RPA,NDMI,9,0.1943,0.1722,0.2059,
RPA,NDMI,10,0.1471,0.1046,0.1535,
RPA,NDMI,11,0.1321,0.0960,0.1586,
RPA,NDMI,12,0.1334,0.1091,0.1551,
RPA,NDWI,1,-0.5827,-0.6059,-0.5660,-0.6470
RPA,NDWI,2,-0.6001,-0.6240,-0.5689,-0.6746
RPA,NDWI,3,-0.5995,-0.6162,-0.5781,-0.6822
RPA,NDWI,4,-0.6516,-0.6720,-0.6321,-0.7044
RPA,NDWI,5,-0.6641,-0.6837,-0.6502,-0.6947
RPA,NDWI,6,-0.6728,-0.6873,-0.6606,
RPA,NDWI,7,-0.6521,-0.6872,-0.6388,
RPA,NDWI,8,-0.6509,-0.6786,-0.6264,
RPA,NDWI,9,-0.6277,-0.6356,-0.6042,
RPA,NDWI,10,-0.5913,-0.6068,-0.5809,
RPA,NDWI,11,-0.5837,-0.6140,-0.5682,
RPA,NDWI,12,-0.6097,-0.6287,-0.5898,
RPA,MNDWI,1,-0.5352,-0.5478,-0.5265,-0.5634
RPA,MNDWI,2,-0.5493,-0.5550,-0.5378,-0.5879
RPA,MNDWI,3,-0.5539,-0.5573,-0.5266,-0.5950
RPA,MNDWI,4,-0.5746,-0.5781,-0.5693,-0.5941
RPA,MNDWI,5,-0.5592,-0.5718,-0.5425,-0.5447
RPA,MNDWI,6,-0.5435,-0.5638,-0.5129,
RPA,MNDWI,7,-0.5440,-0.5500,-0.5412,
RPA,MNDWI,8,-0.5369,-0.5459,-0.5297,
RPA,MNDWI,9,-0.5083,-0.5093,-0.5043,
RPA,MNDWI,10,-0.5108,-0.5208,-0.5011,
RPA,MNDWI,11,-0.5248,-0.5273,-0.5080,
RPA,MNDWI,12,-0.5328,-0.5417,-0.5283,
RPA,GNDVI,1,0.5827,0.5660,0.6059,0.6470
RPA,GNDVI,2,0.6001,0.5689,0.6240,0.6746
RPA,GNDVI,3,0.5995,0.5781,0.6162,0.6822
RPA,GNDVI,4,0.6516,0.6321,0.6720,0.7045
RPA,GNDVI,5,0.6642,0.6502,0.6837,0.6947
RPA,GNDVI,6,0.6728,0.6606,0.6873,
RPA,GNDVI,7,0.6521,0.6388,0.6872,
RPA,GNDVI,8,0.6509,0.6264,0.6786,
RPA,GNDVI,9,0.6277,0.6042,0.6356,
RPA,GNDVI,10,0.5913,0.5809,0.6068,
RPA,GNDVI,11,0.5837,0.5682,0.6140,
RPA,GNDVI,12,0.6097,0.5898,0.6287,
RPA,EVI,1,0.3512,0.3358,0.3630,0.4157
RPA,EVI,2,0.3300,0.3075,0.3585,0.4076
RPA,EVI,3,0.3209,0.3159,0.3352,0.3897
RPA,EVI,4,0.3480,0.3270,0.3673,0.4089
RPA,EVI,5,0.3560,0.3415,0.3679,0.4009
RPA,EVI,6,0.3570,0.3445,0.3681,
RPA,EVI,7,0.3678,0.3392,0.3827,
RPA,EVI,8,0.3725,0.3502,0.3906,
RPA,EVI,9,0.3742,0.3620,0.3847,
RPA,EVI,10,0.3570,0.3479,0.3616,
RPA,EVI,11,0.3795,0.3518,0.4069,
RPA,EVI,12,0.3915,0.3655,0.4138,
RPA,SAVI,1,0.3489,0.3270,0.3600,0.4040
RPA,SAVI,2,0.3344,0.3077,0.3640,0.4084
RPA,SAVI,3,0.3232,0.3140,0.3365,0.3929
RPA,SAVI,4,0.3533,0.3318,0.3720,0.4056
RPA,SAVI,5,0.3572,0.3440,0.3746,0.3929
RPA,SAVI,6,0.3532,0.3393,0.3682,
RPA,SAVI,7,0.3534,0.3434,0.3799,
RPA,SAVI,8,0.3764,0.3535,0.3958,
RPA,SAVI,9,0.3784,0.3582,0.3825,
RPA,SAVI,10,0.3569,0.3459,0.3644,
RPA,SAVI,11,0.3685,0.3502,0.3926,
RPA,SAVI,12,0.3841,0.3631,0.4024,
RPA,MSAVI,1,0.3436,0.3218,0.3521,0.4003
RPA,MSAVI,2,0.3259,0.2988,0.3560,0.4063
RPA,MSAVI,3,0.3158,0.3026,0.3272,0.3847
RPA,MSAVI,4,0.3455,0.3231,0.3645,0.3989
RPA,MSAVI,5,0.3469,0.3357,0.3630,0.3798
RPA,MSAVI,6,0.3384,0.3270,0.3513,
RPA,MSAVI,7,0.3362,0.3322,0.3680,
RPA,MSAVI,8,0.3697,0.3469,0.3875,
RPA,MSAVI,9,0.3685,0.3516,0.3722,
RPA,MSAVI,10,0.3469,0.3380,0.3522,
RPA,MSAVI,11,0.3612,0.3424,0.3879,
RPA,MSAVI,12,0.3794,0.3568,0.4003,
RPA,ARI,1,6.4121,6.0457,7.2055,7.6483
RPA,ARI,2,8.0255,7.1011,8.1366,9.5204
RPA,ARI,3,9.0993,7.4361,9.4778,10.8380
RPA,ARI,4,11.2091,10.9828,11.4415,12.4418
RPA,ARI,5,11.8307,10.9069,16.5949,11.2698
RPA,ARI,6,13.1745,11.0714,15.2794,
RPA,ARI,7,12.6151,11.7446,13.3042,
RPA,ARI,8,11.0277,10.3521,11.5003,
RPA,ARI,9,7.9064,7.5826,8.2237,
RPA,ARI,10,6.7319,6.6564,7.1580,
RPA,ARI,11,6.3675,5.5024,6.7657,
RPA,ARI,12,6.3328,6.1244,7.0018,
RPA,MARI,1,2.1343,2.0459,2.3719,2.6110
RPA,MARI,2,2.4788,2.1582,2.6397,3.0859
RPA,MARI,3,2.6454,2.1849,2.7977,3.2658
RPA,MARI,4,3.2531,3.0754,3.2950,3.5968
RPA,MARI,5,3.1643,2.8899,4.0794,2.9477
RPA,MARI,6,3.1016,2.6301,3.5562,
RPA,MARI,7,3.1670,2.9269,3.2683,
RPA,MARI,8,2.9682,2.7914,3.1452,
RPA,MARI,9,2.2902,2.2307,2.3560,
RPA,MARI,10,2.0965,2.0579,2.1092,
RPA,MARI,11,2.1604,1.7848,2.3390,
RPA,MARI,12,2.2131,2.1352,2.4993,
RPA,ARVI,1,0.4939,0.4697,0.5162,0.5914
RPA,ARVI,2,0.4998,0.4573,0.5312,0.6019
RPA,ARVI,3,0.4986,0.4815,0.5212,0.6168
RPA,ARVI,4,0.5586,0.5310,0.5860,0.6468
RPA,ARVI,5,0.5969,0.5719,0.6269,0.6569
RPA,ARVI,6,0.6366,0.6103,0.6683,
RPA,ARVI,7,0.5880,0.5723,0.6421,
RPA,ARVI,8,0.6009,0.5659,0.6400,
RPA,ARVI,9,0.5786,0.5386,0.5970,
RPA,ARVI,10,0.5314,0.4962,0.5456,
RPA,ARVI,11,0.5107,0.4900,0.5491,
RPA,ARVI,12,0.5393,0.5049,0.5718,
RPA,CHL_REDEDGE,1,1.2905,1.2637,1.3626,1.7273
RPA,CHL_REDEDGE,2,1.3172,1.2996,1.3813,1.8616
RPA,CHL_REDEDGE,3,1.4337,1.2936,1.4978,1.8850
RPA,CHL_REDEDGE,4,1.7330,1.6707,1.8358,1.9861
RPA,CHL_REDEDGE,5,1.8945,1.7993,1.9979,2.0979
RPA,CHL_REDEDGE,6,1.9698,1.8564,2.1213,
RPA,CHL_REDEDGE,7,1.7071,1.6486,1.8809,
RPA,CHL_REDEDGE,8,1.6606,1.6422,1.7587,
RPA,CHL_REDEDGE,9,1.4933,1.4468,1.6013,
RPA,CHL_REDEDGE,10,1.1131,1.0481,1.2182,
RPA,CHL_REDEDGE,11,1.1039,1.0540,1.1260,
RPA,CHL_REDEDGE,12,1.2989,1.1924,1.6014,
RPA,EVI2,1,0.3649,0.3417,0.3780,0.4213
RPA,EVI2,2,0.3463,0.3159,0.3782,0.4230
RPA,EVI2,3,0.3306,0.3219,0.3445,0.4011
RPA,EVI2,4,0.3589,0.3369,0.3788,0.4123
RPA,EVI2,5,0.3611,0.3481,0.3731,0.3946
RPA,EVI2,6,0.3504,0.3372,0.3642,
RPA,EVI2,7,0.3665,0.3447,0.3797,
RPA,EVI2,8,0.3814,0.3585,0.3993,
RPA,EVI2,9,0.3863,0.3671,0.3891,
RPA,EVI2,10,0.3662,0.3603,0.3756,
RPA,EVI2,11,0.3888,0.3679,0.4135,
RPA,EVI2,12,0.4045,0.3837,0.4229,
RPA,KNDVI,1,0.2678,0.2543,0.2784,0.3430
RPA,KNDVI,2,0.2742,0.2469,0.2926,0.3611
RPA,KNDVI,3,0.2747,0.2575,0.2903,0.3689
RPA,KNDVI,4,0.3253,0.3044,0.3499,0.4028
RPA,KNDVI,5,0.3602,0.3351,0.3872,0.4120
RPA,KNDVI,6,0.3896,0.3676,0.4172,
RPA,KNDVI,7,0.3546,0.3409,0.4066,
RPA,KNDVI,8,0.3707,0.3404,0.4040,
RPA,KNDVI,9,0.3462,0.3223,0.3621,
RPA,KNDVI,10,0.3017,0.2767,0.3088,
RPA,KNDVI,11,0.2748,0.2623,0.3096,
RPA,KNDVI,12,0.2992,0.2690,0.3283,
RPA,MCARI,1,0.0543,0.0504,0.0571,0.0624
RPA,MCARI,2,0.0491,0.0444,0.0565,0.0590
RPA,MCARI,3,0.0503,0.0435,0.0531,0.0585
RPA,MCARI,4,0.0550,0.0527,0.0578,0.0590
RPA,MCARI,5,0.0507,0.0430,0.0575,0.0525
RPA,MCARI,6,0.0629,0.0578,0.0666,
RPA,MCARI,7,0.0683,0.0644,0.0746,
RPA,MCARI,8,0.0759,0.0747,0.0835,
RPA,MCARI,9,0.0704,0.0682,0.0828,
RPA,MCARI,10,0.0758,0.0694,0.0830,
RPA,MCARI,11,0.0772,0.0720,0.0803,
RPA,MCARI,12,0.0680,0.0637,0.0710,
RPA,MSI,1,0.8493,0.8153,0.8889,0.7531
RPA,MSI,2,0.8426,0.7914,0.8960,0.7302
RPA,MSI,3,0.8487,0.7981,0.8527,0.7304
RPA,MSI,4,0.7656,0.7192,0.8009,0.6599
RPA,MSI,5,0.6707,0.6311,0.7211,0.6128
RPA,MSI,6,0.6552,0.6190,0.6803,
RPA,MSI,7,0.6609,0.6385,0.7296,
RPA,MSI,8,0.6920,0.6447,0.7357,
RPA,MSI,9,0.7026,0.6859,0.7400,
RPA,MSI,10,0.7692,0.7558,0.8329,
RPA,MSI,11,0.7869,0.7474,0.8448,
RPA,MSI,12,0.7871,0.7562,0.8215,
RPA,NDMISTRESS,1,0.1155,0.0972,0.1304,0.1757
RPA,NDMISTRESS,2,0.1181,0.0888,0.1444,0.1807
RPA,NDMISTRESS,3,0.1194,0.1181,0.1424,0.1924
RPA,NDMISTRESS,4,0.1679,0.1458,0.1886,0.2358
RPA,NDMISTRESS,5,0.2278,0.2009,0.2597,0.2704
RPA,NDMISTRESS,6,0.2524,0.2381,0.2733,
RPA,NDMISTRESS,7,0.2302,0.1921,0.2388,
RPA,NDMISTRESS,8,0.2094,0.1859,0.2363,
RPA,NDMISTRESS,9,0.1973,0.1701,0.2089,
RPA,NDMISTRESS,10,0.1557,0.1085,0.1636,
RPA,NDMISTRESS,11,0.1422,0.1051,0.1676,
RPA,NDMISTRESS,12,0.1445,0.1217,0.1697,
RPA,NDII,1,0.0996,0.0803,0.1149,0.1571
RPA,NDII,2,0.1060,0.0773,0.1316,0.1725
RPA,NDII,3,0.1065,0.1024,0.1255,0.1721
RPA,NDII,4,0.1599,0.1401,0.1866,0.2236
RPA,NDII,5,0.2225,0.1914,0.2549,0.2599
RPA,NDII,6,0.2353,0.2220,0.2586,
RPA,NDII,7,0.2287,0.1855,0.2358,
RPA,NDII,8,0.2059,0.1785,0.2356,
RPA,NDII,9,0.1943,0.1722,0.2059,
RPA,NDII,10,0.1471,0.1046,0.1535,
RPA,NDII,11,0.1321,0.0960,0.1586,
RPA,NDII,12,0.1334,0.1091,0.1551,
RPA,NDCI,1,0.1946,0.1879,0.1992,0.2310
RPA,NDCI,2,0.1989,0.1795,0.2089,0.2356
RPA,NDCI,3,0.2114,0.1833,0.2155,0.2458
RPA,NDCI,4,0.2263,0.2236,0.2348,0.2646
RPA,NDCI,5,0.2454,0.2294,0.2848,0.2590
RPA,NDCI,6,0.2965,0.2760,0.3114,
RPA,NDCI,7,0.2755,0.2686,0.2995,
RPA,NDCI,8,0.2908,0.2811,0.3068,
