predio,band,month,historical_median,historical_p25,historical_p75,value_2026
V_FERNANDEZ,NDVI,1,0.0627,0.0593,0.0632,0.0768
V_FERNANDEZ,NDVI,2,0.0611,0.0558,0.0634,0.0722
V_FERNANDEZ,NDVI,3,0.0543,0.0515,0.0555,0.0650
V_FERNANDEZ,NDVI,4,0.0498,0.0462,0.0565,0.0570
V_FERNANDEZ,NDVI,5,0.0467,0.0389,0.0487,0.0392
V_FERNANDEZ,NDVI,6,0.0345,0.0342,0.0346,
V_FERNANDEZ,NDVI,7,0.0336,0.0312,0.0362,
V_FERNANDEZ,NDVI,8,0.0369,0.0368,0.0469,
V_FERNANDEZ,NDVI,9,0.0373,0.0272,0.0569,
V_FERNANDEZ,NDVI,10,0.0340,0.0280,0.0373,
V_FERNANDEZ,NDVI,11,0.0526,0.0494,0.0561,
V_FERNANDEZ,NDVI,12,0.0673,0.0615,0.0711,
V_FERNANDEZ,NDMI,1,0.0283,0.0272,0.0288,0.0360
V_FERNANDEZ,NDMI,2,0.0261,0.0208,0.0283,0.0313
V_FERNANDEZ,NDMI,3,0.0184,0.0170,0.0211,0.0253
V_FERNANDEZ,NDMI,4,0.0144,0.0132,0.0182,0.0233
V_FERNANDEZ,NDMI,5,0.0120,0.0095,0.0133,0.0088
V_FERNANDEZ,NDMI,6,-0.0054,-0.0067,-0.0054,
V_FERNANDEZ,NDMI,7,-0.0045,-0.0069,-0.0009,
V_FERNANDEZ,NDMI,8,0.0055,0.0055,0.0101,
V_FERNANDEZ,NDMI,9,0.0037,-0.0054,0.0248,
V_FERNANDEZ,NDMI,10,0.0061,0.0010,0.0087,
V_FERNANDEZ,NDMI,11,0.0217,0.0180,0.0232,
V_FERNANDEZ,NDMI,12,0.0311,0.0292,0.0331,
V_FERNANDEZ,NDWI,1,-0.0609,-0.0623,-0.0584,-0.0704
V_FERNANDEZ,NDWI,2,-0.0616,-0.0624,-0.0593,-0.0697
V_FERNANDEZ,NDWI,3,-0.0574,-0.0590,-0.0547,-0.0659
V_FERNANDEZ,NDWI,4,-0.0583,-0.0605,-0.0545,-0.0633
V_FERNANDEZ,NDWI,5,-0.0577,-0.0607,-0.0518,-0.0570
V_FERNANDEZ,NDWI,6,-0.0506,-0.0529,-0.0472,
V_FERNANDEZ,NDWI,7,-0.0449,-0.0473,-0.0440,
V_FERNANDEZ,NDWI,8,-0.0468,-0.0506,-0.0395,
V_FERNANDEZ,NDWI,9,-0.0462,-0.0581,-0.0401,
V_FERNANDEZ,NDWI,10,-0.0436,-0.0465,-0.0401,
V_FERNANDEZ,NDWI,11,-0.0545,-0.0571,-0.0524,
V_FERNANDEZ,NDWI,12,-0.0637,-0.0659,-0.0599,
V_FERNANDEZ,MNDWI,1,-0.0392,-0.0415,-0.0388,-0.0465
V_FERNANDEZ,MNDWI,2,-0.0428,-0.0438,-0.0413,-0.0495
V_FERNANDEZ,MNDWI,3,-0.0428,-0.0436,-0.0423,-0.0487
V_FERNANDEZ,MNDWI,4,-0.0457,-0.0480,-0.0447,-0.0475
V_FERNANDEZ,MNDWI,5,-0.0491,-0.0513,-0.0452,-0.0492
V_FERNANDEZ,MNDWI,6,-0.0553,-0.0564,-0.0512,
V_FERNANDEZ,MNDWI,7,-0.0494,-0.0517,-0.0456,
V_FERNANDEZ,MNDWI,8,-0.0433,-0.0444,-0.0352,
V_FERNANDEZ,MNDWI,9,-0.0446,-0.0454,-0.0423,
V_FERNANDEZ,MNDWI,10,-0.0391,-0.0399,-0.0380,
V_FERNANDEZ,MNDWI,11,-0.0384,-0.0400,-0.0371,
V_FERNANDEZ,MNDWI,12,-0.0405,-0.0433,-0.0384,
V_FERNANDEZ,GNDVI,1,0.0609,0.0584,0.0623,0.0704
V_FERNANDEZ,GNDVI,2,0.0616,0.0593,0.0624,0.0697
V_FERNANDEZ,GNDVI,3,0.0574,0.0547,0.0590,0.0659
V_FERNANDEZ,GNDVI,4,0.0583,0.0545,0.0605,0.0633
V_FERNANDEZ,GNDVI,5,0.0577,0.0518,0.0607,0.0570
V_FERNANDEZ,GNDVI,6,0.0506,0.0472,0.0529,
V_FERNANDEZ,GNDVI,7,0.0449,0.0440,0.0473,
V_FERNANDEZ,GNDVI,8,0.0468,0.0395,0.0506,
V_FERNANDEZ,GNDVI,9,0.0462,0.0401,0.0581,
V_FERNANDEZ,GNDVI,10,0.0436,0.0401,0.0465,
V_FERNANDEZ,GNDVI,11,0.0545,0.0524,0.0571,
V_FERNANDEZ,GNDVI,12,0.0637,0.0599,0.0659,
V_FERNANDEZ,EVI,1,0.0410,0.0395,0.0422,0.0552
V_FERNANDEZ,EVI,2,0.0383,0.0307,0.0419,0.0478
V_FERNANDEZ,EVI,3,0.0293,0.0285,0.0298,0.0403
V_FERNANDEZ,EVI,4,0.0239,0.0223,0.0293,0.0355
V_FERNANDEZ,EVI,5,0.0195,0.0191,0.0245,0.0219
V_FERNANDEZ,EVI,6,0.0118,0.0117,0.0124,
V_FERNANDEZ,EVI,7,0.0140,0.0134,0.0167,
V_FERNANDEZ,EVI,8,0.0235,0.0190,0.0280,
V_FERNANDEZ,EVI,9,0.0211,0.0134,0.0402,
V_FERNANDEZ,EVI,10,0.0197,0.0146,0.0204,
V_FERNANDEZ,EVI,11,0.0339,0.0296,0.0353,
V_FERNANDEZ,EVI,12,0.0454,0.0410,0.0513,
