predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
V_SIEBENTHAL,NDVI,1,0.0538,0.0525,0.0551,0.0439
V_SIEBENTHAL,NDVI,2,0.0544,0.0541,0.0546,0.0438
V_SIEBENTHAL,NDVI,3,0.0524,0.0514,0.0534,0.0425
V_SIEBENTHAL,NDVI,4,0.0507,0.0506,0.0508,0.0415
V_SIEBENTHAL,NDVI,5,0.0502,0.0493,0.0510,0.0447
V_SIEBENTHAL,NDVI,6,0.0511,0.0505,0.0516,0.0452
V_SIEBENTHAL,NDVI,7,0.0527,0.0521,0.0533,0.0440
V_SIEBENTHAL,NDVI,8,0.0514,0.0514,0.0514,0.0438
V_SIEBENTHAL,NDVI,9,0.0535,0.0514,0.0557,0.0431
V_SIEBENTHAL,NDVI,10,0.0534,0.0513,0.0555,0.0431
V_SIEBENTHAL,NDVI,11,0.0505,0.0486,0.0523,0.0430
V_SIEBENTHAL,NDVI,12,0.0476,0.0474,0.0477,0.0439
V_SIEBENTHAL,NDVI,13,0.0445,0.0443,0.0448,0.0469
V_SIEBENTHAL,NDVI,14,0.0495,0.0483,0.0507,0.0454
V_SIEBENTHAL,NDVI,15,0.0508,0.0508,0.0508,0.0456
V_SIEBENTHAL,NDVI,16,0.0507,0.0507,0.0507,0.0343
V_SIEBENTHAL,NDVI,17,0.0474,0.0474,0.0474,0.0446
V_SIEBENTHAL,NDVI,18,0.0463,0.0463,0.0463,0.0446
V_SIEBENTHAL,NDVI,19,0.0423,0.0423,0.0423,0.0456
V_SIEBENTHAL,NDVI,20,0.0437,0.0425,0.0448,0.0388
V_SIEBENTHAL,NDVI,21,,,,0.0340
V_SIEBENTHAL,NDVI,22,0.0450,0.0433,0.0467,0.0285
V_SIEBENTHAL,NDVI,23,0.0370,0.0370,0.0370,
V_SIEBENTHAL,NDVI,24,0.0435,0.0435,0.0435,0.0268
V_SIEBENTHAL,NDVI,25,0.0347,0.0347,0.0347,
V_SIEBENTHAL,NDVI,26,0.0379,0.0353,0.0404,
V_SIEBENTHAL,NDVI,27,0.0389,0.0365,0.0413,
V_SIEBENTHAL,NDVI,28,0.0386,0.0381,0.0391,
V_SIEBENTHAL,NDVI,29,0.0405,0.0392,0.0419,
V_SIEBENTHAL,NDVI,30,0.0376,0.0376,0.0376,
V_SIEBENTHAL,NDVI,31,,,,
V_SIEBENTHAL,NDVI,32,0.0497,0.0465,0.0529,
V_SIEBENTHAL,NDVI,33,,,,
V_SIEBENTHAL,NDVI,34,0.0501,0.0479,0.0522,
V_SIEBENTHAL,NDVI,35,0.0623,0.0623,0.0623,
V_SIEBENTHAL,NDVI,36,0.0446,0.0412,0.0480,
V_SIEBENTHAL,NDVI,37,0.0379,0.0359,0.0399,
V_SIEBENTHAL,NDVI,38,0.0332,0.0330,0.0333,
V_SIEBENTHAL,NDVI,39,0.0338,0.0330,0.0346,
V_SIEBENTHAL,NDVI,40,0.0395,0.0395,0.0395,
V_SIEBENTHAL,NDVI,41,0.0352,0.0352,0.0352,
V_SIEBENTHAL,NDVI,42,0.0430,0.0401,0.0460,
V_SIEBENTHAL,NDVI,43,0.0473,0.0460,0.0486,
V_SIEBENTHAL,NDVI,44,0.0500,0.0500,0.0500,
V_SIEBENTHAL,NDVI,45,0.0451,0.0451,0.0451,
V_SIEBENTHAL,NDVI,46,0.0480,0.0478,0.0482,
V_SIEBENTHAL,NDVI,47,0.0500,0.0494,0.0506,
V_SIEBENTHAL,NDVI,48,0.0511,0.0499,0.0524,
V_SIEBENTHAL,NDVI,49,0.0510,0.0486,0.0534,
V_SIEBENTHAL,NDVI,50,0.0526,0.0504,0.0548,
V_SIEBENTHAL,NDVI,51,0.0506,0.0474,0.0539,
V_SIEBENTHAL,NDVI,52,0.0474,0.0453,0.0495,
V_SIEBENTHAL,NDMI,1,0.0046,0.0026,0.0067,-0.0087
V_SIEBENTHAL,NDMI,2,0.0048,0.0045,0.0052,-0.0108
V_SIEBENTHAL,NDMI,3,0.0023,0.0016,0.0029,-0.0103
V_SIEBENTHAL,NDMI,4,0.0024,0.0021,0.0028,-0.0092
V_SIEBENTHAL,NDMI,5,0.0012,0.0004,0.0020,-0.0068
V_SIEBENTHAL,NDMI,6,0.0015,0.0009,0.0021,-0.0106
V_SIEBENTHAL,NDMI,7,0.0033,0.0025,0.0042,-0.0102
V_SIEBENTHAL,NDMI,8,0.0011,0.0011,0.0011,-0.0091
V_SIEBENTHAL,NDMI,9,0.0031,0.0003,0.0059,-0.0098
V_SIEBENTHAL,NDMI,10,0.0024,-0.0002,0.0049,-0.0096
V_SIEBENTHAL,NDMI,11,0.0005,-0.0014,0.0025,-0.0097
V_SIEBENTHAL,NDMI,12,-0.0022,-0.0025,-0.0019,-0.0092
V_SIEBENTHAL,NDMI,13,-0.0029,-0.0031,-0.0026,-0.0060
V_SIEBENTHAL,NDMI,14,-0.0014,-0.0019,-0.0010,-0.0074
