predio,band,iso_week,historical_median,historical_p25,historical_p75,value_2026
A_BRITO_RPA,NDVI,1,0.0530,0.0530,0.0530,
A_BRITO_RPA,NDVI,2,0.0508,0.0508,0.0508,0.0619
A_BRITO_RPA,NDVI,3,0.0521,0.0505,0.0538,0.0613
A_BRITO_RPA,NDVI,4,0.0457,0.0457,0.0457,0.0613
A_BRITO_RPA,NDVI,5,0.0514,0.0500,0.0529,0.0628
A_BRITO_RPA,NDVI,6,0.0515,0.0495,0.0536,0.0643
A_BRITO_RPA,NDVI,7,0.0521,0.0501,0.0540,0.0640
A_BRITO_RPA,NDVI,8,0.0563,0.0563,0.0563,0.0638
A_BRITO_RPA,NDVI,9,0.0528,0.0513,0.0544,0.0628
A_BRITO_RPA,NDVI,10,0.0547,0.0534,0.0560,0.0629
A_BRITO_RPA,NDVI,11,0.0474,0.0449,0.0500,0.0634
A_BRITO_RPA,NDVI,12,0.0546,0.0535,0.0558,0.0650
A_BRITO_RPA,NDVI,13,0.0485,0.0485,0.0485,0.0668
A_BRITO_RPA,NDVI,14,0.0586,0.0566,0.0605,0.0673
A_BRITO_RPA,NDVI,15,0.0618,0.0618,0.0618,0.0688
A_BRITO_RPA,NDVI,16,0.0563,0.0563,0.0563,0.0559
A_BRITO_RPA,NDVI,17,0.0597,0.0579,0.0614,0.0693
A_BRITO_RPA,NDVI,18,0.0637,0.0637,0.0637,0.0708
A_BRITO_RPA,NDVI,19,0.0590,0.0590,0.0590,0.0689
A_BRITO_RPA,NDVI,20,0.0622,0.0605,0.0638,0.0721
A_BRITO_RPA,NDVI,21,,,,0.0696
A_BRITO_RPA,NDVI,22,0.0661,0.0641,0.0681,
A_BRITO_RPA,NDVI,23,,,,0.0555
A_BRITO_RPA,NDVI,24,0.0611,0.0611,0.0611,0.0753
A_BRITO_RPA,NDVI,25,0.0725,0.0725,0.0725,
A_BRITO_RPA,NDVI,26,0.0655,0.0645,0.0666,
A_BRITO_RPA,NDVI,27,0.0649,0.0630,0.0667,
A_BRITO_RPA,NDVI,28,0.0636,0.0616,0.0657,
A_BRITO_RPA,NDVI,29,0.0635,0.0616,0.0654,
A_BRITO_RPA,NDVI,30,0.0538,0.0538,0.0538,
A_BRITO_RPA,NDVI,31,,,,
A_BRITO_RPA,NDVI,32,0.0632,0.0609,0.0654,
A_BRITO_RPA,NDVI,33,,,,
A_BRITO_RPA,NDVI,34,0.0586,0.0586,0.0586,
A_BRITO_RPA,NDVI,35,0.0661,0.0661,0.0661,
A_BRITO_RPA,NDVI,36,0.0600,0.0588,0.0612,
A_BRITO_RPA,NDVI,37,0.0589,0.0570,0.0608,
A_BRITO_RPA,NDVI,38,0.0614,0.0614,0.0614,
A_BRITO_RPA,NDVI,39,0.0577,0.0564,0.0589,
A_BRITO_RPA,NDVI,40,0.0545,0.0545,0.0545,
A_BRITO_RPA,NDVI,41,0.0581,0.0581,0.0581,
A_BRITO_RPA,NDVI,42,,,,
A_BRITO_RPA,NDVI,43,0.0545,0.0531,0.0559,
A_BRITO_RPA,NDVI,44,0.0541,0.0528,0.0554,
A_BRITO_RPA,NDVI,45,0.0545,0.0545,0.0545,
A_BRITO_RPA,NDVI,46,0.0542,0.0516,0.0567,
A_BRITO_RPA,NDVI,47,0.0552,0.0532,0.0571,
A_BRITO_RPA,NDVI,48,0.0528,0.0528,0.0528,
A_BRITO_RPA,NDVI,49,0.0562,0.0544,0.0580,
A_BRITO_RPA,NDVI,50,0.0570,0.0551,0.0589,
A_BRITO_RPA,NDVI,51,0.0564,0.0547,0.0582,
A_BRITO_RPA,NDVI,52,0.0566,0.0546,0.0585,
A_BRITO_RPA,NDMI,1,0.0127,0.0127,0.0127,
A_BRITO_RPA,NDMI,2,0.0104,0.0104,0.0104,0.0180
A_BRITO_RPA,NDMI,3,0.0113,0.0101,0.0125,0.0191
A_BRITO_RPA,NDMI,4,0.0090,0.0090,0.0090,0.0173
A_BRITO_RPA,NDMI,5,0.0114,0.0105,0.0124,0.0181
A_BRITO_RPA,NDMI,6,0.0118,0.0102,0.0133,0.0194
A_BRITO_RPA,NDMI,7,0.0121,0.0106,0.0136,0.0202
A_BRITO_RPA,NDMI,8,0.0153,0.0153,0.0153,0.0198
A_BRITO_RPA,NDMI,9,0.0126,0.0114,0.0139,0.0184
A_BRITO_RPA,NDMI,10,0.0145,0.0136,0.0154,0.0176
A_BRITO_RPA,NDMI,11,0.0122,0.0120,0.0125,0.0191
A_BRITO_RPA,NDMI,12,0.0143,0.0132,0.0154,0.0198
A_BRITO_RPA,NDMI,13,0.0111,0.0111,0.0111,0.0224
A_BRITO_RPA,NDMI,14,0.0179,0.0161,0.0196,0.0234
A_BRITO_RPA,NDMI,15,0.0204,0.0204,0.0204,0.0243
A_BRITO_RPA,NDMI,16,0.0163,0.0163,0.0163,0.0247
A_BRITO_RPA,NDMI,17,0.0190,0.0176,0.0204,0.0258
A_BRITO_RPA,NDMI,18,0.0226,0.0226,0.0226,0.0269
A_BRITO_RPA,NDMI,19,0.0212,0.0212,0.0212,0.0287
A_BRITO_RPA,NDMI,20,0.0237,0.0215,0.0260,0.0292
A_BRITO_RPA,NDMI,21,,,,0.0312
A_BRITO_RPA,NDMI,22,0.0279,0.0278,0.0281,
A_BRITO_RPA,NDMI,23,,,,0.0156
A_BRITO_RPA,NDMI,24,0.0249,0.0249,0.0249,0.0305
A_BRITO_RPA,NDMI,25,0.0332,0.0332,0.0332,
A_BRITO_RPA,NDMI,26,0.0252,0.0242,0.0263,
A_BRITO_RPA,NDMI,27,0.0232,0.0221,0.0243,
A_BRITO_RPA,NDMI,28,0.0237,0.0217,0.0257,
A_BRITO_RPA,NDMI,29,0.0234,0.0218,0.0250,
A_BRITO_RPA,NDMI,30,0.0243,0.0243,0.0243,
A_BRITO_RPA,NDMI,31,,,,
A_BRITO_RPA,NDMI,32,0.0227,0.0210,0.0244,
A_BRITO_RPA,NDMI,33,,,,
A_BRITO_RPA,NDMI,34,0.0193,0.0193,0.0193,
A_BRITO_RPA,NDMI,35,0.0247,0.0247,0.0247,
A_BRITO_RPA,NDMI,36,0.0206,0.0198,0.0215,
A_BRITO_RPA,NDMI,37,0.0196,0.0185,0.0207,
A_BRITO_RPA,NDMI,38,0.0216,0.0216,0.0216,
A_BRITO_RPA,NDMI,39,0.0187,0.0178,0.0196,
A_BRITO_RPA,NDMI,40,0.0157,0.0157,0.0157,
A_BRITO_RPA,NDMI,41,0.0200,0.0200,0.0200,
A_BRITO_RPA,NDMI,42,,,,
A_BRITO_RPA,NDMI,43,0.0137,0.0119,0.0154,
A_BRITO_RPA,NDMI,44,0.0134,0.0119,0.0150,
A_BRITO_RPA,NDMI,45,0.0174,0.0174,0.0174,
A_BRITO_RPA,NDMI,46,0.0142,0.0118,0.0166,
A_BRITO_RPA,NDMI,47,0.0144,0.0125,0.0163,
A_BRITO_RPA,NDMI,48,0.0123,0.0123,0.0123,
A_BRITO_RPA,NDMI,49,0.0151,0.0138,0.0165,
A_BRITO_RPA,NDMI,50,0.0156,0.0142,0.0170,
A_BRITO_RPA,NDMI,51,0.0152,0.0137,0.0166,
A_BRITO_RPA,NDMI,52,0.0149,0.0135,0.0164,
A_BRITO_RPA,MNDWI,1,-0.0536,-0.0536,-0.0536,
A_BRITO_RPA,MNDWI,2,-0.0550,-0.0550,-0.0550,-0.0580
A_BRITO_RPA,MNDWI,3,-0.0556,-0.0563,-0.0549,-0.0556
A_BRITO_RPA,MNDWI,4,-0.0492,-0.0492,-0.0492,-0.0576
A_BRITO_RPA,MNDWI,5,-0.0554,-0.0558,-0.0550,-0.0591
A_BRITO_RPA,MNDWI,6,-0.0552,-0.0561,-0.0544,-0.0608
A_BRITO_RPA,MNDWI,7,-0.0558,-0.0563,-0.0553,-0.0601
A_BRITO_RPA,MNDWI,8,-0.0569,-0.0569,-0.0569,-0.0606
A_BRITO_RPA,MNDWI,9,-0.0560,-0.0564,-0.0557,-0.0603
A_BRITO_RPA,MNDWI,10,-0.0573,-0.0577,-0.0568,-0.0614
A_BRITO_RPA,MNDWI,11,-0.0496,-0.0533,-0.0460,-0.0595
A_BRITO_RPA,MNDWI,12,-0.0565,-0.0565,-0.0565,-0.0620
A_BRITO_RPA,MNDWI,13,-0.0506,-0.0506,-0.0506,-0.0611
A_BRITO_RPA,MNDWI,14,-0.0587,-0.0592,-0.0583,-0.0607
A_BRITO_RPA,MNDWI,15,-0.0591,-0.0591,-0.0591,-0.0626
A_BRITO_RPA,MNDWI,16,-0.0583,-0.0583,-0.0583,-0.0405
A_BRITO_RPA,MNDWI,17,-0.0582,-0.0586,-0.0578,-0.0611
A_BRITO_RPA,MNDWI,18,-0.0586,-0.0586,-0.0586,-0.0627
A_BRITO_RPA,MNDWI,19,-0.0547,-0.0547,-0.0547,-0.0556
A_BRITO_RPA,MNDWI,20,-0.0524,-0.0550,-0.0497,-0.0602
A_BRITO_RPA,MNDWI,21,,,,-0.0529
A_BRITO_RPA,MNDWI,22,-0.0588,-0.0601,-0.0574,
A_BRITO_RPA,MNDWI,23,,,,-0.0479
A_BRITO_RPA,MNDWI,24,-0.0488,-0.0488,-0.0488,-0.0637
A_BRITO_RPA,MNDWI,25,-0.0574,-0.0574,-0.0574,
A_BRITO_RPA,MNDWI,26,-0.0549,-0.0559,-0.0539,
A_BRITO_RPA,MNDWI,27,-0.0572,-0.0579,-0.0565,
A_BRITO_RPA,MNDWI,28,-0.0552,-0.0553,-0.0551,
A_BRITO_RPA,MNDWI,29,-0.0553,-0.0557,-0.0550,
A_BRITO_RPA,MNDWI,30,-0.0352,-0.0352,-0.0352,
A_BRITO_RPA,MNDWI,31,,,,
A_BRITO_RPA,MNDWI,32,-0.0551,-0.0558,-0.0544,
A_BRITO_RPA,MNDWI,33,,,,
A_BRITO_RPA,MNDWI,34,-0.0536,-0.0536,-0.0536,
A_BRITO_RPA,MNDWI,35,-0.0556,-0.0556,-0.0556,
A_BRITO_RPA,MNDWI,36,-0.0515,-0.0516,-0.0513,
A_BRITO_RPA,MNDWI,37,-0.0517,-0.0526,-0.0508,
A_BRITO_RPA,MNDWI,38,-0.0520,-0.0520,-0.0520,
A_BRITO_RPA,MNDWI,39,-0.0516,-0.0516,-0.0515,
A_BRITO_RPA,MNDWI,40,-0.0511,-0.0511,-0.0511,
A_BRITO_RPA,MNDWI,41,-0.0496,-0.0496,-0.0496,
A_BRITO_RPA,MNDWI,42,,,,
A_BRITO_RPA,MNDWI,43,-0.0530,-0.0531,-0.0528,
A_BRITO_RPA,MNDWI,44,-0.0527,-0.0534,-0.0520,
A_BRITO_RPA,MNDWI,45,-0.0464,-0.0464,-0.0464,
A_BRITO_RPA,MNDWI,46,-0.0525,-0.0532,-0.0519,
A_BRITO_RPA,MNDWI,47,-0.0536,-0.0537,-0.0535,
A_BRITO_RPA,MNDWI,48,-0.0546,-0.0546,-0.0546,
A_BRITO_RPA,MNDWI,49,-0.0546,-0.0549,-0.0543,
A_BRITO_RPA,MNDWI,50,-0.0550,-0.0555,-0.0545,
A_BRITO_RPA,MNDWI,51,-0.0543,-0.0545,-0.0541,
A_BRITO_RPA,MNDWI,52,-0.0553,-0.0561,-0.0546,
A_BRITO_RPA,GNDVI,1,0.0609,0.0609,0.0609,
A_BRITO_RPA,GNDVI,2,0.0595,0.0595,0.0595,0.0675
A_BRITO_RPA,GNDVI,3,0.0610,0.0595,0.0625,0.0664
A_BRITO_RPA,GNDVI,4,0.0541,0.0541,0.0541,0.0668
A_BRITO_RPA,GNDVI,5,0.0610,0.0599,0.0621,0.0685
A_BRITO_RPA,GNDVI,6,0.0610,0.0591,0.0628,0.0703
A_BRITO_RPA,GNDVI,7,0.0616,0.0601,0.0631,0.0702
A_BRITO_RPA,GNDVI,8,0.0648,0.0648,0.0648,0.0704
A_BRITO_RPA,GNDVI,9,0.0621,0.0607,0.0634,0.0695
A_BRITO_RPA,GNDVI,10,0.0640,0.0630,0.0651,0.0699
A_BRITO_RPA,GNDVI,11,0.0568,0.0540,0.0596,0.0694
A_BRITO_RPA,GNDVI,12,0.0634,0.0626,0.0643,0.0715
A_BRITO_RPA,GNDVI,13,0.0571,0.0571,0.0571,0.0722
A_BRITO_RPA,GNDVI,14,0.0671,0.0656,0.0685,0.0725
A_BRITO_RPA,GNDVI,15,0.0693,0.0693,0.0693,0.0741
A_BRITO_RPA,GNDVI,16,0.0656,0.0656,0.0656,0.0588
A_BRITO_RPA,GNDVI,17,0.0675,0.0663,0.0687,0.0738
A_BRITO_RPA,GNDVI,18,0.0702,0.0702,0.0702,0.0754
A_BRITO_RPA,GNDVI,19,0.0663,0.0663,0.0663,0.0719
A_BRITO_RPA,GNDVI,20,0.0665,0.0663,0.0668,0.0750
A_BRITO_RPA,GNDVI,21,,,,0.0715
A_BRITO_RPA,GNDVI,22,0.0726,0.0716,0.0737,
A_BRITO_RPA,GNDVI,23,,,,0.0585
A_BRITO_RPA,GNDVI,24,0.0644,0.0644,0.0644,0.0778
A_BRITO_RPA,GNDVI,25,0.0753,0.0753,0.0753,
A_BRITO_RPA,GNDVI,26,0.0692,0.0691,0.0693,
A_BRITO_RPA,GNDVI,27,0.0694,0.0681,0.0707,
A_BRITO_RPA,GNDVI,28,0.0682,0.0669,0.0695,
A_BRITO_RPA,GNDVI,29,0.0681,0.0668,0.0694,
A_BRITO_RPA,GNDVI,30,0.0547,0.0547,0.0547,
A_BRITO_RPA,GNDVI,31,,,,
A_BRITO_RPA,GNDVI,32,0.0675,0.0658,0.0692,
A_BRITO_RPA,GNDVI,33,,,,
A_BRITO_RPA,GNDVI,34,0.0637,0.0637,0.0637,
A_BRITO_RPA,GNDVI,35,0.0692,0.0692,0.0692,
A_BRITO_RPA,GNDVI,36,0.0637,0.0631,0.0644,
A_BRITO_RPA,GNDVI,37,0.0631,0.0616,0.0646,
A_BRITO_RPA,GNDVI,38,0.0650,0.0650,0.0650,
A_BRITO_RPA,GNDVI,39,0.0625,0.0616,0.0633,
A_BRITO_RPA,GNDVI,40,0.0600,0.0600,0.0600,
A_BRITO_RPA,GNDVI,41,0.0624,0.0624,0.0624,
A_BRITO_RPA,GNDVI,42,,,,
A_BRITO_RPA,GNDVI,43,0.0609,0.0599,0.0620,
A_BRITO_RPA,GNDVI,44,0.0606,0.0601,0.0612,
A_BRITO_RPA,GNDVI,45,0.0585,0.0585,0.0585,
A_BRITO_RPA,GNDVI,46,0.0607,0.0587,0.0628,
A_BRITO_RPA,GNDVI,47,0.0619,0.0606,0.0632,
A_BRITO_RPA,GNDVI,48,0.0612,0.0612,0.0612,
A_BRITO_RPA,GNDVI,49,0.0630,0.0620,0.0641,
A_BRITO_RPA,GNDVI,50,0.0636,0.0624,0.0648,
A_BRITO_RPA,GNDVI,51,0.0629,0.0619,0.0640,
A_BRITO_RPA,GNDVI,52,0.0635,0.0620,0.0649,
A_BRITO_RPA,EVI,1,0.0391,0.0391,0.0391,
A_BRITO_RPA,EVI,2,0.0370,0.0370,0.0370,0.0451
A_BRITO_RPA,EVI,3,0.0370,0.0361,0.0379,0.0459
A_BRITO_RPA,EVI,4,0.0352,0.0352,0.0352,0.0434
A_BRITO_RPA,EVI,5,0.0358,0.0347,0.0369,0.0446
A_BRITO_RPA,EVI,6,0.0356,0.0342,0.0369,0.0451
A_BRITO_RPA,EVI,7,0.0355,0.0339,0.0370,0.0443
A_BRITO_RPA,EVI,8,0.0390,0.0390,0.0390,0.0435
A_BRITO_RPA,EVI,9,0.0348,0.0338,0.0359,0.0415
